county,precinct,precinct_name,registered_voters,reg_dem_voters,reg_rep_voters,reg_other_voters,reg_ind_voters,reg_lib_voters,reg_grn_voters,reg_const_voters,reg_reform_voters,reg_socwk_voters,reg_male_voters,reg_female_voters
Adair,A102,WHITE OAK,440,56,358,9,17,0,0,0,0,0,216,224
Adair,A104,EUNICE PELLYTON,763,105,606,24,25,3,0,0,0,0,393,370
Adair,A105,LITTLE CAKE,591,65,489,16,21,0,0,0,0,0,292,299
Adair,B102,E. COLUMBIA,992,249,659,44,38,1,0,0,0,1,436,556
Adair,B104,OZARK,762,121,583,23,26,8,1,0,0,0,383,378
Adair,C102,SOUTH COLUMBIA HARMONY,884,230,577,34,39,3,0,0,1,0,441,443
Adair,C104,GLENSFORK MELSON RIDGE,1051,240,747,24,38,1,1,0,0,0,498,552
Adair,D101,GRADYVILLE NELL,668,101,520,27,19,0,1,0,0,0,345,323
Adair,D103,SPARKSVILLE BREEDING,720,131,502,47,35,2,0,3,0,0,366,354
Adair,D104,SOUTH COLUMBIA NO. 2,754,225,479,26,19,4,0,1,0,0,324,429
Adair,E101,MILLTOWN,811,132,632,19,24,4,0,0,0,0,406,404
Adair,E104,WEST COLUMBIA,1307,369,834,43,54,7,0,0,0,0,565,740
Adair,F101,CANE VALLEY HOLMES,1274,315,875,36,46,1,0,0,1,0,640,634
Adair,F103,KNIFLEY ROLEY,819,189,563,30,34,2,0,1,0,0,423,396
Adair,G101,NORTH COLUMBIA,1006,233,713,29,26,2,2,1,0,0,475,531
Adair,G102,HURT,995,173,774,22,24,2,0,0,0,0,466,529
Allen,A101,ONE,1451,430,886,85,44,4,0,1,0,1,630,821
Allen,A102,FOUR,1275,311,875,60,24,3,0,1,0,1,599,676
Allen,B101,TWO,1129,276,783,44,20,4,2,0,0,0,541,588
Allen,B102,FIVE,1113,255,766,59,28,4,1,0,0,0,546,567
Allen,B103,NINE,529,129,360,29,10,1,0,0,0,0,270,259
Allen,C101,THREE,1585,465,996,75,41,5,2,1,0,0,674,911
Allen,C102,SIX,1676,386,1174,75,35,5,0,1,0,0,819,856
Allen,D101,SEVEN,1813,436,1219,91,52,10,4,1,0,0,890,923
Allen,D102,EIGHT,671,166,455,32,13,5,0,0,0,0,334,337
Allen,D103,THIRTEEN,1331,323,884,75,44,4,0,0,0,1,665,666
Allen,E101,TEN,601,150,383,31,34,2,1,0,0,0,272,328
Allen,E102,ELEVEN,1352,357,860,83,47,3,2,0,0,0,639,713
Allen,E103,TWELVE,710,163,502,24,16,4,1,0,0,0,340,370
Anderson,A101,EAST LAWRENCEBURG,1209,566,547,49,45,2,0,0,0,0,571,637
Anderson,A102,DUNCAN,1467,634,681,84,62,6,0,0,0,0,684,780
Anderson,B101,WEST LAWRENCEBURG,1276,521,673,38,42,2,0,0,0,0,614,660
Anderson,B102,WEST DUNCAN,1989,834,1017,65,64,8,0,1,0,0,936,1050
Anderson,C101,LILLARD,1301,572,632,47,47,1,1,1,0,0,571,726
Anderson,C102,WITHERSPOON,1684,715,800,83,73,13,0,0,0,0,778,904
Anderson,D101,MCBRAYER,1232,437,705,41,46,3,0,0,0,0,599,633
Anderson,D102,SOUTH LILLARD,1730,643,927,78,66,15,1,0,0,0,821,908
Anderson,E101,ALTON,1909,776,1046,41,44,2,0,0,0,0,923,985
Anderson,E103,WEST ALTON,1508,579,822,45,53,9,0,0,0,0,713,793
Anderson,F101,HICKORY GROVE,1331,515,706,59,47,3,1,0,0,0,660,671
Anderson,F102,WESTERN,1033,397,547,37,45,6,0,0,1,0,516,515
Anderson,F104,BIRDIE,1020,385,546,51,31,6,1,0,0,0,522,496
Anderson,F105,POWELL TAYLOR,128,49,68,6,4,0,1,0,0,0,68,60
Ballard,A101,BANDANA,362,190,144,14,11,3,0,0,0,0,175,187
Ballard,A102,KEVIL,993,498,441,31,22,1,0,0,0,0,451,542
Ballard,A103,INGLESIDE,177,101,69,5,2,0,0,0,0,0,88,89
Ballard,B101,LA CENTER,889,510,301,50,22,6,0,0,0,0,421,468
Ballard,B102,OSCAR,196,117,71,2,6,0,0,0,0,0,100,96
Ballard,C101,HINKLEVILLE,284,171,101,6,6,0,0,0,0,0,134,150
Ballard,C102,GAGE,382,197,167,7,10,1,0,0,0,0,195,187
Ballard,C103,LOVELACEVILLE,255,133,103,10,8,1,0,0,0,0,137,118
Ballard,C104,BLANDVILLE,445,242,176,22,5,0,0,0,0,0,223,221
Ballard,D101,BARLOW,845,496,302,30,12,5,0,0,0,0,395,450
Ballard,D102,SLATER,359,234,109,9,6,0,0,1,0,0,177,182
Ballard,E101,N. WICKLIFFE,721,383,278,45,13,2,0,0,0,0,342,377
Ballard,E102,S. WICKLIFFE,393,207,159,20,6,0,0,1,0,0,190,202
Barren,A101,GLASGOW #1,1188,586,522,30,42,5,2,0,1,0,510,678
Barren,A102,GLASGOW #2,1098,527,446,53,65,6,0,0,0,1,495,602
Barren,A103,GLASGOW #3,1595,681,766,76,70,1,1,0,0,0,707,888
Barren,A104,FOX HOLLOW,324,127,167,13,16,1,0,0,0,0,152,172
Barren,B101,HAYWOOD WEST,1477,545,824,41,59,5,2,1,0,0,691,785
