county,precinct,office,district,party,candidate,votes,early_voting,election_day,absentee_mail,absentee
Clinton,A101,U.S. Senate,,Republican,Other Donald WENZEL,1,0,1,0,
Clinton,A101,U.S. Senate,,Republican,James D. DUNCAN,3,3,0,0,
Clinton,A101,U.S. Senate,,Republican,George WASHINGTON,6,2,3,1,
Clinton,A101,U.S. Senate,,Republican,"Valerie ""Dr Val"" FREDRICK",0,0,0,0,
Clinton,A101,U.S. Senate,,Republican,Andy BARR,158,63,71,24,
Clinton,A101,U.S. Senate,,Republican,Nate MORRIS,15,5,6,4,
Clinton,A101,U.S. Senate,,Republican,Jimmy I. LEON,2,1,0,1,
Clinton,A101,U.S. Senate,,Republican,A. Nick SHELLEY,2,0,2,0,
Clinton,A101,U.S. Senate,,Republican,Daniel CAMERON,53,16,21,16,
Clinton,A101,U.S. Senate,,Republican,Anissa CATLETT,3,2,0,1,
Clinton,A101,U.S. Senate,,Republican,Michael James FARIS,3,0,3,0,
Clinton,A101,U.S. Senate,,Republican,Jonathan M. HOLLIDAY,5,2,2,1,
Clinton,A101,U.S. House,1,Republican,David SIMS,16,4,7,5,
Clinton,A101,U.S. House,1,Republican,Robert James SUTHERBY,7,1,3,3,
Clinton,A101,U.S. House,1,Republican,Penny ARCOS,8,2,4,2,
Clinton,A101,U.S. House,1,Republican,James R. COMER,214,87,89,38,
Clinton,A101,County Judge/Executive,,Republican,Richard C. ARMSTRONG,32,12,16,4,
Clinton,A101,County Judge/Executive,,Republican,Mickey McFALL,81,38,32,11,
Clinton,A101,County Judge/Executive,,Republican,Kelli ABSTON,17,4,3,10,
Clinton,A101,County Judge/Executive,,Republican,Terry W. BUSTER,24,8,11,5,
Clinton,A101,County Judge/Executive,,Republican,Keith DALTON,99,34,43,22,
Clinton,A101,County Judge/Executive,,Republican,Michael Paul RAYBORN,19,7,11,1,
Clinton,A101,Jailer,,Republican,Bruce STEARNS,148,54,70,24,
Clinton,A101,Jailer,,Republican,David HARRIS,44,16,18,10,
Clinton,A101,Jailer,,Republican,Kenny MYERS,80,32,30,18,
Clinton,A101,U.S. Senate,,Democratic,Joshua BLANTON SR.,0,0,0,0,
Clinton,A101,U.S. Senate,,Democratic,Vincent Anthony THOMPSON,0,0,0,0,
Clinton,A101,U.S. Senate,,Democratic,Charles BOOKER,3,0,1,2,
Clinton,A101,U.S. Senate,,Democratic,Pamela STEVENSON,1,0,1,0,
Clinton,A101,U.S. Senate,,Democratic,Dale Lewis ROMANS,0,0,0,0,
Clinton,A101,U.S. Senate,,Democratic,Logan FORSYTHE,0,0,0,0,
Clinton,A101,U.S. Senate,,Democratic,Amy McGRATH,2,0,2,0,
Clinton,A101,"District Judge, 40th Judicial District",2,,Tom SIMMONS,144,51,60,33,
Clinton,A101,"District Judge, 40th Judicial District",2,,Lee WHITTENBURG,39,9,23,7,
Clinton,A101,"District Judge, 40th Judicial District",2,,Athena Cooper BRADSHAW,83,38,30,15,
Clinton,A104,U.S. Senate,,Republican,Other Donald WENZEL,4,2,2,0,
Clinton,A104,U.S. Senate,,Republican,James D. DUNCAN,2,1,1,0,
Clinton,A104,U.S. Senate,,Republican,George WASHINGTON,4,0,4,0,
Clinton,A104,U.S. Senate,,Republican,"Valerie ""Dr Val"" FREDRICK",4,0,4,0,
