county,precinct,office,district,party,candidate,votes,early_voting,election_day,absentee_mail,absentee
Grant,A101,U.S. Senate,,Republican,A. Nick SHELLEY,10,0,10,0,0
Grant,A101,U.S. Senate,,Republican,Daniel CAMERON,361,58,292,4,7
Grant,A101,U.S. Senate,,Republican,Andy BARR,687,106,569,7,5
Grant,A101,U.S. Senate,,Republican,Anissa CATLETT,9,2,7,0,0
Grant,A101,U.S. Senate,,Republican,"Valerie ""Dr Val"" FREDRICK",12,2,10,0,0
Grant,A101,U.S. Senate,,Republican,Jonathan M. HOLLIDAY,11,3,8,0,0
Grant,A101,U.S. Senate,,Republican,Other Donald WENZEL,1,0,1,0,0
Grant,A101,U.S. Senate,,Republican,Michael James FARIS,35,4,31,0,0
Grant,A101,U.S. Senate,,Republican,James D. DUNCAN,1,0,1,0,0
Grant,A101,U.S. Senate,,Republican,Jimmy I. LEON,3,0,3,0,0
Grant,A101,U.S. Senate,,Republican,George WASHINGTON,31,3,28,0,0
Grant,A101,U.S. Senate,,,Under Votes,48,13,35,0,0
Grant,A101,U.S. Senate,,,Over Votes,1,0,1,0,0
Grant,A101,U.S. House,4,Republican,Thomas MASSIE,458,64,384,4,6
Grant,A101,U.S. House,4,Republican,Ed GALLREIN,754,126,614,8,6
Grant,A101,U.S. House,4,,Under Votes,46,12,34,0,0
Grant,A101,U.S. House,4,,Over Votes,0,0,0,0,0
Grant,A101,Ballots Cast,,,,1583,,,,
Grant,A101,County Judge/Executive,,,"John ""Jumpin Joe"" WEISS",392,60,324,4,4
Grant,A101,County Judge/Executive,,,"C. E. ""Chuck"" DILLS II.",781,129,636,8,8
Grant,A101,County Judge/Executive,,,Under Votes,60,8,52,0,0
Grant,A101,County Judge/Executive,,,Over Votes,0,0,0,0,0
Grant,A101,Sheriff,,,Todd Allen CUMMINS,332,54,273,5,0
Grant,A101,Sheriff,,,"Kenneth ""K.J."" LITTLE",205,36,166,0,3
Grant,A101,Sheriff,,,Dennis A. SWITZER II.,645,103,526,7,9
Grant,A101,Sheriff,,,Under Votes,51,4,47,0,0
Grant,A101,Sheriff,,,Over Votes,0,0,0,0,0
Grant,A101,Jailer,,,Tonya BEAGLE,611,118,482,5,6
Grant,A101,Jailer,,,Brent ELY,265,27,231,2,5
Grant,A101,Jailer,,,Steven Franklin SKINNER,258,37,216,4,1
Grant,A101,Jailer,,,Under Votes,99,15,83,1,0
Grant,A101,Jailer,,,Over Votes,0,0,0,0,0
Grant,A101,Magistrate,,,"Jerrie M. ""Shella"" MARTIN",407,58,339,6,4
Grant,A101,Magistrate,,,Jacqalynn M. Ammer RILEY,763,130,622,3,8
Grant,A101,Magistrate,,,Under Votes,63,9,51,3,0
Grant,A101,Magistrate,,,Over Votes,0,0,0,0,0
Grant,A101,U.S. Senate,,Democratic,Dale Lewis ROMANS,8,0,7,1,0
Grant,A101,U.S. Senate,,Democratic,Charles BOOKER,113,18,93,1,1
Grant,A101,U.S. Senate,,Democratic,Logan FORSYTHE,11,2,9,0,0
Grant,A101,U.S. Senate,,Democratic,Joshua BLANTON SR.,12,0,12,0,0
Grant,A101,U.S. Senate,,Democratic,Vincent Anthony THOMPSON,8,3,5,0,0
Grant,A101,U.S. Senate,,Democratic,Pamela STEVENSON,13,1,12,0,0
Grant,A101,U.S. Senate,,Democratic,Amy McGRATH,171,38,127,5,1
Grant,A101,U.S. House,4,Democratic,Melissa Claire STRANGE,199,39,157,3,0
Grant,A101,U.S. House,4,Democratic,Jesse Russell BREWER,126,22,98,4,2
Grant,B102,U.S. Senate,,Republican,A. Nick SHELLEY,11,2,9,0,0
Grant,B102,U.S. Senate,,Republican,Daniel CAMERON,367,62,298,4,3
Grant,B102,U.S. Senate,,Republican,Andy BARR,625,96,525,3,1
Grant,B102,U.S. Senate,,Republican,Anissa CATLETT,13,2,9,0,2
Grant,B102,U.S. Senate,,Republican,"Valerie ""Dr Val"" FREDRICK",11,1,10,0,0
Grant,B102,U.S. Senate,,Republican,Jonathan M. HOLLIDAY,7,1,6,0,0
Grant,B102,U.S. Senate,,Republican,Other Donald WENZEL,0,0,0,0,0
Grant,B102,U.S. Senate,,Republican,Michael James FARIS,40,3,37,0,0
Grant,B102,U.S. Senate,,Republican,James D. DUNCAN,6,2,4,0,0
Grant,B102,U.S. Senate,,Republican,Jimmy I. LEON,3,1,2,0,0
Grant,B102,U.S. Senate,,Republican,George WASHINGTON,22,1,20,1,0
Grant,B102,U.S. Senate,,,Under Votes,59,3,55,1,0
Grant,B102,U.S. Senate,,,Over Votes,1,0,1,0,0
Grant,B102,U.S. House,4,Republican,Thomas MASSIE,445,59,379,3,4
