county,precinct,office,district,party,candidate,votes,early_voting,election_day,absentee_mail,absentee,provisional
Jefferson,A107,U.S. Senate,,Republican,Jonathan M. HOLLIDAY,1,0,1,0,,0
Jefferson,A107,U.S. Senate,,Republican,Anissa CATLETT,1,1,0,0,,0
Jefferson,A107,U.S. Senate,,Republican,Daniel CAMERON,12,1,11,0,,0
Jefferson,A107,U.S. Senate,,Republican,A. Nick SHELLEY,0,0,0,0,,0
Jefferson,A107,U.S. Senate,,Republican,"Valerie ""Dr Val"" FREDRICK",0,0,0,0,,0
Jefferson,A107,U.S. Senate,,Republican,George WASHINGTON,0,0,0,0,,0
Jefferson,A107,U.S. Senate,,Republican,Michael James FARIS,3,0,3,0,,0
Jefferson,A107,U.S. Senate,,Republican,Jimmy I. LEON,0,0,0,0,,0
Jefferson,A107,U.S. Senate,,Republican,James D. DUNCAN,0,0,0,0,,0
Jefferson,A107,U.S. Senate,,Republican,Other Donald WENZEL,0,0,0,0,,0
Jefferson,A107,U.S. Senate,,Republican,Andy BARR,31,2,29,0,,0
Jefferson,A107,U.S. House,3,Republican,David Joseph NICHTER,7,2,5,0,,0
Jefferson,A107,U.S. House,3,Republican,Maria Teresa RODRIGUEZ,21,1,20,0,,0
Jefferson,A107,U.S. House,3,Republican,Daniel COBBLE,9,0,9,0,,0
Jefferson,A107,U.S. House,3,Republican,Donald PAY,8,1,7,0,,0
Jefferson,A107,U.S. Senate,,Democratic,Joshua BLANTON SR.,2,0,2,0,,0
Jefferson,A107,U.S. Senate,,Democratic,Vincent Anthony THOMPSON,0,0,0,0,,0
Jefferson,A107,U.S. Senate,,Democratic,Amy McGRATH,33,4,27,2,,0
Jefferson,A107,U.S. Senate,,Democratic,Pamela STEVENSON,11,6,5,0,,0
Jefferson,A107,U.S. Senate,,Democratic,Logan FORSYTHE,2,0,2,0,,0
Jefferson,A107,U.S. Senate,,Democratic,Charles BOOKER,72,12,60,0,,0
Jefferson,A107,U.S. Senate,,Democratic,Dale Lewis ROMANS,5,2,3,0,,0
Jefferson,A107,County Attorney,,Democratic,Sarah MARTIN,68,14,54,0,,0
Jefferson,A107,County Attorney,,Democratic,Karl PRICE,51,10,39,2,,0
Jefferson,A107,County Clerk,,Democratic,"Rosalind ""Roz"" WELCH",36,11,25,0,,0
Jefferson,A107,County Clerk,,Democratic,David YATES,87,13,72,2,,0
Jefferson,A107,Sheriff,,Democratic,Richard BREEN,22,3,19,0,,0
