county,precinct,office,district,party,candidate,votes,early_voting,election_day,absentee_mail,absentee
Morgan,A101,U.S. Senate,,Republican,Daniel CAMERON,15,5,9,1,
Morgan,A101,U.S. Senate,,Republican,Jonathan M. HOLLIDAY,0,0,0,0,
Morgan,A101,U.S. Senate,,Republican,Andy BARR,32,6,26,0,
Morgan,A101,U.S. Senate,,Republican,Nate MORRIS,3,1,2,0,
Morgan,A101,U.S. Senate,,Republican,"Valerie ""Dr Val"" FREDRICK",0,0,0,0,
Morgan,A101,U.S. Senate,,Republican,A. Nick SHELLEY,0,0,0,0,
Morgan,A101,U.S. Senate,,Republican,James D. DUNCAN,0,0,0,0,
Morgan,A101,U.S. Senate,,Republican,Michael James FARIS,2,0,2,0,
Morgan,A101,U.S. Senate,,Republican,Anissa CATLETT,1,0,0,1,
Morgan,A101,U.S. Senate,,Republican,Other Donald WENZEL,0,0,0,0,
Morgan,A101,U.S. Senate,,Republican,Jimmy I. LEON,0,0,0,0,
Morgan,A101,U.S. Senate,,Republican,George WASHINGTON,0,0,0,0,
Morgan,A101,U.S. House,5,Republican,Kevin SMITH,3,1,1,1,
Morgan,A101,U.S. House,5,Republican,Benjamin HURLEY,4,2,2,0,
Morgan,A101,U.S. House,5,Republican,Hal ROGERS,44,7,36,1,
Morgan,A101,U.S. House,5,Republican,Jerry Lee SHELTON,1,1,0,0,
Morgan,A101,U.S. House,5,Republican,Brandon R. MONHOLLEN,0,0,0,0,
Morgan,A101,State Senate,30,Republican,Brandon D. SMITH,29,5,23,1,
Morgan,A101,State Senate,30,Republican,Billy WESLEY,23,6,16,1,
Morgan,A101,County Judge/Executive,,Republican,James David GREEN,22,1,20,1,
Morgan,A101,County Judge/Executive,,Republican,Jimmie GAZAY,16,8,8,0,
Morgan,A101,County Judge/Executive,,Republican,Kenneth Kelly BOWMAN,16,3,12,1,
Morgan,A101,Sheriff,,Republican,Roger BENTON,10,3,7,0,
Morgan,A101,Sheriff,,Republican,Jeffrey SMITH,19,4,15,0,
Morgan,A101,Sheriff,,Republican,Kenneth SCARBERRY,28,6,20,2,
Morgan,A101,U.S. Senate,,Democratic,Vincent Anthony THOMPSON,6,2,4,0,
Morgan,A101,U.S. Senate,,Democratic,Amy McGRATH,48,8,31,9,
Morgan,A101,U.S. Senate,,Democratic,Dale Lewis ROMANS,4,0,4,0,
