county,precinct,office,district,party,candidate,votes,early_voting,election_day,absentee_mail,absentee
Robertson,A101,U.S. Senate,,Republican,A. Nick SHELLEY,0,0,0,0,0
Robertson,A101,U.S. Senate,,Republican,Daniel CAMERON,7,3,4,0,0
Robertson,A101,U.S. Senate,,Republican,Andy BARR,29,5,24,0,0
Robertson,A101,U.S. Senate,,Republican,Anissa CATLETT,0,0,0,0,0
Robertson,A101,U.S. Senate,,Republican,"Valerie ""Dr Val"" FREDRICK",0,0,0,0,0
Robertson,A101,U.S. Senate,,Republican,Jonathan M. HOLLIDAY,0,0,0,0,0
Robertson,A101,U.S. Senate,,Republican,Other Donald WENZEL,0,0,0,0,0
Robertson,A101,U.S. Senate,,Republican,Michael James FARIS,1,0,1,0,0
Robertson,A101,U.S. Senate,,Republican,Nate MORRIS,0,0,0,0,0
Robertson,A101,U.S. Senate,,Republican,James D. DUNCAN,1,0,1,0,0
Robertson,A101,U.S. Senate,,Republican,Jimmy I. LEON,0,0,0,0,0
Robertson,A101,U.S. Senate,,Republican,George WASHINGTON,2,1,1,0,0
Robertson,A101,U.S. Senate,,,Under Votes,14,3,10,1,0
Robertson,A101,U.S. Senate,,,Over Votes,1,0,1,0,0
Robertson,A101,U.S. House,4,Republican,Thomas MASSIE,19,3,16,0,0
Robertson,A101,U.S. House,4,Republican,Ed GALLREIN,22,6,16,0,0
Robertson,A101,U.S. House,4,,Under Votes,20,4,14,2,0
Robertson,A101,U.S. House,4,,Over Votes,0,0,0,0,0
Robertson,A101,Ballots Cast,,,,143,,,,
Robertson,A101,State Representative,70,Republican,Mike FISHER,26,5,21,0,0
Robertson,A101,State Representative,70,Republican,Travis HUBER,11,3,8,0,0
Robertson,A101,State Representative,70,,Under Votes,4,1,3,0,0
Robertson,A101,State Representative,70,,Over Votes,0,0,0,0,0
Robertson,A101,Jailer,,,Christopher COOPER,26,7,19,0,0
Robertson,A101,Jailer,,,Anthony CARMACK,15,2,13,0,0
Robertson,A101,Jailer,,,Under Votes,0,0,0,0,0
Robertson,A101,Jailer,,,Over Votes,0,0,0,0,0
Robertson,A101,U.S. Senate,,Democratic,Dale Lewis ROMANS,3,1,2,0,0
Robertson,A101,U.S. Senate,,Democratic,Charles BOOKER,29,5,22,2,0
Robertson,A101,U.S. Senate,,Democratic,Logan FORSYTHE,1,1,0,0,0
Robertson,A101,U.S. Senate,,Democratic,Joshua BLANTON SR.,2,0,2,0,0
Robertson,A101,U.S. Senate,,Democratic,Vincent Anthony THOMPSON,5,0,4,1,0
Robertson,A101,U.S. Senate,,Democratic,Pamela STEVENSON,4,1,1,2,0
Robertson,A101,U.S. Senate,,Democratic,Amy McGRATH,44,5,32,7,0
Robertson,A101,U.S. House,4,Democratic,Melissa Claire STRANGE,47,5,37,5,0
Robertson,A101,U.S. House,4,Democratic,Jesse Russell BREWER,35,7,22,6,0
Robertson,A101,Sheriff,,,Stanley HENDERSON,57,6,41,10,0
Robertson,A101,Sheriff,,,Barry SPARKS,44,10,32,2,0
Robertson,A101,Sheriff,,,Under Votes,1,0,0,1,0
Robertson,A101,Sheriff,,,Over Votes,0,0,0,0,0
Robertson,A101,Magistrate,,,Rita GODDARD,59,13,37,9,0
Robertson,A101,Magistrate,,,Joshua Cameron INSKO,43,3,36,4,0
Robertson,A101,Magistrate,,,Under Votes,0,0,0,0,0
Robertson,A101,Magistrate,,,Over Votes,0,0,0,0,0
Robertson,B101,U.S. Senate,,Republican,A. Nick SHELLEY,1,0,1,0,0
Robertson,B101,U.S. Senate,,Republican,Daniel CAMERON,7,0,7,0,0
Robertson,B101,U.S. Senate,,Republican,Andy BARR,38,1,35,2,0
Robertson,B101,U.S. Senate,,Republican,Anissa CATLETT,0,0,0,0,0
Robertson,B101,U.S. Senate,,Republican,"Valerie ""Dr Val"" FREDRICK",0,0,0,0,0
Robertson,B101,U.S. Senate,,Republican,Jonathan M. HOLLIDAY,0,0,0,0,0
Robertson,B101,U.S. Senate,,Republican,Other Donald WENZEL,0,0,0,0,0
Robertson,B101,U.S. Senate,,Republican,Michael James FARIS,1,0,1,0,0
Robertson,B101,U.S. Senate,,Republican,Nate MORRIS,0,0,0,0,0
Robertson,B101,U.S. Senate,,Republican,James D. DUNCAN,0,0,0,0,0
Robertson,B101,U.S. Senate,,Republican,Jimmy I. LEON,0,0,0,0,0
Robertson,B101,U.S. Senate,,Republican,George WASHINGTON,1,0,1,0,0
Robertson,B101,U.S. Senate,,,Under Votes,6,0,6,0,0
Robertson,B101,U.S. Senate,,,Over Votes,0,0,0,0,0
Robertson,B101,U.S. House,4,Republican,Thomas MASSIE,11,0,11,0,0
Robertson,B101,U.S. House,4,Republican,Ed GALLREIN,36,1,33,2,0
Robertson,B101,U.S. House,4,,Under Votes,12,0,12,0,0
Robertson,B101,U.S. House,4,,Over Votes,0,0,0,0,0
Robertson,B101,Ballots Cast,,,,112,,,,
Robertson,B101,State Representative,70,Republican,Mike FISHER,31,0,31,0,0
Robertson,B101,State Representative,70,Republican,Travis HUBER,16,0,14,2,0
Robertson,B101,State Representative,70,,Under Votes,2,1,1,0,0
Robertson,B101,State Representative,70,,Over Votes,0,0,0,0,0
Robertson,B101,Jailer,,,Christopher COOPER,34,1,31,2,0
Robertson,B101,Jailer,,,Anthony CARMACK,13,0,13,0,0
Robertson,B101,Jailer,,,Under Votes,2,0,2,0,0
Robertson,B101,Jailer,,,Over Votes,0,0,0,0,0
Robertson,B101,U.S. Senate,,Democratic,Dale Lewis ROMANS,2,0,2,0,0
Robertson,B101,U.S. Senate,,Democratic,Charles BOOKER,23,2,21,0,0
Robertson,B101,U.S. Senate,,Democratic,Logan FORSYTHE,0,0,0,0,0
Robertson,B101,U.S. Senate,,Democratic,Joshua BLANTON SR.,2,1,1,0,0
Robertson,B101,U.S. Senate,,Democratic,Vincent Anthony THOMPSON,1,0,1,0,0
Robertson,B101,U.S. Senate,,Democratic,Pamela STEVENSON,2,0,2,0,0
Robertson,B101,U.S. Senate,,Democratic,Amy McGRATH,28,4,24,0,0
Robertson,B101,U.S. House,4,Democratic,Melissa Claire STRANGE,32,5,27,0,0
Robertson,B101,U.S. House,4,Democratic,Jesse Russell BREWER,21,2,19,0,0
Robertson,B101,Sheriff,,,Stanley HENDERSON,45,5,40,0,0
Robertson,B101,Sheriff,,,Barry SPARKS,16,2,14,0,0
Robertson,B101,Sheriff,,,Under Votes,1,0,1,0,0
Robertson,B101,Sheriff,,,Over Votes,1,0,1,0,0
Robertson,C101,U.S. Senate,,Republican,A. Nick SHELLEY,0,0,0,0,0
Robertson,C101,U.S. Senate,,Republican,Daniel CAMERON,10,4,6,0,0
Robertson,C101,U.S. Senate,,Republican,Andy BARR,28,4,24,0,0
Robertson,C101,U.S. Senate,,Republican,Anissa CATLETT,0,0,0,0,0
Robertson,C101,U.S. Senate,,Republican,"Valerie ""Dr Val"" FREDRICK",0,0,0,0,0
Robertson,C101,U.S. Senate,,Republican,Jonathan M. HOLLIDAY,0,0,0,0,0
Robertson,C101,U.S. Senate,,Republican,Other Donald WENZEL,0,0,0,0,0
Robertson,C101,U.S. Senate,,Republican,Michael James FARIS,0,0,0,0,0
Robertson,C101,U.S. Senate,,Republican,Nate MORRIS,0,0,0,0,0
Robertson,C101,U.S. Senate,,Republican,James D. DUNCAN,0,0,0,0,0
Robertson,C101,U.S. Senate,,Republican,Jimmy I. LEON,0,0,0,0,0
Robertson,C101,U.S. Senate,,Republican,George WASHINGTON,0,0,0,0,0
Robertson,C101,U.S. Senate,,,Under Votes,8,1,7,0,0
