county,precinct,office,district,party,candidate,votes,early_voting,election_day,absentee_mail,absentee
Floyd,A101,U.S. Senate,,Republican,Daniel CAMERON,35,,,,
Floyd,A101,U.S. Senate,,Republican,Jonathan M. HOLLIDAY,0,,,,
Floyd,A101,U.S. Senate,,Republican,Andy BARR,36,,,,
Floyd,A101,U.S. Senate,,Republican,Nate MORRIS,3,,,,
Floyd,A101,U.S. Senate,,Republican,"Valerie ""Dr Val"" FREDRICK",1,,,,
Floyd,A101,U.S. Senate,,Republican,A. Nick SHELLEY,0,,,,
Floyd,A101,U.S. Senate,,Republican,James D. DUNCAN,0,,,,
Floyd,A101,U.S. Senate,,Republican,Michael James FARIS,0,,,,
Floyd,A101,U.S. Senate,,Republican,Anissa CATLETT,0,,,,
Floyd,A101,U.S. Senate,,Republican,Other Donald WENZEL,0,,,,
Floyd,A101,U.S. Senate,,Republican,Jimmy I. LEON,0,,,,
Floyd,A101,U.S. Senate,,Republican,George WASHINGTON,3,,,,
Floyd,A101,U.S. House,5,Republican,Kevin SMITH,10,,,,
Floyd,A101,U.S. House,5,Republican,Benjamin HURLEY,4,,,,
Floyd,A101,U.S. House,5,Republican,Hal ROGERS,56,,,,
Floyd,A101,U.S. House,5,Republican,Jerry Lee SHELTON,1,,,,
Floyd,A101,U.S. House,5,Republican,Brandon R. MONHOLLEN,1,,,,
Floyd,A101,State Representative,95,Republican,Tanner HESTERBERG,60,,,,
Floyd,A101,State Representative,95,Republican,Willie CRASE JR.,19,,,,
Floyd,A101,County Judge Executive,,Republican,"Debbie ""Doc"" HALL",26,,,,
Floyd,A101,County Judge Executive,,Republican,Mason Glenn TACKETT,2,,,,
Floyd,A101,County Judge Executive,,Republican,Doug HOPKINS,50,,,,
Floyd,A101,U.S. Senate,,Democratic,Vincent Anthony THOMPSON,3,,,,
Floyd,A101,U.S. Senate,,Democratic,Amy McGRATH,32,,,,
Floyd,A101,U.S. Senate,,Democratic,Dale Lewis ROMANS,4,,,,
Floyd,A101,U.S. Senate,,Democratic,Charles BOOKER,37,,,,
Floyd,A101,U.S. Senate,,Democratic,Pamela STEVENSON,2,,,,
Floyd,A101,U.S. Senate,,Democratic,Joshua BLANTON SR.,3,,,,
Floyd,A101,U.S. Senate,,Democratic,Logan FORSYTHE,2,,,,
Floyd,A101,Jailer,,Democratic,Steve LITTLE,62,,,,
Floyd,A101,Jailer,,Democratic,Steve R. MONTGOMERY,26,,,,
Floyd,A102,U.S. Senate,,Republican,Daniel CAMERON,8,,,,
Floyd,A102,U.S. Senate,,Republican,Jonathan M. HOLLIDAY,1,,,,
Floyd,A102,U.S. Senate,,Republican,Andy BARR,9,,,,
Floyd,A102,U.S. Senate,,Republican,Nate MORRIS,2,,,,
Floyd,A102,U.S. Senate,,Republican,"Valerie ""Dr Val"" FREDRICK",0,,,,
Floyd,A102,U.S. Senate,,Republican,A. Nick SHELLEY,0,,,,
Floyd,A102,U.S. Senate,,Republican,James D. DUNCAN,0,,,,
Floyd,A102,U.S. Senate,,Republican,Michael James FARIS,0,,,,
Floyd,A102,U.S. Senate,,Republican,Anissa CATLETT,0,,,,
Floyd,A102,U.S. Senate,,Republican,Other Donald WENZEL,0,,,,
Floyd,A102,U.S. Senate,,Republican,Jimmy I. LEON,0,,,,
Floyd,A102,U.S. Senate,,Republican,George WASHINGTON,0,,,,
Floyd,A102,U.S. House,5,Republican,Kevin SMITH,1,,,,
Floyd,A102,U.S. House,5,Republican,Benjamin HURLEY,1,,,,
Floyd,A102,U.S. House,5,Republican,Hal ROGERS,13,,,,
Floyd,A102,U.S. House,5,Republican,Jerry Lee SHELTON,1,,,,
Floyd,A102,U.S. House,5,Republican,Brandon R. MONHOLLEN,2,,,,
Floyd,A102,State Representative,95,Republican,Tanner HESTERBERG,13,,,,
Floyd,A102,State Representative,95,Republican,Willie CRASE JR.,6,,,,
Floyd,A102,County Judge Executive,,Republican,"Debbie ""Doc"" HALL",11,,,,
Floyd,A102,County Judge Executive,,Republican,Mason Glenn TACKETT,0,,,,
Floyd,A102,County Judge Executive,,Republican,Doug HOPKINS,6,,,,
Floyd,A102,U.S. Senate,,Democratic,Vincent Anthony THOMPSON,4,,,,
Floyd,A102,U.S. Senate,,Democratic,Amy McGRATH,7,,,,
Floyd,A102,U.S. Senate,,Democratic,Dale Lewis ROMANS,1,,,,
Floyd,A102,U.S. Senate,,Democratic,Charles BOOKER,2,,,,
Floyd,A102,U.S. Senate,,Democratic,Pamela STEVENSON,2,,,,
Floyd,A102,U.S. Senate,,Democratic,Joshua BLANTON SR.,2,,,,
Floyd,A102,U.S. Senate,,Democratic,Logan FORSYTHE,1,,,,
Floyd,A102,Jailer,,Democratic,Steve LITTLE,10,,,,
Floyd,A102,Jailer,,Democratic,Steve R. MONTGOMERY,11,,,,
Floyd,A103,U.S. Senate,,Republican,Daniel CAMERON,25,,,,
Floyd,A103,U.S. Senate,,Republican,Jonathan M. HOLLIDAY,1,,,,
Floyd,A103,U.S. Senate,,Republican,Andy BARR,45,,,,
Floyd,A103,U.S. Senate,,Republican,Nate MORRIS,2,,,,
Floyd,A103,U.S. Senate,,Republican,"Valerie ""Dr Val"" FREDRICK",0,,,,
Floyd,A103,U.S. Senate,,Republican,A. Nick SHELLEY,2,,,,
Floyd,A103,U.S. Senate,,Republican,James D. DUNCAN,1,,,,
Floyd,A103,U.S. Senate,,Republican,Michael James FARIS,1,,,,
Floyd,A103,U.S. Senate,,Republican,Anissa CATLETT,1,,,,
Floyd,A103,U.S. Senate,,Republican,Other Donald WENZEL,0,,,,
Floyd,A103,U.S. Senate,,Republican,Jimmy I. LEON,0,,,,
Floyd,A103,U.S. Senate,,Republican,George WASHINGTON,1,,,,
