county,office,district,party,candidate,votes
Anderson,AB,Ballots Cast,,,,412.0
Anderson,A101,Ballots Cast,,,,565.0
Anderson,A102,Ballots Cast,,,,582.0
Anderson,B101,Ballots Cast,,,,668.0
Anderson,B102,Ballots Cast,,,,939.0
Anderson,C101,Ballots Cast,,,,703.0
Anderson,C102,Ballots Cast,,,,675.0
Anderson,D101,Ballots Cast,,,,671.0
Anderson,D102,Ballots Cast,,,,878.0
Anderson,E101,Ballots Cast,,,,1253.0
Anderson,E103,Ballots Cast,,,,589.0
Anderson,F101,Ballots Cast,,,,508.0
Anderson,F102,Ballots Cast,,,,375.0
Anderson,F103,Ballots Cast,,,,233.0
Anderson,F104,Ballots Cast,,,,636.0
Anderson,A101,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,273.0
Anderson,A101,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,279.0
Anderson,A101,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,5.0
Anderson,A102,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,304.0
Anderson,A102,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,257.0
Anderson,A102,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,16.0
Anderson,B101,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,336.0
Anderson,B101,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,316.0
Anderson,B101,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,12.0
Anderson,B102,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,484.0
Anderson,B102,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,422.0
Anderson,B102,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,21.0
Anderson,C101,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,351.0
Anderson,C101,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,328.0
Anderson,C101,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,17.0
Anderson,C102,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,318.0
Anderson,C102,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,326.0
Anderson,C102,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,23.0
Anderson,D101,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,455.0
Anderson,D101,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,196.0
Anderson,D101,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,12.0
Anderson,D102,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,497.0
Anderson,D102,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,354.0
Anderson,D102,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,20.0
Anderson,E101,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,688.0
Anderson,E101,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,500.0
Anderson,E101,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,52.0
Anderson,E103,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,343.0
Anderson,E103,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,220.0
Anderson,E103,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,15.0
Anderson,F101,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,320.0
Anderson,F101,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,174.0
Anderson,F101,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,8.0
Anderson,F102,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,245.0
Anderson,F102,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,120.0
Anderson,F102,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,5.0
Anderson,F103,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,146.0
Anderson,F103,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,81.0
Anderson,F103,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,2.0
Anderson,F104,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,383.0
Anderson,F104,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,237.0
Anderson,F104,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,12.0
Anderson,A101,Secretary of State,,REP,Michael G. ADAMS,279.0
Anderson,A101,Secretary of State,,DEM,Heather French HENRY,278.0
Anderson,A102,Secretary of State,,REP,Michael G. ADAMS,322.0
Anderson,A102,Secretary of State,,DEM,Heather French HENRY,255.0
Anderson,B101,Secretary of State,,REP,Michael G. ADAMS,352.0
