county,precinct,office,district,party,candidate,votes,election_day
Knox,A101,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,25,25
Knox,A102,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,28,28
Knox,A103,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,46,46
Knox,A104,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,57,57
Knox,A105,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,79,79
Knox,A106,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,64,64
Knox,B101,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,3,3
Knox,B102,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,2,2
Knox,B103,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,3,3
Knox,B104,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,12,12
Knox,B105,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,31,31
Knox,B106,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,27,27
Knox,B107,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,33,33
Knox,B108,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,53,53
Knox,C101,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,18,18
Knox,C102,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,15,15
Knox,C103,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,74,74
Knox,C104,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,47,47
Knox,C105,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,5,5
Knox,D101,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,34,34
Knox,D102,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,17,17
Knox,D103,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,22,22
Knox,D104,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,66,66
Knox,D105,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,30,30
Knox,E101,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,18,18
