county,office,district,party,candidate,votes
Oldham,AB,Ballots Cast,,,,1141.0
Oldham,A101,Ballots Cast,,,,1070.0
Oldham,A103,Ballots Cast,,,,1092.0
Oldham,A104,Ballots Cast,,,,1058.0
Oldham,B101,Ballots Cast,,,,384.0
Oldham,B102,Ballots Cast,,,,1011.0
Oldham,B104,Ballots Cast,,,,463.0
Oldham,B105,Ballots Cast,,,,1131.0
Oldham,B106,Ballots Cast,,,,615.0
Oldham,C101,Ballots Cast,,,,542.0
Oldham,C102,Ballots Cast,,,,855.0
Oldham,C103,Ballots Cast,,,,618.0
Oldham,C105,Ballots Cast,,,,564.0
Oldham,C106,Ballots Cast,,,,330.0
Oldham,D101,Ballots Cast,,,,816.0
Oldham,D103,Ballots Cast,,,,859.0
Oldham,D104,Ballots Cast,,,,429.0
Oldham,D106,Ballots Cast,,,,580.0
Oldham,E101,Ballots Cast,,,,797.0
Oldham,E102,Ballots Cast,,,,1108.0
Oldham,E103,Ballots Cast,,,,549.0
Oldham,E104,Ballots Cast,,,,305.0
Oldham,E105,Ballots Cast,,,,605.0
Oldham,E106,Ballots Cast,,,,179.0
Oldham,F101,Ballots Cast,,,,374.0
Oldham,F102,Ballots Cast,,,,676.0
Oldham,F103,Ballots Cast,,,,678.0
Oldham,F104,Ballots Cast,,,,469.0
Oldham,F105,Ballots Cast,,,,839.0
Oldham,F106,Ballots Cast,,,,156.0
Oldham,G101,Ballots Cast,,,,840.0
Oldham,G102,Ballots Cast,,,,1005.0
Oldham,G103,Ballots Cast,,,,750.0
Oldham,G105,Ballots Cast,,,,335.0
Oldham,H101,Ballots Cast,,,,1029.0
Oldham,H103,Ballots Cast,,,,703.0
Oldham,H104,Ballots Cast,,,,558.0
Oldham,H105,Ballots Cast,,,,443.0
Oldham,H106,Ballots Cast,,,,341.0
Oldham,AB,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,559.0
Oldham,AB,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,560.0
Oldham,AB,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,18.0
Oldham,A101,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,556.0
Oldham,A101,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,503.0
Oldham,A101,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,7.0
Oldham,A103,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,567.0
Oldham,A103,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,502.0
Oldham,A103,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,21.0
Oldham,A104,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,458.0
Oldham,A104,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,574.0
Oldham,A104,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,25.0
Oldham,B101,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,179.0
Oldham,B101,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,195.0
Oldham,B101,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,8.0
Oldham,B102,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,540.0
Oldham,B102,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,450.0
Oldham,B102,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,14.0
Oldham,B104,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,223.0
Oldham,B104,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,228.0
Oldham,B104,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,8.0
Oldham,B105,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,596.0
Oldham,B105,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,505.0
Oldham,B105,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,22.0
Oldham,B106,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,288.0
Oldham,B106,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,319.0
Oldham,B106,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,8.0
Oldham,C101,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,328.0
Oldham,C101,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,196.0
Oldham,C101,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,16.0
Oldham,C102,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,522.0
Oldham,C102,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,312.0
Oldham,C102,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,18.0
Oldham,C103,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,297.0
Oldham,C103,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,307.0
Oldham,C103,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,10.0
Oldham,C105,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,309.0
Oldham,C105,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,237.0
Oldham,C105,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,15.0
Oldham,C106,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,138.0
Oldham,C106,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,178.0
