county,precinct,office,district,party,candidate,votes,election
Leslie,A101,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,22,22
Leslie,A102,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,43,43
Leslie,A103,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,3,3
Leslie,A104,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,32,32
Leslie,A105,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,18,18
Leslie,B101,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,40,40
Leslie,B102,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,19,19
Leslie,B103,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,30,30
Leslie,B104,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,4,4
Leslie,C101,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,36,36
Leslie,C102,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,29,29
Leslie,C103,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,63,63
Leslie,D101,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,38,38
Leslie,D102,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,25,25
Leslie,D103,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,24,24
Leslie,D104,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,28,28
Leslie,D105,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,10,10
Leslie,A101,Governor and Lieutenant Governor,,,Robert GOFORTH / Michael T. HOGAN,31,31
Leslie,A102,Governor and Lieutenant Governor,,,Robert GOFORTH / Michael T. HOGAN,78,78
Leslie,A103,Governor and Lieutenant Governor,,,Robert GOFORTH / Michael T. HOGAN,5,5
Leslie,A104,Governor and Lieutenant Governor,,,Robert GOFORTH / Michael T. HOGAN,98,98
Leslie,A105,Governor and Lieutenant Governor,,,Robert GOFORTH / Michael T. HOGAN,16,16
Leslie,B101,Governor and Lieutenant Governor,,,Robert GOFORTH / Michael T. HOGAN,99,99
Leslie,B102,Governor and Lieutenant Governor,,,Robert GOFORTH / Michael T. HOGAN,24,24
Leslie,B103,Governor and Lieutenant Governor,,,Robert GOFORTH / Michael T. HOGAN,40,40
Leslie,B104,Governor and Lieutenant Governor,,,Robert GOFORTH / Michael T. HOGAN,35,35
Leslie,C101,Governor and Lieutenant Governor,,,Robert GOFORTH / Michael T. HOGAN,95,95
Leslie,C102,Governor and Lieutenant Governor,,,Robert GOFORTH / Michael T. HOGAN,52,52
Leslie,C103,Governor and Lieutenant Governor,,,Robert GOFORTH / Michael T. HOGAN,112,112
Leslie,D101,Governor and Lieutenant Governor,,,Robert GOFORTH / Michael T. HOGAN,65,65
Leslie,D102,Governor and Lieutenant Governor,,,Robert GOFORTH / Michael T. HOGAN,49,49
Leslie,D103,Governor and Lieutenant Governor,,,Robert GOFORTH / Michael T. HOGAN,30,30
Leslie,D104,Governor and Lieutenant Governor,,,Robert GOFORTH / Michael T. HOGAN,72,72
Leslie,D105,Governor and Lieutenant Governor,,,Robert GOFORTH / Michael T. HOGAN,15,15
Leslie,A101,Governor and Lieutenant Governor,,,Ike LAWRENCE / James Anthony ROSE,0,0
Leslie,A102,Governor and Lieutenant Governor,,,Ike LAWRENCE / James Anthony ROSE,0,0
Leslie,A103,Governor and Lieutenant Governor,,,Ike LAWRENCE / James Anthony ROSE,0,0
Leslie,A104,Governor and Lieutenant Governor,,,Ike LAWRENCE / James Anthony ROSE,4,4
Leslie,A105,Governor and Lieutenant Governor,,,Ike LAWRENCE / James Anthony ROSE,0,0
Leslie,B101,Governor and Lieutenant Governor,,,Ike LAWRENCE / James Anthony ROSE,2,2
Leslie,B102,Governor and Lieutenant Governor,,,Ike LAWRENCE / James Anthony ROSE,4,4
Leslie,B103,Governor and Lieutenant Governor,,,Ike LAWRENCE / James Anthony ROSE,0,0
Leslie,B104,Governor and Lieutenant Governor,,,Ike LAWRENCE / James Anthony ROSE,0,0
Leslie,C101,Governor and Lieutenant Governor,,,Ike LAWRENCE / James Anthony ROSE,1,1
Leslie,C102,Governor and Lieutenant Governor,,,Ike LAWRENCE / James Anthony ROSE,1,1
Leslie,C103,Governor and Lieutenant Governor,,,Ike LAWRENCE / James Anthony ROSE,1,1
Leslie,D101,Governor and Lieutenant Governor,,,Ike LAWRENCE / James Anthony ROSE,1,1
Leslie,D102,Governor and Lieutenant Governor,,,Ike LAWRENCE / James Anthony ROSE,0,0
Leslie,D103,Governor and Lieutenant Governor,,,Ike LAWRENCE / James Anthony ROSE,0,0
Leslie,D104,Governor and Lieutenant Governor,,,Ike LAWRENCE / James Anthony ROSE,0,0
Leslie,D105,Governor and Lieutenant Governor,,,Ike LAWRENCE / James Anthony ROSE,0,0
Leslie,A101,Governor and Lieutenant Governor,,,William E. WOODS / Justin B. MILLER,2,2
Leslie,A102,Governor and Lieutenant Governor,,,William E. WOODS / Justin B. MILLER,1,1
Leslie,A103,Governor and Lieutenant Governor,,,William E. WOODS / Justin B. MILLER,0,0
Leslie,A104,Governor and Lieutenant Governor,,,William E. WOODS / Justin B. MILLER,3,3
Leslie,A105,Governor and Lieutenant Governor,,,William E. WOODS / Justin B. MILLER,0,0
Leslie,B101,Governor and Lieutenant Governor,,,William E. WOODS / Justin B. MILLER,0,0
Leslie,B102,Governor and Lieutenant Governor,,,William E. WOODS / Justin B. MILLER,1,1
