county,office,district,party,candidate,votes
Metcalfe,AB,Ballots Cast,,,,176.0
Metcalfe,A101,Ballots Cast,,,,593.0
Metcalfe,A102,Ballots Cast,,,,490.0
Metcalfe,A103,Ballots Cast,,,,579.0
Metcalfe,A104,Ballots Cast,,,,210.0
Metcalfe,B101,Ballots Cast,,,,241.0
Metcalfe,B102,Ballots Cast,,,,79.0
Metcalfe,B103,Ballots Cast,,,,277.0
Metcalfe,B104,Ballots Cast,,,,257.0
Metcalfe,C101,Ballots Cast,,,,364.0
Metcalfe,C102,Ballots Cast,,,,212.0
Metcalfe,D101,Ballots Cast,,,,368.0
Metcalfe,D102,Ballots Cast,,,,175.0
Metcalfe,AB,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,79.0
Metcalfe,AB,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,82.0
Metcalfe,AB,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,4.0
Metcalfe,A101,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,292.0
Metcalfe,A101,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,269.0
Metcalfe,A101,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,7.0
Metcalfe,A102,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,266.0
Metcalfe,A102,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,182.0
Metcalfe,A102,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,15.0
Metcalfe,A103,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,364.0
Metcalfe,A103,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,177.0
Metcalfe,A103,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,22.0
Metcalfe,A104,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,102.0
Metcalfe,A104,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,92.0
Metcalfe,A104,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,6.0
Metcalfe,B101,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,124.0
Metcalfe,B101,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,100.0
