county,precinct,office,district,party,candidate,absentee_paper,absentee_machine,votes
Lee,Absentee,Governor,,REP,Matt Bevin,15,65,80
Lee,Beattyville 1,Governor,,REP,Matt Bevin,,,85
Lee,Beattyville 2,Governor,,REP,Matt Bevin,,,74
Lee,Beattyville 3,Governor,,REP,Matt Bevin,,,160
Lee,St. Helens,Governor,,REP,Matt Bevin,,,138
Lee,Ivy Patch,Governor,,REP,Matt Bevin,,,136
Lee,Beattyville 4,Governor,,REP,Matt Bevin,,,97
Lee,Leeco,Governor,,REP,Matt Bevin,,,76
Lee,Sand Field,Governor,,REP,Matt Bevin,,,168
Lee,Heidelberg,Governor,,REP,Matt Bevin,,,99
Lee,Proctor,Governor,,REP,Matt Bevin,,,208
Lee,Absentee,Governor,,DEM,Andy Beshear,21,34,55
Lee,Beattyville 1,Governor,,DEM,Andy Beshear,,,41
Lee,Beattyville 2,Governor,,DEM,Andy Beshear,,,52
Lee,Beattyville 3,Governor,,DEM,Andy Beshear,,,81
Lee,St. Helens,Governor,,DEM,Andy Beshear,,,82
Lee,Ivy Patch,Governor,,DEM,Andy Beshear,,,40
Lee,Beattyville 4,Governor,,DEM,Andy Beshear,,,54
Lee,Leeco,Governor,,DEM,Andy Beshear,,,50
Lee,Sand Field,Governor,,DEM,Andy Beshear,,,79
Lee,Heidelberg,Governor,,DEM,Andy Beshear,,,39
Lee,Proctor,Governor,,DEM,Andy Beshear,,,102
Lee,Absentee,Governor,,LIB,John Hicks,0,0,0
Lee,Beattyville 1,Governor,,LIB,John Hicks,,,5
Lee,Beattyville 2,Governor,,LIB,John Hicks,,,4
Lee,Beattyville 3,Governor,,LIB,John Hicks,,,7
Lee,St. Helens,Governor,,LIB,John Hicks,,,4
Lee,Ivy Patch,Governor,,LIB,John Hicks,,,1
Lee,Beattyville 4,Governor,,LIB,John Hicks,,,2
Lee,Leeco,Governor,,LIB,John Hicks,,,7
Lee,Sand Field,Governor,,LIB,John Hicks,,,7
Lee,Heidelberg,Governor,,LIB,John Hicks,,,3
Lee,Proctor,Governor,,LIB,John Hicks,,,7
Lee,Absentee,Secretary of State,,REP,Michael G. Adams,17,68,85
Lee,Beattyville 1,Secretary of State,,REP,Michael G. Adams,,,83
Lee,Beattyville 2,Secretary of State,,REP,Michael G. Adams,,,84
Lee,Beattyville 3,Secretary of State,,REP,Michael G. Adams,,,170
Lee,St. Helens,Secretary of State,,REP,Michael G. Adams,,,147
Lee,Ivy Patch,Secretary of State,,REP,Michael G. Adams,,,142
Lee,Beattyville 4,Secretary of State,,REP,Michael G. Adams,,,111
Lee,Leeco,Secretary of State,,REP,Michael G. Adams,,,90
Lee,Sand Field,Secretary of State,,REP,Michael G. Adams,,,181
Lee,Heidelberg,Secretary of State,,REP,Michael G. Adams,,,91
Lee,Proctor,Secretary of State,,REP,Michael G. Adams,,,237
Lee,Absentee,Secretary of State,,DEM,Heather French Henry,20,31,51
Lee,Beattyville 1,Secretary of State,,DEM,Heather French Henry,,,45
Lee,Beattyville 2,Secretary of State,,DEM,Heather French Henry,,,43
Lee,Beattyville 3,Secretary of State,,DEM,Heather French Henry,,,75
