county,office,district,party,candidate,votes
Carter,AB,Ballots Cast,,,,417.0
Carter,A101,Ballots Cast,,,,430.0
Carter,A102,Ballots Cast,,,,189.0
Carter,A103,Ballots Cast,,,,215.0
Carter,A104,Ballots Cast,,,,193.0
Carter,A105,Ballots Cast,,,,417.0
Carter,B101,Ballots Cast,,,,383.0
Carter,B102,Ballots Cast,,,,203.0
Carter,B103,Ballots Cast,,,,369.0
Carter,B104,Ballots Cast,,,,317.0
Carter,B105,Ballots Cast,,,,321.0
Carter,C101,Ballots Cast,,,,513.0
Carter,C102,Ballots Cast,,,,84.0
Carter,C103,Ballots Cast,,,,331.0
Carter,C104,Ballots Cast,,,,372.0
Carter,D101,Ballots Cast,,,,216.0
Carter,D102,Ballots Cast,,,,102.0
Carter,D103,Ballots Cast,,,,209.0
Carter,D104,Ballots Cast,,,,180.0
Carter,D105,Ballots Cast,,,,111.0
Carter,D106,Ballots Cast,,,,246.0
Carter,D107,Ballots Cast,,,,249.0
Carter,E101,Ballots Cast,,,,146.0
Carter,E102,Ballots Cast,,,,317.0
Carter,E103,Ballots Cast,,,,323.0
Carter,E104,Ballots Cast,,,,386.0
Carter,E105,Ballots Cast,,,,339.0
Carter,AB,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,181.0
Carter,AB,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,218.0
Carter,AB,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,4.0
Carter,A101,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,203.0
Carter,A101,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,208.0
Carter,A101,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,10.0
Carter,A102,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,108.0
Carter,A102,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,78.0
Carter,A102,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,2.0
Carter,A103,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,115.0
Carter,A103,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,89.0
Carter,A103,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,4.0
Carter,A104,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,84.0
Carter,A104,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,96.0
Carter,A104,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,10.0
Carter,A105,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,189.0
Carter,A105,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,211.0
Carter,A105,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,9.0
Carter,B101,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,153.0
Carter,B101,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,215.0
Carter,B101,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,8.0
Carter,B102,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,97.0
Carter,B102,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,91.0
Carter,B102,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,9.0
Carter,B103,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,163.0
