county,office,district,party,candidate,votes
Bracken,AB,Ballots Cast,,,,204.0
Bracken,A101,Ballots Cast,,,,356.0
Bracken,B101,Ballots Cast,,,,286.0
Bracken,C101,Ballots Cast,,,,300.0
Bracken,D101,Ballots Cast,,,,313.0
Bracken,E101,Ballots Cast,,,,281.0
Bracken,F101,Ballots Cast,,,,284.0
Bracken,G101,Ballots Cast,,,,290.0
Bracken,H101,Ballots Cast,,,,278.0
Bracken,AB,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,91.0
Bracken,AB,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,103.0
Bracken,AB,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,4.0
Bracken,A101,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,210.0
Bracken,A101,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,129.0
Bracken,A101,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,11.0
Bracken,B101,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,143.0
Bracken,B101,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,120.0
Bracken,B101,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,10.0
Bracken,C101,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,149.0
Bracken,C101,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,139.0
Bracken,C101,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,9.0
Bracken,D101,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,195.0
Bracken,D101,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,95.0
Bracken,D101,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,18.0
Bracken,E101,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,148.0
Bracken,E101,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,119.0
Bracken,E101,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,9.0
Bracken,F101,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,125.0
Bracken,F101,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,133.0
Bracken,F101,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,18.0
Bracken,G101,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,179.0
Bracken,G101,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,87.0
Bracken,G101,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,12.0
Bracken,H101,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,127.0
Bracken,H101,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,138.0
Bracken,H101,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,11.0
Bracken,AB,Secretary of State,,REP,Michael G. ADAMS,72.0
Bracken,AB,Secretary of State,,DEM,Heather French HENRY,129.0
Bracken,A101,Secretary of State,,REP,Michael G. ADAMS,179.0
Bracken,A101,Secretary of State,,DEM,Heather French HENRY,171.0
Bracken,B101,Secretary of State,,REP,Michael G. ADAMS,114.0
Bracken,B101,Secretary of State,,DEM,Heather French HENRY,166.0
Bracken,C101,Secretary of State,,REP,Michael G. ADAMS,117.0
Bracken,C101,Secretary of State,,DEM,Heather French HENRY,178.0
Bracken,D101,Secretary of State,,REP,Michael G. ADAMS,161.0
Bracken,D101,Secretary of State,,DEM,Heather French HENRY,145.0
Bracken,E101,Secretary of State,,REP,Michael G. ADAMS,110.0
Bracken,E101,Secretary of State,,DEM,Heather French HENRY,163.0
Bracken,F101,Secretary of State,,REP,Michael G. ADAMS,104.0
Bracken,F101,Secretary of State,,DEM,Heather French HENRY,169.0
Bracken,G101,Secretary of State,,REP,Michael G. ADAMS,158.0
Bracken,G101,Secretary of State,,DEM,Heather French HENRY,120.0
Bracken,H101,Secretary of State,,REP,Michael G. ADAMS,114.0
Bracken,H101,Secretary of State,,DEM,Heather French HENRY,162.0
Bracken,AB,Attorney General,,REP,Daniel CAMERON,104.0
Bracken,AB,Attorney General,,DEM,Gregory D. STUMBO,86.0
