county,office,district,party,candidate,votes
Franklin,AB,Ballots Cast,,,,955.0
Franklin,A101,Ballots Cast,,,,737.0
Franklin,A102A,Ballots Cast,,,,426.0
Franklin,A103A,Ballots Cast,,,,320.0
Franklin,A104A,Ballots Cast,,,,358.0
Franklin,A105A,Ballots Cast,,,,377.0
Franklin,A106,Ballots Cast,,,,516.0
Franklin,A107A,Ballots Cast,,,,413.0
Franklin,A108,Ballots Cast,,,,529.0
Franklin,B101,Ballots Cast,,,,742.0
Franklin,B102,Ballots Cast,,,,684.0
Franklin,B103A,Ballots Cast,,,,339.0
Franklin,B105A,Ballots Cast,,,,334.0
Franklin,B106,Ballots Cast,,,,1369.0
Franklin,B108A,Ballots Cast,,,,508.0
Franklin,B109A,Ballots Cast,,,,160.0
Franklin,C101A,Ballots Cast,,,,250.0
Franklin,C102A,Ballots Cast,,,,275.0
Franklin,C105A,Ballots Cast,,,,298.0
Franklin,C106A,Ballots Cast,,,,339.0
Franklin,C107A,Ballots Cast,,,,712.0
Franklin,C108,Ballots Cast,,,,528.0
Franklin,C109A,Ballots Cast,,,,586.0
Franklin,C110A,Ballots Cast,,,,390.0
Franklin,D101,Ballots Cast,,,,358.0
Franklin,D102,Ballots Cast,,,,597.0
Franklin,D103,Ballots Cast,,,,284.0
Franklin,D104,Ballots Cast,,,,352.0
Franklin,D105A,Ballots Cast,,,,196.0
Franklin,D106A,Ballots Cast,,,,190.0
Franklin,D107A,Ballots Cast,,,,255.0
Franklin,D108A,Ballots Cast,,,,266.0
Franklin,D109A,Ballots Cast,,,,241.0
Franklin,E101,Ballots Cast,,,,800.0
Franklin,E102,Ballots Cast,,,,1142.0
Franklin,E108A,Ballots Cast,,,,489.0
Franklin,E109A,Ballots Cast,,,,488.0
Franklin,E110A,Ballots Cast,,,,395.0
Franklin,F101,Ballots Cast,,,,369.0
Franklin,F102A,Ballots Cast,,,,227.0
Franklin,F103,Ballots Cast,,,,430.0
Franklin,F104A,Ballots Cast,,,,525.0
Franklin,F105A,Ballots Cast,,,,328.0
Franklin,F106,Ballots Cast,,,,412.0
Franklin,F108,Ballots Cast,,,,686.0
Franklin,AB,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,281.0
Franklin,AB,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,645.0
Franklin,AB,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,17.0
Franklin,A101,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,264.0
Franklin,A101,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,455.0
Franklin,A101,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,12.0
Franklin,A102A,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,142.0
Franklin,A102A,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,270.0
Franklin,A102A,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,10.0
Franklin,A103A,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,47.0
Franklin,A103A,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,262.0
Franklin,A103A,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,10.0
