county,office,district,party,candidate,votes
Edmonson,AB,Ballots Cast,,,,191.0
Edmonson,A101,Ballots Cast,,,,254.0
Edmonson,A102,Ballots Cast,,,,483.0
Edmonson,B101,Ballots Cast,,,,583.0
Edmonson,C101,Ballots Cast,,,,253.0
Edmonson,C102,Ballots Cast,,,,328.0
Edmonson,D101,Ballots Cast,,,,584.0
Edmonson,E101,Ballots Cast,,,,527.0
Edmonson,F101,Ballots Cast,,,,565.0
Edmonson,AB,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,116.0
Edmonson,AB,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,73.0
Edmonson,AB,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,2.0
Edmonson,A101,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,136.0
Edmonson,A101,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,112.0
Edmonson,A101,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,6.0
Edmonson,A102,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,287.0
Edmonson,A102,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,186.0
Edmonson,A102,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,6.0
Edmonson,B101,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,374.0
Edmonson,B101,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,193.0
Edmonson,B101,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,8.0
Edmonson,C101,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,150.0
Edmonson,C101,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,94.0
Edmonson,C101,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,6.0
Edmonson,C102,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,212.0
Edmonson,C102,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,112.0
Edmonson,C102,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,3.0
Edmonson,D101,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,349.0
Edmonson,D101,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,213.0
Edmonson,D101,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,13.0
Edmonson,E101,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,340.0
Edmonson,E101,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,175.0
Edmonson,E101,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,6.0
Edmonson,F101,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,320.0
Edmonson,F101,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,225.0
Edmonson,F101,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,9.0
Edmonson,AB,Secretary of State,,REP,Michael G. ADAMS,121.0
Edmonson,AB,Secretary of State,,DEM,Heather French HENRY,68.0
Edmonson,A101,Secretary of State,,REP,Michael G. ADAMS,166.0
Edmonson,A101,Secretary of State,,DEM,Heather French HENRY,82.0
Edmonson,A102,Secretary of State,,REP,Michael G. ADAMS,322.0
Edmonson,A102,Secretary of State,,DEM,Heather French HENRY,156.0
Edmonson,B101,Secretary of State,,REP,Michael G. ADAMS,425.0
Edmonson,B101,Secretary of State,,DEM,Heather French HENRY,146.0
Edmonson,C101,Secretary of State,,REP,Michael G. ADAMS,160.0
Edmonson,C101,Secretary of State,,DEM,Heather French HENRY,84.0
Edmonson,C102,Secretary of State,,REP,Michael G. ADAMS,227.0
Edmonson,C102,Secretary of State,,DEM,Heather French HENRY,95.0
Edmonson,D101,Secretary of State,,REP,Michael G. ADAMS,420.0
Edmonson,D101,Secretary of State,,DEM,Heather French HENRY,157.0
Edmonson,E101,Secretary of State,,REP,Michael G. ADAMS,371.0
Edmonson,E101,Secretary of State,,DEM,Heather French HENRY,137.0
Edmonson,F101,Secretary of State,,REP,Michael G. ADAMS,357.0
Edmonson,F101,Secretary of State,,DEM,Heather French HENRY,192.0
Edmonson,AB,Attorney General,,REP,Daniel CAMERON,131.0
Edmonson,AB,Attorney General,,DEM,Gregory D. STUMBO,59.0
Edmonson,A101,Attorney General,,REP,Daniel CAMERON,159.0
