county,precinct,office,district,party,candidate,votes,early_voting,election_day,absentee
Warren,A101,STRAIGHT PARTY,,,Republican,124,35,87,2
Warren,A101,STRAIGHT PARTY,,,Democratic,69,36,31,2
Warren,A101,Governor,,REP,"Daniel CAMERON / Robert M. ""Robby"" MILLS",213,62,148,3
Warren,A101,Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,189,89,94,6
Warren,A101,Governor,,,Brian Fishback / William Fishback,0,0,0,0
Warren,A101,Governor,,,Total Votes,402,151,242,9
Warren,A101,Governor,,,Under Votes,0,0,0,0
Warren,A101,Governor,,,Over Votes,0,0,0,0
Warren,A101,Secretary of State,,REP,Michael ADAMS,266,88,174,4
Warren,A101,Secretary of State,,DEM,"Charles ""Buddy"" WHEATLEY",121,62,57,2
Warren,A101,Secretary of State,,,Kenneth C. Moellman Jr.,0,0,0,0
Warren,A101,Secretary of State,,,Total Votes,387,150,231,6
Warren,A101,Secretary of State,,,Under Votes,15,1,11,3
Warren,A101,Secretary of State,,,Over Votes,0,0,0,0
Warren,A101,Attorney General,,REP,Russell COLEMAN,257,81,172,4
Warren,A101,Attorney General,,DEM,Pamela STEVENSON,134,67,63,4
Warren,A101,Attorney General,,,Total Votes,391,148,235,8
Warren,A101,Attorney General,,,Under Votes,11,3,7,1
Warren,A101,Attorney General,,,Over Votes,0,0,0,0
Warren,A101,Auditor of Public Accounts,,REP,Allison BALL,259,87,168,4
Warren,A101,Auditor of Public Accounts,,DEM,"Kimberley ""Kim"" REEDER",126,62,61,3
Warren,A101,Auditor of Public Accounts,,,Total Votes,385,149,229,7
Warren,A101,Auditor of Public Accounts,,,Under Votes,17,2,13,2
Warren,A101,Auditor of Public Accounts,,,Over Votes,0,0,0,0
Warren,A101,State Treasurer,,REP,Mark H. METCALF,245,79,162,4
Warren,A101,State Treasurer,,DEM,Michael BOWMAN,140,69,68,3
Warren,A101,State Treasurer,,,Robert Perry,0,0,0,0
Warren,A101,State Treasurer,,,Total Votes,385,148,230,7
Warren,A101,State Treasurer,,,Under Votes,17,3,12,2
Warren,A101,State Treasurer,,,Over Votes,0,0,0,0
Warren,A101,Commissioner of Agriculture,,REP,Jonathan SHELL,265,87,175,3
Warren,A101,Commissioner of Agriculture,,DEM,Sierra J. ENLOW,121,62,56,3
Warren,A101,Commissioner of Agriculture,,,Total Votes,386,149,231,6
Warren,A101,Commissioner of Agriculture,,,Under Votes,16,2,11,3
Warren,A101,Commissioner of Agriculture,,,Over Votes,0,0,0,0
Warren,A102A,STRAIGHT PARTY,,,Republican,249,93,143,13
Warren,A102A,STRAIGHT PARTY,,,Democratic,152,63,82,7
Warren,A102A,Governor,,REP,"Daniel CAMERON / Robert M. ""Robby"" MILLS",371,135,218,18
Warren,A102A,Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,338,143,177,18
Warren,A102A,Governor,,,Brian Fishback / William Fishback,0,0,0,0
Warren,A102A,Governor,,,Total Votes,709,278,395,36
Warren,A102A,Governor,,,Under Votes,0,0,0,0
Warren,A102A,Governor,,,Over Votes,0,0,0,0
Warren,A102A,Secretary of State,,REP,Michael ADAMS,450,170,256,24
Warren,A102A,Secretary of State,,DEM,"Charles ""Buddy"" WHEATLEY",244,102,131,11
Warren,A102A,Secretary of State,,,Kenneth C. Moellman Jr.,0,0,0,0
Warren,A102A,Secretary of State,,,Total Votes,694,272,387,35
Warren,A102A,Secretary of State,,,Under Votes,15,6,8,1
Warren,A102A,Secretary of State,,,Over Votes,0,0,0,0
Warren,A102A,Attorney General,,REP,Russell COLEMAN,428,157,249,22
Warren,A102A,Attorney General,,DEM,Pamela STEVENSON,269,116,140,13
Warren,A102A,Attorney General,,,Total Votes,697,273,389,35
Warren,A102A,Attorney General,,,Under Votes,12,5,6,1
Warren,A102A,Attorney General,,,Over Votes,0,0,0,0
Warren,A102A,Auditor of Public Accounts,,REP,Allison BALL,444,167,254,23
Warren,A102A,Auditor of Public Accounts,,DEM,"Kimberley ""Kim"" REEDER",249,103,135,11
Warren,A102A,Auditor of Public Accounts,,,Total Votes,693,270,389,34
Warren,A102A,Auditor of Public Accounts,,,Under Votes,16,8,6,2
Warren,A102A,Auditor of Public Accounts,,,Over Votes,0,0,0,0
Warren,A102A,State Treasurer,,REP,Mark H. METCALF,421,155,244,22
Warren,A102A,State Treasurer,,DEM,Michael BOWMAN,270,113,144,13
Warren,A102A,State Treasurer,,,Robert Perry,0,0,0,0
Warren,A102A,State Treasurer,,,Total Votes,691,268,388,35
Warren,A102A,State Treasurer,,,Under Votes,18,10,7,1
Warren,A102A,State Treasurer,,,Over Votes,0,0,0,0
Warren,A102A,Commissioner of Agriculture,,REP,Jonathan SHELL,444,166,257,21
Warren,A102A,Commissioner of Agriculture,,DEM,Sierra J. ENLOW,247,104,131,12
Warren,A102A,Commissioner of Agriculture,,,Total Votes,691,270,388,33
Warren,A102A,Commissioner of Agriculture,,,Under Votes,18,8,7,3
