county,precinct,office,district,party,candidate,votes,early_voting,election_day,absentee
Woodford,A101,STRAIGHT PARTY,,,Republican,120,20,99,1
Woodford,A101,STRAIGHT PARTY,,,Democratic,116,26,75,15
Woodford,A101,Governor,,REP,"Daniel CAMERON / Robert M. ""Robby"" MILLS",193,30,160,3
Woodford,A101,Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,282,45,213,24
Woodford,A101,Governor,,,Brian Fishback / William Fishback,0,0,0,0
Woodford,A101,Governor,,,Total Votes,475,75,373,27
Woodford,A101,Governor,,,Under Votes,5,0,5,0
Woodford,A101,Governor,,,Over Votes,0,0,0,0
Woodford,A101,Secretary of State,,REP,Michael ADAMS,285,43,238,4
Woodford,A101,Secretary of State,,DEM,"Charles ""Buddy"" WHEATLEY",183,31,130,22
Woodford,A101,Secretary of State,,,Kenneth C. Moellman Jr.,0,0,0,0
Woodford,A101,Secretary of State,,,Total Votes,468,74,368,26
Woodford,A101,Secretary of State,,,Under Votes,12,1,10,1
Woodford,A101,Secretary of State,,,Over Votes,0,0,0,0
Woodford,A101,Attorney General,,REP,Russell COLEMAN,249,34,209,6
Woodford,A101,Attorney General,,DEM,Pamela STEVENSON,218,40,158,20
Woodford,A101,Attorney General,,,Total Votes,467,74,367,26
Woodford,A101,Attorney General,,,Under Votes,13,1,11,1
Woodford,A101,Attorney General,,,Over Votes,0,0,0,0
Woodford,A101,Auditor of Public Accounts,,REP,Allison BALL,279,41,231,7
Woodford,A101,Auditor of Public Accounts,,DEM,"Kimberley ""Kim"" REEDER",188,34,135,19
Woodford,A101,Auditor of Public Accounts,,,Total Votes,467,75,366,26
Woodford,A101,Auditor of Public Accounts,,,Under Votes,13,0,12,1
Woodford,A101,Auditor of Public Accounts,,,Over Votes,0,0,0,0
Woodford,A101,State Treasurer,,REP,Mark H. METCALF,244,35,205,4
Woodford,A101,State Treasurer,,DEM,Michael BOWMAN,217,38,157,22
Woodford,A101,State Treasurer,,,Robert Perry,0,0,0,0
Woodford,A101,State Treasurer,,,Total Votes,461,73,362,26
Woodford,A101,State Treasurer,,,Under Votes,19,2,16,1
Woodford,A101,State Treasurer,,,Over Votes,0,0,0,0
Woodford,A101,Commissioner of Agriculture,,REP,Jonathan SHELL,262,38,218,6
Woodford,A101,Commissioner of Agriculture,,DEM,Sierra J. ENLOW,204,36,148,20
Woodford,A101,Commissioner of Agriculture,,,Total Votes,466,74,366,26
Woodford,A101,Commissioner of Agriculture,,,Under Votes,14,1,12,1
Woodford,A101,Commissioner of Agriculture,,,Over Votes,0,0,0,0
Woodford,A102,STRAIGHT PARTY,,,Republican,132,11,105,16
Woodford,A102,STRAIGHT PARTY,,,Democratic,231,27,185,19
Woodford,A102,Governor,,REP,"Daniel CAMERON / Robert M. ""Robby"" MILLS",211,23,171,17
Woodford,A102,Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,514,62,419,33
Woodford,A102,Governor,,,Brian Fishback / William Fishback,0,0,0,0
Woodford,A102,Governor,,,Total Votes,725,85,590,50
Woodford,A102,Governor,,,Under Votes,5,0,5,0
Woodford,A102,Governor,,,Over Votes,0,0,0,0
Woodford,A102,Secretary of State,,REP,Michael ADAMS,316,39,258,19
Woodford,A102,Secretary of State,,DEM,"Charles ""Buddy"" WHEATLEY",397,43,324,30
Woodford,A102,Secretary of State,,,Kenneth C. Moellman Jr.,0,0,0,0
Woodford,A102,Secretary of State,,,Total Votes,713,82,582,49
Woodford,A102,Secretary of State,,,Under Votes,17,3,13,1
Woodford,A102,Secretary of State,,,Over Votes,0,0,0,0
Woodford,A102,Attorney General,,REP,Russell COLEMAN,264,29,217,18
Woodford,A102,Attorney General,,DEM,Pamela STEVENSON,449,55,363,31
Woodford,A102,Attorney General,,,Total Votes,713,84,580,49
Woodford,A102,Attorney General,,,Under Votes,17,1,15,1
Woodford,A102,Attorney General,,,Over Votes,0,0,0,0
Woodford,A102,Auditor of Public Accounts,,REP,Allison BALL,302,33,249,20
Woodford,A102,Auditor of Public Accounts,,DEM,"Kimberley ""Kim"" REEDER",408,50,329,29
Woodford,A102,Auditor of Public Accounts,,,Total Votes,710,83,578,49
Woodford,A102,Auditor of Public Accounts,,,Under Votes,20,2,17,1
Woodford,A102,Auditor of Public Accounts,,,Over Votes,0,0,0,0
Woodford,A102,State Treasurer,,REP,Mark H. METCALF,266,25,223,18
Woodford,A102,State Treasurer,,DEM,Michael BOWMAN,444,56,358,30
Woodford,A102,State Treasurer,,,Robert Perry,0,0,0,0
Woodford,A102,State Treasurer,,,Total Votes,710,81,581,48
Woodford,A102,State Treasurer,,,Under Votes,20,4,14,2
Woodford,A102,State Treasurer,,,Over Votes,0,0,0,0
Woodford,A102,Commissioner of Agriculture,,REP,Jonathan SHELL,280,28,231,21
Woodford,A102,Commissioner of Agriculture,,DEM,Sierra J. ENLOW,431,55,348,28
Woodford,A102,Commissioner of Agriculture,,,Total Votes,711,83,579,49
Woodford,A102,Commissioner of Agriculture,,,Under Votes,19,2,16,1
Woodford,A102,Commissioner of Agriculture,,,Over Votes,0,0,0,0
Woodford,B101,STRAIGHT PARTY,,,Republican,106,9,94,3
Woodford,B101,STRAIGHT PARTY,,,Democratic,80,11,61,8
Woodford,B101,Governor,,REP,"Daniel CAMERON / Robert M. ""Robby"" MILLS",160,12,143,5
Woodford,B101,Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,252,42,198,12
Woodford,B101,Governor,,,Brian Fishback / William Fishback,0,0,0,0
Woodford,B101,Governor,,,Total Votes,412,54,341,17
Woodford,B101,Governor,,,Under Votes,0,0,0,0
Woodford,B101,Governor,,,Over Votes,1,0,0,1
Woodford,B101,Secretary of State,,REP,Michael ADAMS,244,27,208,9
Woodford,B101,Secretary of State,,DEM,"Charles ""Buddy"" WHEATLEY",160,25,126,9
Woodford,B101,Secretary of State,,,Kenneth C. Moellman Jr.,0,0,0,0
Woodford,B101,Secretary of State,,,Total Votes,404,52,334,18
Woodford,B101,Secretary of State,,,Under Votes,9,2,7,0
Woodford,B101,Secretary of State,,,Over Votes,0,0,0,0
Woodford,B101,Attorney General,,REP,Russell COLEMAN,218,18,191,9
Woodford,B101,Attorney General,,DEM,Pamela STEVENSON,183,33,141,9
Woodford,B101,Attorney General,,,Total Votes,401,51,332,18
Woodford,B101,Attorney General,,,Under Votes,12,3,9,0
Woodford,B101,Attorney General,,,Over Votes,0,0,0,0
Woodford,B101,Auditor of Public Accounts,,REP,Allison BALL,246,24,215,7
Woodford,B101,Auditor of Public Accounts,,DEM,"Kimberley ""Kim"" REEDER",157,28,118,11
Woodford,B101,Auditor of Public Accounts,,,Total Votes,403,52,333,18
Woodford,B101,Auditor of Public Accounts,,,Under Votes,10,2,8,0
Woodford,B101,Auditor of Public Accounts,,,Over Votes,0,0,0,0
Woodford,B101,State Treasurer,,REP,Mark H. METCALF,208,17,184,7
Woodford,B101,State Treasurer,,DEM,Michael BOWMAN,188,34,143,11
Woodford,B101,State Treasurer,,,Robert Perry,0,0,0,0
Woodford,B101,State Treasurer,,,Total Votes,396,51,327,18
Woodford,B101,State Treasurer,,,Under Votes,17,3,14,0
Woodford,B101,State Treasurer,,,Over Votes,0,0,0,0
Woodford,B101,Commissioner of Agriculture,,REP,Jonathan SHELL,236,23,204,9
Woodford,B101,Commissioner of Agriculture,,DEM,Sierra J. ENLOW,169,29,131,9
Woodford,B101,Commissioner of Agriculture,,,Total Votes,405,52,335,18
Woodford,B101,Commissioner of Agriculture,,,Under Votes,8,2,6,0
Woodford,B101,Commissioner of Agriculture,,,Over Votes,0,0,0,0
Woodford,B102,STRAIGHT PARTY,,,Republican,68,17,49,2
Woodford,B102,STRAIGHT PARTY,,,Democratic,71,22,37,12
Woodford,B102,Governor,,REP,"Daniel CAMERON / Robert M. ""Robby"" MILLS",93,21,69,3
Woodford,B102,Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,160,60,85,15
Woodford,B102,Governor,,,Brian Fishback / William Fishback,0,0,0,0
Woodford,B102,Governor,,,Total Votes,253,81,154,18
Woodford,B102,Governor,,,Under Votes,0,0,0,0
Woodford,B102,Governor,,,Over Votes,0,0,0,0
Woodford,B102,Secretary of State,,REP,Michael ADAMS,143,49,88,6
Woodford,B102,Secretary of State,,DEM,"Charles ""Buddy"" WHEATLEY",105,31,62,12
Woodford,B102,Secretary of State,,,Kenneth C. Moellman Jr.,0,0,0,0
Woodford,B102,Secretary of State,,,Total Votes,248,80,150,18
Woodford,B102,Secretary of State,,,Under Votes,5,1,4,0
Woodford,B102,Secretary of State,,,Over Votes,0,0,0,0
Woodford,B102,Attorney General,,REP,Russell COLEMAN,121,35,80,6
Woodford,B102,Attorney General,,DEM,Pamela STEVENSON,128,45,71,12
Woodford,B102,Attorney General,,,Total Votes,249,80,151,18
Woodford,B102,Attorney General,,,Under Votes,4,1,3,0
Woodford,B102,Attorney General,,,Over Votes,0,0,0,0
Woodford,B102,Auditor of Public Accounts,,REP,Allison BALL,132,40,86,6
Woodford,B102,Auditor of Public Accounts,,DEM,"Kimberley ""Kim"" REEDER",115,40,63,12
Woodford,B102,Auditor of Public Accounts,,,Total Votes,247,80,149,18
Woodford,B102,Auditor of Public Accounts,,,Under Votes,6,1,5,0
Woodford,B102,Auditor of Public Accounts,,,Over Votes,0,0,0,0
Woodford,B102,State Treasurer,,REP,Mark H. METCALF,122,37,79,6
Woodford,B102,State Treasurer,,DEM,Michael BOWMAN,124,43,69,12
Woodford,B102,State Treasurer,,,Robert Perry,0,0,0,0
Woodford,B102,State Treasurer,,,Total Votes,246,80,148,18
Woodford,B102,State Treasurer,,,Under Votes,7,1,6,0
Woodford,B102,State Treasurer,,,Over Votes,0,0,0,0
Woodford,B102,Commissioner of Agriculture,,REP,Jonathan SHELL,132,38,88,6
Woodford,B102,Commissioner of Agriculture,,DEM,Sierra J. ENLOW,118,42,64,12
Woodford,B102,Commissioner of Agriculture,,,Total Votes,250,80,152,18
Woodford,B102,Commissioner of Agriculture,,,Under Votes,3,1,2,0
Woodford,B102,Commissioner of Agriculture,,,Over Votes,0,0,0,0
Woodford,B103,STRAIGHT PARTY,,,Republican,57,23,30,4
Woodford,B103,STRAIGHT PARTY,,,Democratic,92,33,44,15
Woodford,B103,Governor,,REP,"Daniel CAMERON / Robert M. ""Robby"" MILLS",77,27,45,5
Woodford,B103,Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,188,78,86,24
Woodford,B103,Governor,,,Brian Fishback / William Fishback,0,0,0,0
Woodford,B103,Governor,,,Total Votes,265,105,131,29
Woodford,B103,Governor,,,Under Votes,2,2,0,0
Woodford,B103,Governor,,,Over Votes,0,0,0,0
Woodford,B103,Secretary of State,,REP,Michael ADAMS,129,59,62,8
Woodford,B103,Secretary of State,,DEM,"Charles ""Buddy"" WHEATLEY",135,47,67,21
Woodford,B103,Secretary of State,,,Kenneth C. Moellman Jr.,0,0,0,0
Woodford,B103,Secretary of State,,,Total Votes,264,106,129,29
Woodford,B103,Secretary of State,,,Under Votes,3,1,2,0
Woodford,B103,Secretary of State,,,Over Votes,0,0,0,0
Woodford,B103,Attorney General,,REP,Russell COLEMAN,117,49,60,8
Woodford,B103,Attorney General,,DEM,Pamela STEVENSON,148,56,71,21
Woodford,B103,Attorney General,,,Total Votes,265,105,131,29
Woodford,B103,Attorney General,,,Under Votes,2,2,0,0
Woodford,B103,Attorney General,,,Over Votes,0,0,0,0
Woodford,B103,Auditor of Public Accounts,,REP,Allison BALL,116,52,57,7
Woodford,B103,Auditor of Public Accounts,,DEM,"Kimberley ""Kim"" REEDER",144,50,72,22
Woodford,B103,Auditor of Public Accounts,,,Total Votes,260,102,129,29
Woodford,B103,Auditor of Public Accounts,,,Under Votes,7,5,2,0
Woodford,B103,Auditor of Public Accounts,,,Over Votes,0,0,0,0
Woodford,B103,State Treasurer,,REP,Mark H. METCALF,108,45,56,7
Woodford,B103,State Treasurer,,DEM,Michael BOWMAN,153,58,73,22
Woodford,B103,State Treasurer,,,Robert Perry,0,0,0,0
Woodford,B103,State Treasurer,,,Total Votes,261,103,129,29
Woodford,B103,State Treasurer,,,Under Votes,6,4,2,0
Woodford,B103,State Treasurer,,,Over Votes,0,0,0,0
Woodford,B103,Commissioner of Agriculture,,REP,Jonathan SHELL,112,44,60,8
Woodford,B103,Commissioner of Agriculture,,DEM,Sierra J. ENLOW,151,60,70,21
Woodford,B103,Commissioner of Agriculture,,,Total Votes,263,104,130,29
Woodford,B103,Commissioner of Agriculture,,,Under Votes,4,3,1,0
Woodford,B103,Commissioner of Agriculture,,,Over Votes,0,0,0,0
Woodford,C101,STRAIGHT PARTY,,,Republican,208,70,127,11
Woodford,C101,STRAIGHT PARTY,,,Democratic,146,66,71,9
Woodford,C101,Governor,,REP,"Daniel CAMERON / Robert M. ""Robby"" MILLS",295,95,186,14
Woodford,C101,Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,411,185,199,27
Woodford,C101,Governor,,,Brian Fishback / William Fishback,0,0,0,0
Woodford,C101,Governor,,,Total Votes,706,280,385,41
Woodford,C101,Governor,,,Under Votes,2,0,2,0
Woodford,C101,Governor,,,Over Votes,0,0,0,0
Woodford,C101,Secretary of State,,REP,Michael ADAMS,431,164,244,23
Woodford,C101,Secretary of State,,DEM,"Charles ""Buddy"" WHEATLEY",260,110,132,18
Woodford,C101,Secretary of State,,,Kenneth C. Moellman Jr.,0,0,0,0
Woodford,C101,Secretary of State,,,Total Votes,691,274,376,41
Woodford,C101,Secretary of State,,,Under Votes,17,6,11,0
Woodford,C101,Secretary of State,,,Over Votes,0,0,0,0
Woodford,C101,Attorney General,,REP,Russell COLEMAN,382,137,224,21
Woodford,C101,Attorney General,,DEM,Pamela STEVENSON,306,136,150,20
Woodford,C101,Attorney General,,,Total Votes,688,273,374,41
Woodford,C101,Attorney General,,,Under Votes,20,7,13,0
Woodford,C101,Attorney General,,,Over Votes,0,0,0,0
Woodford,C101,Auditor of Public Accounts,,REP,Allison BALL,411,153,236,22
Woodford,C101,Auditor of Public Accounts,,DEM,"Kimberley ""Kim"" REEDER",274,117,139,18
Woodford,C101,Auditor of Public Accounts,,,Total Votes,685,270,375,40
Woodford,C101,Auditor of Public Accounts,,,Under Votes,23,10,12,1
Woodford,C101,Auditor of Public Accounts,,,Over Votes,0,0,0,0
Woodford,C101,State Treasurer,,REP,Mark H. METCALF,372,136,216,20
Woodford,C101,State Treasurer,,DEM,Michael BOWMAN,311,135,155,21
Woodford,C101,State Treasurer,,,Robert Perry,1,0,1,0
Woodford,C101,State Treasurer,,,Total Votes,684,271,372,41
Woodford,C101,State Treasurer,,,Under Votes,24,9,15,0
Woodford,C101,State Treasurer,,,Over Votes,0,0,0,0
Woodford,C101,Commissioner of Agriculture,,REP,Jonathan SHELL,398,145,231,22
Woodford,C101,Commissioner of Agriculture,,DEM,Sierra J. ENLOW,282,124,140,18
Woodford,C101,Commissioner of Agriculture,,,Total Votes,680,269,371,40
Woodford,C101,Commissioner of Agriculture,,,Under Votes,28,11,16,1
Woodford,C101,Commissioner of Agriculture,,,Over Votes,0,0,0,0
Woodford,C102,STRAIGHT PARTY,,,Republican,146,40,102,4
Woodford,C102,STRAIGHT PARTY,,,Democratic,132,55,57,20
Woodford,C102,Governor,,REP,"Daniel CAMERON / Robert M. ""Robby"" MILLS",208,54,148,6
Woodford,C102,Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,279,118,138,23
Woodford,C102,Governor,,,Brian Fishback / William Fishback,0,0,0,0
Woodford,C102,Governor,,,Total Votes,487,172,286,29
Woodford,C102,Governor,,,Under Votes,1,0,1,0
Woodford,C102,Governor,,,Over Votes,0,0,0,0
Woodford,C102,Secretary of State,,REP,Michael ADAMS,278,83,187,8
Woodford,C102,Secretary of State,,DEM,"Charles ""Buddy"" WHEATLEY",202,88,93,21
Woodford,C102,Secretary of State,,,Kenneth C. Moellman Jr.,0,0,0,0
Woodford,C102,Secretary of State,,,Total Votes,480,171,280,29
Woodford,C102,Secretary of State,,,Under Votes,8,1,7,0
Woodford,C102,Secretary of State,,,Over Votes,0,0,0,0
Woodford,C102,Attorney General,,REP,Russell COLEMAN,263,79,178,6
Woodford,C102,Attorney General,,DEM,Pamela STEVENSON,220,93,104,23
Woodford,C102,Attorney General,,,Total Votes,483,172,282,29
Woodford,C102,Attorney General,,,Under Votes,5,0,5,0
Woodford,C102,Attorney General,,,Over Votes,0,0,0,0
Woodford,C102,Auditor of Public Accounts,,REP,Allison BALL,273,84,181,8
Woodford,C102,Auditor of Public Accounts,,DEM,"Kimberley ""Kim"" REEDER",205,88,96,21
Woodford,C102,Auditor of Public Accounts,,,Total Votes,478,172,277,29
Woodford,C102,Auditor of Public Accounts,,,Under Votes,9,0,9,0
Woodford,C102,Auditor of Public Accounts,,,Over Votes,1,0,1,0
Woodford,C102,State Treasurer,,REP,Mark H. METCALF,245,71,167,7
Woodford,C102,State Treasurer,,DEM,Michael BOWMAN,230,99,109,22
Woodford,C102,State Treasurer,,,Robert Perry,0,0,0,0
Woodford,C102,State Treasurer,,,Total Votes,475,170,276,29
Woodford,C102,State Treasurer,,,Under Votes,13,2,11,0
Woodford,C102,State Treasurer,,,Over Votes,0,0,0,0
Woodford,C102,Commissioner of Agriculture,,REP,Jonathan SHELL,265,78,179,8
Woodford,C102,Commissioner of Agriculture,,DEM,Sierra J. ENLOW,211,91,99,21
Woodford,C102,Commissioner of Agriculture,,,Total Votes,476,169,278,29
Woodford,C102,Commissioner of Agriculture,,,Under Votes,12,3,9,0
Woodford,C102,Commissioner of Agriculture,,,Over Votes,0,0,0,0
Woodford,D101,STRAIGHT PARTY,,,Republican,202,57,143,2
Woodford,D101,STRAIGHT PARTY,,,Democratic,170,73,82,15
