county,precinct,office,district,party,candidate,votes,early_voting,election_day,absentee
Wayne,A103,Governor,,,Under Votes,0,0,0,0
Wayne,A103,Governor,,,Over Votes,0,0,0,0
Wayne,A103,Secretary of State,,REP,Michael ADAMS,292,44,241,7
Wayne,A103,Secretary of State,,DEM,"Charles ""Buddy"" WHEATLEY",84,12,66,6
Wayne,A103,Secretary of State,,,Kenneth C. Moellman Jr.,0,0,0,0
Wayne,A103,Secretary of State,,,Total Votes,376,56,307,13
Wayne,A103,Secretary of State,,,Under Votes,22,5,17,0
Wayne,A103,Secretary of State,,,Over Votes,0,0,0,0
Wayne,A103,Attorney General,,REP,Russell COLEMAN,285,43,235,7
Wayne,A103,Attorney General,,DEM,Pamela STEVENSON,91,14,71,6
Wayne,A103,Attorney General,,,Total Votes,376,57,306,13
Wayne,A103,Attorney General,,,Under Votes,22,4,18,0
Wayne,A103,Attorney General,,,Over Votes,0,0,0,0
Wayne,A103,Auditor of Public Accounts,,REP,Allison BALL,290,42,241,7
Wayne,A103,Auditor of Public Accounts,,DEM,"Kimberley ""Kim"" REEDER",84,15,63,6
Wayne,A103,Auditor of Public Accounts,,,Total Votes,374,57,304,13
Wayne,A103,Auditor of Public Accounts,,,Under Votes,24,4,20,0
Wayne,A103,Auditor of Public Accounts,,,Over Votes,0,0,0,0
Wayne,A103,State Treasurer,,REP,Mark H. METCALF,276,40,230,6
Wayne,A103,State Treasurer,,DEM,Michael BOWMAN,95,17,71,7
Wayne,A103,State Treasurer,,,Robert Perry,0,0,0,0
Wayne,A103,State Treasurer,,,Total Votes,371,57,301,13
Wayne,A103,State Treasurer,,,Under Votes,27,4,23,0
Wayne,A103,State Treasurer,,,Over Votes,0,0,0,0
Wayne,A103,Commissioner of Agriculture,,REP,Jonathan SHELL,296,44,245,7
Wayne,A103,Commissioner of Agriculture,,DEM,Sierra J. ENLOW,79,13,60,6
Wayne,A103,Commissioner of Agriculture,,,Total Votes,375,57,305,13
Wayne,A103,Commissioner of Agriculture,,,Under Votes,23,4,19,0
Wayne,A103,Commissioner of Agriculture,,,Over Votes,0,0,0,0
Wayne,A106,STRAIGHT PARTY,,,Republican,58,18,33,7
Wayne,A106,STRAIGHT PARTY,,,Democratic,20,5,12,3
Wayne,A106,Governor,,REP,"Daniel CAMERON / Robert M. ""Robby"" MILLS",92,21,60,11
Wayne,A106,Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,72,28,38,6
Wayne,A106,Governor,,,Brian Fishback / William Fishback,0,0,0,0
Wayne,A106,Governor,,,Total Votes,164,49,98,17
Wayne,A106,Governor,,,Under Votes,3,2,1,0
Wayne,A106,Governor,,,Over Votes,0,0,0,0
Wayne,A106,Secretary of State,,REP,Michael ADAMS,123,38,75,10
Wayne,A106,Secretary of State,,DEM,"Charles ""Buddy"" WHEATLEY",33,9,20,4
Wayne,A106,Secretary of State,,,Kenneth C. Moellman Jr.,0,0,0,0
Wayne,A106,Secretary of State,,,Total Votes,156,47,95,14
Wayne,A106,Secretary of State,,,Under Votes,11,4,4,3
Wayne,A106,Secretary of State,,,Over Votes,0,0,0,0
Wayne,A106,Attorney General,,REP,Russell COLEMAN,110,30,70,10
Wayne,A106,Attorney General,,DEM,Pamela STEVENSON,44,17,23,4
Wayne,A106,Attorney General,,,Total Votes,154,47,93,14
Wayne,A106,Attorney General,,,Under Votes,13,4,6,3
Wayne,A106,Attorney General,,,Over Votes,0,0,0,0
Wayne,A106,Auditor of Public Accounts,,REP,Allison BALL,122,37,74,11
Wayne,A106,Auditor of Public Accounts,,DEM,"Kimberley ""Kim"" REEDER",36,11,21,4
Wayne,A106,Auditor of Public Accounts,,,Total Votes,158,48,95,15
Wayne,A106,Auditor of Public Accounts,,,Under Votes,9,3,4,2
Wayne,A106,Auditor of Public Accounts,,,Over Votes,0,0,0,0
Wayne,A106,State Treasurer,,REP,Mark H. METCALF,106,28,69,9
Wayne,A106,State Treasurer,,DEM,Michael BOWMAN,48,19,24,5
Wayne,A106,State Treasurer,,,Robert Perry,0,0,0,0
Wayne,A106,State Treasurer,,,Total Votes,154,47,93,14
Wayne,A106,State Treasurer,,,Under Votes,13,4,6,3
Wayne,A106,State Treasurer,,,Over Votes,0,0,0,0
Wayne,A106,Commissioner of Agriculture,,REP,Jonathan SHELL,115,31,74,10
Wayne,A106,Commissioner of Agriculture,,DEM,Sierra J. ENLOW,42,17,21,4
Wayne,A106,Commissioner of Agriculture,,,Total Votes,157,48,95,14
Wayne,A106,Commissioner of Agriculture,,,Under Votes,10,3,4,3
Wayne,A106,Commissioner of Agriculture,,,Over Votes,0,0,0,0
Wayne,A107,STRAIGHT PARTY,,,Republican,59,18,41,0
Wayne,A107,STRAIGHT PARTY,,,Democratic,27,7,17,3
Wayne,A107,Governor,,REP,"Daniel CAMERON / Robert M. ""Robby"" MILLS",87,27,58,2
Wayne,A107,Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,70,20,39,11
Wayne,A107,Governor,,,Brian Fishback / William Fishback,0,0,0,0
Wayne,A107,Governor,,,Total Votes,157,47,97,13
Wayne,A107,Governor,,,Under Votes,5,3,2,0
Wayne,A107,Governor,,,Over Votes,0,0,0,0
Wayne,A107,Secretary of State,,REP,Michael ADAMS,112,37,70,5
Wayne,A107,Secretary of State,,DEM,"Charles ""Buddy"" WHEATLEY",44,9,27,8
Wayne,A107,Secretary of State,,,Kenneth C. Moellman Jr.,0,0,0,0
Wayne,A107,Secretary of State,,,Total Votes,156,46,97,13
Wayne,A107,Secretary of State,,,Under Votes,6,4,2,0
Wayne,A107,Secretary of State,,,Over Votes,0,0,0,0
Wayne,A107,Attorney General,,REP,Russell COLEMAN,111,34,74,3
Wayne,A107,Attorney General,,DEM,Pamela STEVENSON,47,14,23,10
Wayne,A107,Attorney General,,,Total Votes,158,48,97,13
Wayne,A107,Attorney General,,,Under Votes,4,2,2,0
Wayne,A107,Attorney General,,,Over Votes,0,0,0,0
Wayne,A107,Auditor of Public Accounts,,REP,Allison BALL,113,38,72,3
Wayne,A107,Auditor of Public Accounts,,DEM,"Kimberley ""Kim"" REEDER",43,10,23,10
Wayne,A107,Auditor of Public Accounts,,,Total Votes,156,48,95,13
Wayne,A107,Auditor of Public Accounts,,,Under Votes,6,2,4,0
Wayne,A107,Auditor of Public Accounts,,,Over Votes,0,0,0,0
Wayne,A107,State Treasurer,,REP,Mark H. METCALF,106,37,66,3
Wayne,A107,State Treasurer,,DEM,Michael BOWMAN,49,11,29,9
Wayne,A107,State Treasurer,,,Robert Perry,0,0,0,0
Wayne,A107,State Treasurer,,,Total Votes,155,48,95,12
Wayne,A107,State Treasurer,,,Under Votes,7,2,4,1
Wayne,A107,State Treasurer,,,Over Votes,0,0,0,0
Wayne,A107,Commissioner of Agriculture,,REP,Jonathan SHELL,116,38,74,4
Wayne,A107,Commissioner of Agriculture,,DEM,Sierra J. ENLOW,39,10,21,8
Wayne,A107,Commissioner of Agriculture,,,Total Votes,155,48,95,12
Wayne,A107,Commissioner of Agriculture,,,Under Votes,7,2,4,1
Wayne,A107,Commissioner of Agriculture,,,Over Votes,0,0,0,0
Wayne,B101,STRAIGHT PARTY,,,Republican,115,20,92,3
Wayne,B101,STRAIGHT PARTY,,,Democratic,38,11,26,1
Wayne,B101,Governor,,REP,"Daniel CAMERON / Robert M. ""Robby"" MILLS",163,28,129,6
Wayne,B101,Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,130,26,97,7
Wayne,B101,Governor,,,Brian Fishback / William Fishback,0,0,0,0
Wayne,B101,Governor,,,Total Votes,293,54,226,13
Wayne,B101,Governor,,,Under Votes,3,0,1,2
Wayne,B101,Governor,,,Over Votes,0,0,0,0
Wayne,B101,Secretary of State,,REP,Michael ADAMS,211,35,162,14
Wayne,B101,Secretary of State,,DEM,"Charles ""Buddy"" WHEATLEY",75,17,57,1
Wayne,B101,Secretary of State,,,Kenneth C. Moellman Jr.,0,0,0,0
Wayne,B101,Secretary of State,,,Total Votes,286,52,219,15
Wayne,B101,Secretary of State,,,Under Votes,10,2,8,0
Wayne,B101,Secretary of State,,,Over Votes,0,0,0,0
Wayne,B101,Attorney General,,REP,Russell COLEMAN,204,34,157,13
Wayne,B101,Attorney General,,DEM,Pamela STEVENSON,82,19,61,2
Wayne,B101,Attorney General,,,Total Votes,286,53,218,15
Wayne,B101,Attorney General,,,Under Votes,10,1,9,0
Wayne,B101,Attorney General,,,Over Votes,0,0,0,0
Wayne,B101,Auditor of Public Accounts,,REP,Allison BALL,217,33,170,14
Wayne,B101,Auditor of Public Accounts,,DEM,"Kimberley ""Kim"" REEDER",69,18,50,1
Wayne,B101,Auditor of Public Accounts,,,Total Votes,286,51,220,15
Wayne,B101,Auditor of Public Accounts,,,Under Votes,10,3,7,0
Wayne,B101,Auditor of Public Accounts,,,Over Votes,0,0,0,0
Wayne,B101,State Treasurer,,REP,Mark H. METCALF,187,31,143,13
Wayne,B101,State Treasurer,,DEM,Michael BOWMAN,96,21,73,2
Wayne,B101,State Treasurer,,,Robert Perry,0,0,0,0
Wayne,B101,State Treasurer,,,Total Votes,283,52,216,15
Wayne,B101,State Treasurer,,,Under Votes,13,2,11,0
Wayne,B101,State Treasurer,,,Over Votes,0,0,0,0
Wayne,B101,Commissioner of Agriculture,,REP,Jonathan SHELL,200,32,155,13
Wayne,B101,Commissioner of Agriculture,,DEM,Sierra J. ENLOW,81,19,60,2
Wayne,B101,Commissioner of Agriculture,,,Total Votes,281,51,215,15
Wayne,B101,Commissioner of Agriculture,,,Under Votes,15,3,12,0
Wayne,B101,Commissioner of Agriculture,,,Over Votes,0,0,0,0
Wayne,B102,STRAIGHT PARTY,,,Republican,90,6,84,0
Wayne,B102,STRAIGHT PARTY,,,Democratic,16,3,13,0
Wayne,B102,Governor,,REP,"Daniel CAMERON / Robert M. ""Robby"" MILLS",137,16,121,0
Wayne,B102,Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,67,8,53,6
Wayne,B102,Governor,,,Brian Fishback / William Fishback,0,0,0,0
Wayne,B102,Governor,,,Total Votes,204,24,174,6
Wayne,B102,Governor,,,Under Votes,1,0,1,0
Wayne,B102,Governor,,,Over Votes,0,0,0,0
Wayne,B102,Secretary of State,,REP,Michael ADAMS,157,16,136,5
Wayne,B102,Secretary of State,,DEM,"Charles ""Buddy"" WHEATLEY",42,8,33,1
Wayne,B102,Secretary of State,,,Kenneth C. Moellman Jr.,0,0,0,0
Wayne,B102,Secretary of State,,,Total Votes,199,24,169,6
Wayne,B102,Secretary of State,,,Under Votes,6,0,6,0
Wayne,B102,Secretary of State,,,Over Votes,0,0,0,0
Wayne,B102,Attorney General,,REP,Russell COLEMAN,162,17,141,4
Wayne,B102,Attorney General,,DEM,Pamela STEVENSON,37,6,29,2
Wayne,B102,Attorney General,,,Total Votes,199,23,170,6
Wayne,B102,Attorney General,,,Under Votes,6,1,5,0
Wayne,B102,Attorney General,,,Over Votes,0,0,0,0
Wayne,B102,Auditor of Public Accounts,,REP,Allison BALL,162,16,141,5
Wayne,B102,Auditor of Public Accounts,,DEM,"Kimberley ""Kim"" REEDER",35,7,27,1
Wayne,B102,Auditor of Public Accounts,,,Total Votes,197,23,168,6
Wayne,B102,Auditor of Public Accounts,,,Under Votes,8,1,7,0
Wayne,B102,Auditor of Public Accounts,,,Over Votes,0,0,0,0
Wayne,B102,State Treasurer,,REP,Mark H. METCALF,158,17,138,3
Wayne,B102,State Treasurer,,DEM,Michael BOWMAN,41,7,31,3
Wayne,B102,State Treasurer,,,Robert Perry,0,0,0,0
Wayne,B102,State Treasurer,,,Total Votes,199,24,169,6
Wayne,B102,State Treasurer,,,Under Votes,6,0,6,0
Wayne,B102,State Treasurer,,,Over Votes,0,0,0,0
Wayne,B102,Commissioner of Agriculture,,REP,Jonathan SHELL,164,17,142,5
Wayne,B102,Commissioner of Agriculture,,DEM,Sierra J. ENLOW,35,7,27,1
Wayne,B102,Commissioner of Agriculture,,,Total Votes,199,24,169,6
Wayne,B102,Commissioner of Agriculture,,,Under Votes,6,0,6,0
Wayne,B102,Commissioner of Agriculture,,,Over Votes,0,0,0,0
Wayne,B103,STRAIGHT PARTY,,,Republican,157,17,137,3
Wayne,B103,STRAIGHT PARTY,,,Democratic,26,6,19,1
Wayne,B103,Governor,,REP,"Daniel CAMERON / Robert M. ""Robby"" MILLS",226,25,196,5
Wayne,B103,Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,96,16,76,4
Wayne,B103,Governor,,,Brian Fishback / William Fishback,0,0,0,0
Wayne,B103,Governor,,,Total Votes,322,41,272,9
Wayne,B103,Governor,,,Under Votes,2,0,2,0
Wayne,B103,Governor,,,Over Votes,1,1,0,0
Wayne,B103,Secretary of State,,REP,Michael ADAMS,258,28,223,7
Wayne,B103,Secretary of State,,DEM,"Charles ""Buddy"" WHEATLEY",54,12,40,2
Wayne,B103,Secretary of State,,,Kenneth C. Moellman Jr.,0,0,0,0
Wayne,B103,Secretary of State,,,Total Votes,312,40,263,9
Wayne,B103,Secretary of State,,,Under Votes,13,2,11,0
Wayne,B103,Secretary of State,,,Over Votes,0,0,0,0
Wayne,B103,Attorney General,,REP,Russell COLEMAN,255,28,220,7
Wayne,B103,Attorney General,,DEM,Pamela STEVENSON,58,12,44,2
Wayne,B103,Attorney General,,,Total Votes,313,40,264,9
Wayne,B103,Attorney General,,,Under Votes,12,2,10,0
Wayne,B103,Attorney General,,,Over Votes,0,0,0,0
Wayne,B103,Auditor of Public Accounts,,REP,Allison BALL,259,32,220,7
Wayne,B103,Auditor of Public Accounts,,DEM,"Kimberley ""Kim"" REEDER",52,9,41,2
Wayne,B103,Auditor of Public Accounts,,,Total Votes,311,41,261,9
Wayne,B103,Auditor of Public Accounts,,,Under Votes,14,1,13,0
Wayne,B103,Auditor of Public Accounts,,,Over Votes,0,0,0,0
Wayne,B103,State Treasurer,,REP,Mark H. METCALF,244,27,210,7
Wayne,B103,State Treasurer,,DEM,Michael BOWMAN,59,11,46,2
Wayne,B103,State Treasurer,,,Robert Perry,0,0,0,0
Wayne,B103,State Treasurer,,,Total Votes,303,38,256,9
Wayne,B103,State Treasurer,,,Under Votes,22,4,18,0
Wayne,B103,State Treasurer,,,Over Votes,0,0,0,0
Wayne,B103,Commissioner of Agriculture,,REP,Jonathan SHELL,266,32,227,7
Wayne,B103,Commissioner of Agriculture,,DEM,Sierra J. ENLOW,44,8,34,2
Wayne,B103,Commissioner of Agriculture,,,Total Votes,310,40,261,9
Wayne,B103,Commissioner of Agriculture,,,Under Votes,15,2,13,0
Wayne,B103,Commissioner of Agriculture,,,Over Votes,0,0,0,0
Wayne,B106,STRAIGHT PARTY,,,Republican,116,17,89,10
Wayne,B106,STRAIGHT PARTY,,,Democratic,17,4,13,0
Wayne,B106,Governor,,REP,"Daniel CAMERON / Robert M. ""Robby"" MILLS",157,27,116,14
Wayne,B106,Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,52,7,40,5
Wayne,B106,Governor,,,Brian Fishback / William Fishback,0,0,0,0
Wayne,B106,Governor,,,Total Votes,209,34,156,19
Wayne,B106,Governor,,,Under Votes,1,0,1,0
Wayne,B106,Governor,,,Over Votes,0,0,0,0
Wayne,B106,Secretary of State,,REP,Michael ADAMS,179,29,131,19
Wayne,B106,Secretary of State,,DEM,"Charles ""Buddy"" WHEATLEY",27,5,22,0
Wayne,B106,Secretary of State,,,Kenneth C. Moellman Jr.,0,0,0,0
Wayne,B106,Secretary of State,,,Total Votes,206,34,153,19
Wayne,B106,Secretary of State,,,Under Votes,4,0,4,0
Wayne,B106,Secretary of State,,,Over Votes,0,0,0,0
Wayne,B106,Attorney General,,REP,Russell COLEMAN,178,28,134,16
Wayne,B106,Attorney General,,DEM,Pamela STEVENSON,26,6,17,3
Wayne,B106,Attorney General,,,Total Votes,204,34,151,19
Wayne,B106,Attorney General,,,Under Votes,6,0,6,0
Wayne,B106,Attorney General,,,Over Votes,0,0,0,0
Wayne,B106,Auditor of Public Accounts,,REP,Allison BALL,181,28,134,19
Wayne,B106,Auditor of Public Accounts,,DEM,"Kimberley ""Kim"" REEDER",24,6,18,0
Wayne,B106,Auditor of Public Accounts,,,Total Votes,205,34,152,19
Wayne,B106,Auditor of Public Accounts,,,Under Votes,5,0,5,0
Wayne,B106,Auditor of Public Accounts,,,Over Votes,0,0,0,0
Wayne,B106,State Treasurer,,REP,Mark H. METCALF,169,26,125,18
Wayne,B106,State Treasurer,,DEM,Michael BOWMAN,34,8,25,1
Wayne,B106,State Treasurer,,,Robert Perry,0,0,0,0
Wayne,B106,State Treasurer,,,Total Votes,203,34,150,19
Wayne,B106,State Treasurer,,,Under Votes,7,0,7,0
Wayne,B106,State Treasurer,,,Over Votes,0,0,0,0
Wayne,B106,Commissioner of Agriculture,,REP,Jonathan SHELL,172,28,126,18
Wayne,B106,Commissioner of Agriculture,,DEM,Sierra J. ENLOW,30,6,23,1
Wayne,B106,Commissioner of Agriculture,,,Total Votes,202,34,149,19
Wayne,B106,Commissioner of Agriculture,,,Under Votes,8,0,8,0
Wayne,B106,Commissioner of Agriculture,,,Over Votes,0,0,0,0
Wayne,B109,STRAIGHT PARTY,,,Republican,51,12,39,0
Wayne,B109,STRAIGHT PARTY,,,Democratic,18,4,14,0
Wayne,B109,Governor,,REP,"Daniel CAMERON / Robert M. ""Robby"" MILLS",79,20,59,0
Wayne,B109,Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,51,12,36,3
Wayne,B109,Governor,,,Brian Fishback / William Fishback,0,0,0,0
Wayne,B109,Governor,,,Total Votes,130,32,95,3
Wayne,B109,Governor,,,Under Votes,2,0,2,0
Wayne,B109,Governor,,,Over Votes,0,0,0,0
Wayne,B109,Secretary of State,,REP,Michael ADAMS,100,24,75,1
Wayne,B109,Secretary of State,,DEM,"Charles ""Buddy"" WHEATLEY",24,6,18,0
Wayne,B109,Secretary of State,,,Kenneth C. Moellman Jr.,0,0,0,0
Wayne,B109,Secretary of State,,,Total Votes,124,30,93,1
Wayne,B109,Secretary of State,,,Under Votes,8,2,4,2
Wayne,B109,Secretary of State,,,Over Votes,0,0,0,0
Wayne,B109,Attorney General,,REP,Russell COLEMAN,95,25,70,0
Wayne,B109,Attorney General,,DEM,Pamela STEVENSON,30,6,23,1
Wayne,B109,Attorney General,,,Total Votes,125,31,93,1
Wayne,B109,Attorney General,,,Under Votes,7,1,4,2
Wayne,B109,Attorney General,,,Over Votes,0,0,0,0
Wayne,B109,Auditor of Public Accounts,,REP,Allison BALL,102,25,76,1
Wayne,B109,Auditor of Public Accounts,,DEM,"Kimberley ""Kim"" REEDER",22,5,17,0
Wayne,B109,Auditor of Public Accounts,,,Total Votes,124,30,93,1
Wayne,B109,Auditor of Public Accounts,,,Under Votes,8,2,4,2
Wayne,B109,Auditor of Public Accounts,,,Over Votes,0,0,0,0
Wayne,B109,State Treasurer,,REP,Mark H. METCALF,95,25,69,1
Wayne,B109,State Treasurer,,DEM,Michael BOWMAN,27,4,23,0
Wayne,B109,State Treasurer,,,Robert Perry,0,0,0,0
Wayne,B109,State Treasurer,,,Total Votes,122,29,92,1
Wayne,B109,State Treasurer,,,Under Votes,10,3,5,2
Wayne,B109,State Treasurer,,,Over Votes,0,0,0,0
Wayne,B109,Commissioner of Agriculture,,REP,Jonathan SHELL,102,26,75,1
Wayne,B109,Commissioner of Agriculture,,DEM,Sierra J. ENLOW,25,5,20,0
Wayne,B109,Commissioner of Agriculture,,,Total Votes,127,31,95,1
Wayne,B109,Commissioner of Agriculture,,,Under Votes,5,1,2,2
Wayne,B109,Commissioner of Agriculture,,,Over Votes,0,0,0,0
Wayne,D104,STRAIGHT PARTY,,,Republican,89,14,72,3
Wayne,D104,STRAIGHT PARTY,,,Democratic,17,7,8,2
Wayne,D104,Governor,,REP,"Daniel CAMERON / Robert M. ""Robby"" MILLS",131,23,104,4
Wayne,D104,Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,70,13,46,11
Wayne,D104,Governor,,,Brian Fishback / William Fishback,0,0,0,0
Wayne,D104,Governor,,,Total Votes,201,36,150,15
Wayne,D104,Governor,,,Under Votes,0,0,0,0
Wayne,D104,Governor,,,Over Votes,0,0,0,0
Wayne,D104,Secretary of State,,REP,Michael ADAMS,157,29,118,10
Wayne,D104,Secretary of State,,DEM,"Charles ""Buddy"" WHEATLEY",36,7,25,4
Wayne,D104,Secretary of State,,,Kenneth C. Moellman Jr.,0,0,0,0
Wayne,D104,Secretary of State,,,Total Votes,193,36,143,14
Wayne,D104,Secretary of State,,,Under Votes,8,0,7,1
Wayne,D104,Secretary of State,,,Over Votes,0,0,0,0
Wayne,D104,Attorney General,,REP,Russell COLEMAN,152,27,117,8
Wayne,D104,Attorney General,,DEM,Pamela STEVENSON,41,8,27,6
Wayne,D104,Attorney General,,,Total Votes,193,35,144,14
Wayne,D104,Attorney General,,,Under Votes,8,1,6,1
Wayne,D104,Attorney General,,,Over Votes,0,0,0,0
Wayne,D104,Auditor of Public Accounts,,REP,Allison BALL,151,28,115,8
Wayne,D104,Auditor of Public Accounts,,DEM,"Kimberley ""Kim"" REEDER",41,7,29,5
Wayne,D104,Auditor of Public Accounts,,,Total Votes,192,35,144,13
Wayne,D104,Auditor of Public Accounts,,,Under Votes,9,1,6,2
Wayne,D104,Auditor of Public Accounts,,,Over Votes,0,0,0,0
Wayne,D104,State Treasurer,,REP,Mark H. METCALF,145,28,109,8
Wayne,D104,State Treasurer,,DEM,Michael BOWMAN,43,7,30,6
Wayne,D104,State Treasurer,,,Robert Perry,0,0,0,0
Wayne,D104,State Treasurer,,,Total Votes,188,35,139,14
Wayne,D104,State Treasurer,,,Under Votes,13,1,11,1
Wayne,D104,State Treasurer,,,Over Votes,0,0,0,0
Wayne,D104,Commissioner of Agriculture,,REP,Jonathan SHELL,153,28,116,9
Wayne,D104,Commissioner of Agriculture,,DEM,Sierra J. ENLOW,37,7,25,5
Wayne,D104,Commissioner of Agriculture,,,Total Votes,190,35,141,14
Wayne,D104,Commissioner of Agriculture,,,Under Votes,11,1,9,1
Wayne,D104,Commissioner of Agriculture,,,Over Votes,0,0,0,0
