county,precinct,candidate,office,district,party,votes
Jefferson,A105,,Ballots Cast,,,881
Jefferson,A105,,Straight Party,,REP,176
Jefferson,A105,,Straight Party,,DEM,351
Jefferson,A105,,Straight Party,,LIB,3
Jefferson,A105,,Straight Party,,AME,4
Jefferson,A105,Vickie Yates B Glisson,U.S. House,3,,316
Jefferson,A105,John A Yarmuth,U.S. House,3,,555
Jefferson,A105,Gregory Boles,U.S. House,3,,8
Jefferson,A105,Charles W Miller,State Representative,28,,669
Jefferson,A107,,Ballots Cast,,,410
Jefferson,A107,,Straight Party,,REP,82
Jefferson,A107,,Straight Party,,DEM,121
Jefferson,A107,,Straight Party,,LIB,0
Jefferson,A107,,Straight Party,,AME,7
Jefferson,A107,Vickie Yates B Glisson,U.S. House,3,,159
Jefferson,A107,John A Yarmuth,U.S. House,3,,245
Jefferson,A107,Gregory Boles,U.S. House,3,,4
Jefferson,A107,Charles W Miller,State Representative,28,,313
Jefferson,A108,,Ballots Cast,,,677
Jefferson,A108,,Straight Party,,REP,155
Jefferson,A108,,Straight Party,,DEM,179
Jefferson,A108,,Straight Party,,LIB,5
Jefferson,A108,,Straight Party,,AME,8
Jefferson,A108,Vickie Yates B Glisson,U.S. House,3,,300
Jefferson,A108,John A Yarmuth,U.S. House,3,,358
Jefferson,A108,Gregory Boles,U.S. House,3,,14
Jefferson,A108,Charles W Miller,State Representative,28,,492
Jefferson,A111,,Ballots Cast,,,546
Jefferson,A111,,Straight Party,,REP,146
Jefferson,A111,,Straight Party,,DEM,139
Jefferson,A111,,Straight Party,,LIB,6
Jefferson,A111,,Straight Party,,AME,2
Jefferson,A111,Vickie Yates B Glisson,U.S. House,3,,265
Jefferson,A111,John A Yarmuth,U.S. House,3,,269
Jefferson,A111,Gregory Boles,U.S. House,3,,8
Jefferson,A111,Charles W Miller,State Representative,28,,371
Jefferson,A113,,Ballots Cast,,,664
Jefferson,A113,,Straight Party,,REP,176
Jefferson,A113,,Straight Party,,DEM,178
Jefferson,A113,,Straight Party,,LIB,0
Jefferson,A113,,Straight Party,,AME,2
Jefferson,A113,Vickie Yates B Glisson,U.S. House,3,,324
Jefferson,A113,John A Yarmuth,U.S. House,3,,330
Jefferson,A113,Gregory Boles,U.S. House,3,,6
Jefferson,A113,Charles W Miller,State Representative,28,,442
Jefferson,A114,,Ballots Cast,,,491
Jefferson,A114,,Straight Party,,REP,132
Jefferson,A114,,Straight Party,,DEM,126
Jefferson,A114,,Straight Party,,LIB,1
Jefferson,A114,,Straight Party,,AME,5
Jefferson,A114,Vickie Yates B Glisson,U.S. House,3,,246
Jefferson,A114,John A Yarmuth,U.S. House,3,,230
Jefferson,A114,Gregory Boles,U.S. House,3,,8
Jefferson,A114,Charles W Miller,State Representative,28,,334
Jefferson,A115,,Ballots Cast,,,511
Jefferson,A115,,Straight Party,,REP,172
Jefferson,A115,,Straight Party,,DEM,123
