county,precinct,candidate,office,district,party,votes,absentee_mail,absentee_walk_in
Pulaski,Absentee,,Ballots Cast,,DEM ,1321,306,1015
Pulaski,Absentee,,Straight Party,,REP,449,126,323
Pulaski,Absentee,,Straight Party,,DEM ,77,23,54
Pulaski,Absentee,"Harold ""Hal"" Rogers ",U.S. House,5,REP,1070,253,817
Pulaski,Absentee,Kenneth S Stepp,U.S. House,5,DEM ,212,50,162
Pulaski,Absentee,Billy Ray Wilson ,U.S. House,5,W,0,0,0
Pulaski,Absentee,Ken Upchurch ,State Representative,52,REP,119,40,79
Pulaski,Absentee,Dean Sumpter,State Representative,52,DEM ,34,8,26
Pulaski,Absentee,David Meade,State Representative,80,REP,279,84,195
Pulaski,Absentee,Jeff Hoover,State Representative,83,REP,196,40,156
Pulaski,Absentee,Tommy Turner,State Representative,85,REP,418,80,338
Pulaski,A101 West Somerset 5B,,Ballots Cast,,DEM ,165,,
Pulaski,A101 West Somerset 5B,,Registered Voters,,REP,475,,
Pulaski,A101 West Somerset 5B,,Straight Party,,REP,44,,
Pulaski,A101 West Somerset 5B,,Straight Party,,DEM ,11,,
Pulaski,A101 West Somerset 5B,"Harold ""Hal"" Rogers ",U.S. House,5,REP,130,,
Pulaski,A101 West Somerset 5B,Kenneth S Stepp,U.S. House,5,DEM ,30,,
Pulaski,A101 West Somerset 5B,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,A101 West Somerset 5B,David Meade,State Representative,80,REP,123,,
Pulaski,A102 Saline 11,,Ballots Cast,,DEM ,643,,
Pulaski,A102 Saline 11,,Registered Voters,,REP,1488,,
Pulaski,A102 Saline 11,,Straight Party,,REP,183,,
Pulaski,A102 Saline 11,,Straight Party,,DEM ,39,,
Pulaski,A102 Saline 11,"Harold ""Hal"" Rogers ",U.S. House,5,REP,534,,
Pulaski,A102 Saline 11,Kenneth S Stepp,U.S. House,5,DEM ,94,,
Pulaski,A102 Saline 11,Billy Ray Wilson ,U.S. House,5,W,0,,
Pulaski,A102 Saline 11,David Meade,State Representative,80,REP,496,,
Pulaski,A103 Nancy 15,,Ballots Cast,,DEM ,771,,
Pulaski,A103 Nancy 15,,Registered Voters,,REP,1522,,
Pulaski,A103 Nancy 15,,Straight Party,,REP,198,,
Pulaski,A103 Nancy 15,,Straight Party,,DEM ,19,,
Pulaski,A103 Nancy 15,"Harold ""Hal"" Rogers ",U.S. House,5,REP,640,,
