county,precinct,office,district,party,candidate,eslate,escan,mail,votes
Lewis,Absentee,U.S. House,4,REP,Thomas Massie,,69,27,96
Lewis,Tollesboro,U.S. House,4,REP,Thomas Massie,140,345,,485
Lewis,Burtonville,U.S. House,4,REP,Thomas Massie,13,123,,136
Lewis,Concord/Mowers,U.S. House,4,REP,Thomas Massie,47,69,,116
Lewis,Vanceburg #1,U.S. House,4,REP,Thomas Massie,20,98,,118
Lewis,Vanceburg #2,U.S. House,4,REP,Thomas Massie,19,47,,66
Lewis,Vanceburg #3,U.S. House,4,REP,Thomas Massie,44,124,,168
Lewis,Black Oak,U.S. House,4,REP,Thomas Massie,51,200,,251
Lewis,Tannery,U.S. House,4,REP,Thomas Massie,24,117,,141
Lewis,Garrison,U.S. House,4,REP,Thomas Massie,67,124,,191
Lewis,Quincy,U.S. House,4,REP,Thomas Massie,71,126,,197
Lewis,Firebrick,U.S. House,4,REP,Thomas Massie,17,79,,96
Lewis,Vanceburg #4,U.S. House,4,REP,Thomas Massie,81,157,,238
Lewis,Laurel,U.S. House,4,REP,Thomas Massie,40,170,,210
Lewis,Petersville,U.S. House,4,REP,Thomas Massie,0,111,,111
Lewis,Absentee,U.S. House,4,DEM,Seth Hall,,23,4,27
Lewis,Tollesboro,U.S. House,4,DEM,Seth Hall,21,41,,62
Lewis,Burtonville,U.S. House,4,DEM,Seth Hall,2,45,,47
Lewis,Concord/Mowers,U.S. House,4,DEM,Seth Hall,5,4,,9
Lewis,Vanceburg #1,U.S. House,4,DEM,Seth Hall,5,14,,19
Lewis,Vanceburg #2,U.S. House,4,DEM,Seth Hall,6,10,,16
Lewis,Vanceburg #3,U.S. House,4,DEM,Seth Hall,2,18,,20
Lewis,Black Oak,U.S. House,4,DEM,Seth Hall,6,47,,53
Lewis,Tannery,U.S. House,4,DEM,Seth Hall,8,29,,37
Lewis,Garrison,U.S. House,4,DEM,Seth Hall,12,32,,44
Lewis,Quincy,U.S. House,4,DEM,Seth Hall,14,26,,40
Lewis,Firebrick,U.S. House,4,DEM,Seth Hall,2,18,,20
Lewis,Vanceburg #4,U.S. House,4,DEM,Seth Hall,21,37,,58
Lewis,Laurel,U.S. House,4,DEM,Seth Hall,3,36,,39
Lewis,Petersville,U.S. House,4,DEM,Seth Hall,0,25,,25
Lewis,Absentee,U.S. House,4,IND,Mike Moffett,,0,0,0
Lewis,Tollesboro,U.S. House,4,IND,Mike Moffett,2,11,,13
Lewis,Burtonville,U.S. House,4,IND,Mike Moffett,1,3,,4
Lewis,Concord/Mowers,U.S. House,4,IND,Mike Moffett,0,0,,0
Lewis,Vanceburg #1,U.S. House,4,IND,Mike Moffett,0,2,,2
Lewis,Vanceburg #2,U.S. House,4,IND,Mike Moffett,2,3,,5
Lewis,Vanceburg #3,U.S. House,4,IND,Mike Moffett,3,3,,6
Lewis,Black Oak,U.S. House,4,IND,Mike Moffett,2,9,,11
Lewis,Tannery,U.S. House,4,IND,Mike Moffett,0,3,,3
Lewis,Garrison,U.S. House,4,IND,Mike Moffett,1,5,,6
Lewis,Quincy,U.S. House,4,IND,Mike Moffett,1,3,,4
Lewis,Firebrick,U.S. House,4,IND,Mike Moffett,0,3,,3
Lewis,Vanceburg #4,U.S. House,4,IND,Mike Moffett,1,6,,7
Lewis,Laurel,U.S. House,4,IND,Mike Moffett,1,5,,6
Lewis,Petersville,U.S. House,4,IND,Mike Moffett,0,5,,5
Lewis,Absentee,State Representative,99,DEM,Rocky Adkins,,67,19,86
Lewis,Tollesboro,State Representative,99,DEM,Rocky Adkins,90,183,,273
Lewis,Burtonville,State Representative,99,DEM,Rocky Adkins,10,102,,112
Lewis,Concord/Mowers,State Representative,99,DEM,Rocky Adkins,33,33,,66
Lewis,Vanceburg #1,State Representative,99,DEM,Rocky Adkins,18,61,,79
Lewis,Vanceburg #2,State Representative,99,DEM,Rocky Adkins,26,39,,65
Lewis,Vanceburg #3,State Representative,99,DEM,Rocky Adkins,31,82,,113
Lewis,Black Oak,State Representative,99,DEM,Rocky Adkins,47,175,,222
Lewis,Tannery,State Representative,99,DEM,Rocky Adkins,20,74,,94
Lewis,Garrison,State Representative,99,DEM,Rocky Adkins,54,94,,148
Lewis,Quincy,State Representative,99,DEM,Rocky Adkins,56,85,,141
Lewis,Firebrick,State Representative,99,DEM,Rocky Adkins,11,56,,67
Lewis,Vanceburg #4,State Representative,99,DEM,Rocky Adkins,66,135,,201
Lewis,Laurel,State Representative,99,DEM,Rocky Adkins,27,104,,131
Lewis,Petersville,State Representative,99,DEM,Rocky Adkins,0,79,,79
