county,precinct,office,district,party,candidate,eslate,escan,votes,absentee_mail,absentee
Washington,Absentee,Straight Party,,REP,Republican,,,42,11,31
Washington,Absentee,Straight Party,,DEM,Democratic,,,36,26,10
Washington,Absentee,U.S. House,2,REP,S. Brett Guthrie,,,166,51,115
Washington,Absentee,U.S. House,2,DEM,Hank Linderman,,,78,39,39
Washington,Absentee,U.S. House,2,IND,Thomas A. Loecken,,,7,2,5
Washington,Absentee,State Senate,22,REP,Tom Buford,,,138,41,97
Washington,Absentee,State Senate,22,DEM,Carolyn DuPont,,,107,48,59
Washington,Absentee,State House,55,REP,Kim King,,,161,46,115
Washington,Absentee,State House,55,DEM,Cathy Carter,,,91,45,46
Washington,Mooresville,Straight Party,,REP,Republican,11,37,48,,
Washington,Mooresville,Straight Party,,DEM,Democratic,11,19,30,,
Washington,Mooresville,U.S. House,2,REP,S. Brett Guthrie,50,135,185,,
Washington,Mooresville,U.S. House,2,DEM,Hank Linderman,15,50,65,,
Washington,Mooresville,U.S. House,2,IND,Thomas A. Loecken,2,4,6,,
Washington,Mooresville,State Senate,22,REP,Tom Buford,50,122,172,,
Washington,Mooresville,State Senate,22,DEM,Carolyn DuPont,17,63,80,,
Washington,Mooresville,State House,55,REP,Kim King,50,133,183,,
Washington,Mooresville,State House,55,DEM,Cathy Carter,17,59,76,,
Washington,Brush Grove,Straight Party,,REP,Republican,1,145,146,,
Washington,Brush Grove,Straight Party,,DEM,Democratic,0,32,32,,
Washington,Brush Grove,U.S. House,2,REP,S. Brett Guthrie,1,332,333,,
Washington,Brush Grove,U.S. House,2,DEM,Hank Linderman,0,64,64,,
Washington,Brush Grove,U.S. House,2,IND,Thomas A. Loecken,0,6,6,,
Washington,Brush Grove,State Senate,22,REP,Tom Buford,1,307,308,,
Washington,Brush Grove,State Senate,22,DEM,Carolyn DuPont,0,93,93,,
Washington,Brush Grove,State House,55,REP,Kim King,1,330,331,,
Washington,Brush Grove,State House,55,DEM,Cathy Carter,0,75,75,,
Washington,Sharpsville,Straight Party,,REP,Republican,20,21,41,,
Washington,Sharpsville,Straight Party,,DEM,Democratic,2,5,7,,
Washington,Sharpsville,U.S. House,2,REP,S. Brett Guthrie,25,50,75,,
Washington,Sharpsville,U.S. House,2,DEM,Hank Linderman,12,19,31,,
Washington,Sharpsville,U.S. House,2,IND,Thomas A. Loecken,0,0,0,,
Washington,Sharpsville,State Senate,22,REP,Tom Buford,26,48,74,,
Washington,Sharpsville,State Senate,22,DEM,Carolyn DuPont,12,18,30,,
Washington,Sharpsville,State House,55,REP,Kim King,27,46,73,,
Washington,Sharpsville,State House,55,DEM,Cathy Carter,12,21,33,,
Washington,Willisburg,Straight Party,,REP,Republican,26,41,67,,
Washington,Willisburg,Straight Party,,DEM,Democratic,10,14,24,,
Washington,Willisburg,U.S. House,2,REP,S. Brett Guthrie,92,176,268,,
Washington,Willisburg,U.S. House,2,DEM,Hank Linderman,22,34,56,,
Washington,Willisburg,U.S. House,2,IND,Thomas A. Loecken,2,6,8,,
Washington,Willisburg,State Senate,22,REP,Tom Buford,84,166,250,,
Washington,Willisburg,State Senate,22,DEM,Carolyn DuPont,34,54,88,,
Washington,Willisburg,State House,55,REP,Kim King,88,178,266,,
Washington,Willisburg,State House,55,DEM,Cathy Carter,31,44,75,,
Washington,Courthouse,Straight Party,,REP,Republican,16,65,81,,
Washington,Courthouse,Straight Party,,DEM,Democratic,8,40,48,,
Washington,Courthouse,U.S. House,2,REP,S. Brett Guthrie,75,295,370,,
Washington,Courthouse,U.S. House,2,DEM,Hank Linderman,36,116,152,,
Washington,Courthouse,U.S. House,2,IND,Thomas A. Loecken,4,9,13,,
Washington,Courthouse,State Senate,22,REP,Tom Buford,69,254,323,,
Washington,Courthouse,State Senate,22,DEM,Carolyn DuPont,45,170,215,,
Washington,Courthouse,State House,55,REP,Kim King,79,298,377,,
Washington,Courthouse,State House,55,DEM,Cathy Carter,40,134,174,,
Washington,Cardwell,Straight Party,,REP,Republican,18,18,36,,
Washington,Cardwell,Straight Party,,DEM,Democratic,5,12,17,,
Washington,Cardwell,U.S. House,2,REP,S. Brett Guthrie,35,67,102,,
Washington,Cardwell,U.S. House,2,DEM,Hank Linderman,13,19,32,,
Washington,Cardwell,U.S. House,2,IND,Thomas A. Loecken,2,3,5,,
Washington,Cardwell,State Senate,22,REP,Tom Buford,36,61,97,,
Washington,Cardwell,State Senate,22,DEM,Carolyn DuPont,15,28,43,,
Washington,Cardwell,State House,55,REP,Kim King,36,63,99,,
Washington,Cardwell,State House,55,DEM,Cathy Carter,14,29,43,,
Washington,Mackville,Straight Party,,REP,Republican,19,38,57,,
Washington,Mackville,Straight Party,,DEM,Democratic,11,14,25,,
Washington,Mackville,U.S. House,2,REP,S. Brett Guthrie,66,150,216,,
