county,precinct,office,district,party,candidate,eslate,escan,votes,mail,walk_in
Metcalfe,Absentee,Straight Party,,REP,Republican,,,37,11,26
Metcalfe,Absentee,Straight Party,,DEM,Democratic,,,19,7,12
Metcalfe,Absentee,U.S. House,1,REP,James R. Comer,,,249,100,149
Metcalfe,Absentee,U.S. House,1,DEM,Paul Walker,,,67,32,35
Metcalfe,Absentee,State House,21,,Bart Rowland,,,228,93,135
Metcalfe,Absentee,State House,21,,Jarrett Cox,,,88,39,49
Metcalfe,East Edmonton,Straight Party,,REP,Republican,0,81,81,,
Metcalfe,East Edmonton,Straight Party,,DEM,Democratic,0,77,77,,
Metcalfe,East Edmonton,U.S. House,1,REP,James R. Comer,0,433,433,,
Metcalfe,East Edmonton,U.S. House,1,DEM,Paul Walker,0,172,172,,
Metcalfe,East Edmonton,State House,21,,Bart Rowland,0,377,377,,
Metcalfe,East Edmonton,State House,21,,Jarrett Cox,0,213,213,,
Metcalfe,West Edmonton,Straight Party,,REP,Republican,0,80,80,,
Metcalfe,West Edmonton,Straight Party,,DEM,Democratic,0,46,46,,
Metcalfe,West Edmonton,U.S. House,1,REP,James R. Comer,0,419,419,,
Metcalfe,West Edmonton,U.S. House,1,DEM,Paul Walker,0,130,130,,
Metcalfe,West Edmonton,State House,21,,Bart Rowland,0,375,375,,
Metcalfe,West Edmonton,State House,21,,Jarrett Cox,0,161,161,,
Metcalfe,Randolph-Wisdom,Straight Party,,REP,Republican,5,89,94,,
Metcalfe,Randolph-Wisdom,Straight Party,,DEM,Democratic,2,27,29,,
Metcalfe,Randolph-Wisdom,U.S. House,1,REP,James R. Comer,16,496,512,,
Metcalfe,Randolph-Wisdom,U.S. House,1,DEM,Paul Walker,2,90,92,,
Metcalfe,Randolph-Wisdom,State House,21,,Bart Rowland,15,467,482,,
Metcalfe,Randolph-Wisdom,State House,21,,Jarrett Cox,3,110,113,,
Metcalfe,East Fork-Sparks,Straight Party,,REP,Republican,4,23,27,,
Metcalfe,East Fork-Sparks,Straight Party,,DEM,Democratic,3,20,23,,
Metcalfe,East Fork-Sparks,U.S. House,1,REP,James R. Comer,20,141,161,,
Metcalfe,East Fork-Sparks,U.S. House,1,DEM,Paul Walker,7,59,66,,
Metcalfe,East Fork-Sparks,State House,21,,Bart Rowland,20,127,147,,
Metcalfe,East Fork-Sparks,State House,21,,Jarrett Cox,7,65,72,,
Metcalfe,Knob Lick,Straight Party,,REP,Republican,7,23,30,,
Metcalfe,Knob Lick,Straight Party,,DEM,Democratic,5,24,29,,
Metcalfe,Knob Lick,U.S. House,1,REP,James R. Comer,31,141,172,,
Metcalfe,Knob Lick,U.S. House,1,DEM,Paul Walker,8,59,67,,
Metcalfe,Knob Lick,State House,21,,Bart Rowland,26,117,143,,
Metcalfe,Knob Lick,State House,21,,Jarrett Cox,12,74,86,,
Metcalfe,Savoyard,Straight Party,,REP,Republican,0,16,16,,
Metcalfe,Savoyard,Straight Party,,DEM,Democratic,0,4,4,,
Metcalfe,Savoyard,U.S. House,1,REP,James R. Comer,0,76,76,,
Metcalfe,Savoyard,U.S. House,1,DEM,Paul Walker,0,11,11,,
Metcalfe,Savoyard,State House,21,,Bart Rowland,0,67,67,,
Metcalfe,Savoyard,State House,21,,Jarrett Cox,0,16,16,,
Metcalfe,Center,Straight Party,,REP,Republican,0,43,43,,
Metcalfe,Center,Straight Party,,DEM,Democratic,0,25,25,,
Metcalfe,Center,U.S. House,1,REP,James R. Comer,0,214,214,,
Metcalfe,Center,U.S. House,1,DEM,Paul Walker,0,59,59,,
Metcalfe,Center,State House,21,,Bart Rowland,0,208,208,,
Metcalfe,Center,State House,21,,Jarrett Cox,0,62,62,,
Metcalfe,Sulphur Well,Straight Party,,REP,Republican,0,38,38,,
Metcalfe,Sulphur Well,Straight Party,,DEM,Democratic,0,28,28,,
Metcalfe,Sulphur Well,U.S. House,1,REP,James R. Comer,0,178,178,,
Metcalfe,Sulphur Well,U.S. House,1,DEM,Paul Walker,0,94,94,,
Metcalfe,Sulphur Well,State House,21,,Bart Rowland,0,165,165,,
Metcalfe,Sulphur Well,State House,21,,Jarrett Cox,0,100,100,,
Metcalfe,Summer Shade,Straight Party,,REP,Republican,0,48,48,,
