candidate,office,district,party,county,precinct,eslate,escan,absentee_mail,absentee,votes
Andy Barr,U.S. House,6,REP,Woodford,Northside School County,114,181,,,295
Amy McGrath,U.S. House,6,DEM,Woodford,Northside School County,97,152,,,249
Frank Harris,U.S. House,6,LIB,Woodford,Northside School County,0,,,,0
Rikka L. Wallin,U.S. House,6,IND,Woodford,Northside School County,2,,,,2
James Germalic,U.S. House,6,IND,Woodford,Northside School County,2,,,,2
Daniel A. Fister,State Representative,56,REP,Woodford,Northside School County,90,148,,,238
Joe Graviss,State Representative,56,DEM,Woodford,Northside School County,127,179,,,306
Andy Barr,U.S. House,6,REP,Woodford,Northside School City,60,170,,,230
Amy McGrath,U.S. House,6,DEM,Woodford,Northside School City,106,401,,,507
Frank Harris,U.S. House,6,LIB,Woodford,Northside School City,1,6,,,7
Rikka L. Wallin,U.S. House,6,IND,Woodford,Northside School City,0,1,,,1
James Germalic,U.S. House,6,IND,Woodford,Northside School City,1,,,,1
Daniel A. Fister,State Representative,56,REP,Woodford,Northside School City,53,321,,,374
Joe Graviss,State Representative,56,DEM,Woodford,Northside School City,110,441,,,551
Andy Barr,U.S. House,6,REP,Woodford,Millville Firehouse,64,170,,,234
Amy McGrath,U.S. House,6,DEM,Woodford,Millville Firehouse,65,153,,,218
Frank Harris,U.S. House,6,LIB,Woodford,Millville Firehouse,,3,,,3
Rikka L. Wallin,U.S. House,6,IND,Woodford,Millville Firehouse,1,,,,1
James Germalic,U.S. House,6,IND,Woodford,Millville Firehouse,,,,,0
Daniel A. Fister,State Representative,56,REP,Woodford,Millville Firehouse,57,119,,,176
Joe Graviss,State Representative,56,DEM,Woodford,Millville Firehouse,73,201,,,274
Andy Barr,U.S. House,6,REP,Woodford,Simmons School County,49,84,,,133
Amy McGrath,U.S. House,6,DEM,Woodford,Simmons School County,64,90,,,154
Frank Harris,U.S. House,6,LIB,Woodford,Simmons School County,1,1,,,2
Rikka L. Wallin,U.S. House,6,IND,Woodford,Simmons School County,,,,,0
James Germalic,U.S. House,6,IND,Woodford,Simmons School County,,,,,0
Daniel A. Fister,State Representative,56,REP,Woodford,Simmons School County,42,58,,,100
Joe Graviss,State Representative,56,DEM,Woodford,Simmons School County,70,112,,,182
