candidate,office,district,party,county,precinct,eslate,escan,votes
S Brett Guthrie,U.S. House,2,,Barren,A101 Glasgow 1,5,389,394
Hank Linderman,U.S. House,2,,Barren,A101 Glasgow 1,2,217,219
Thomas A. Loecken ,U.S. House,2,,Barren,A101 Glasgow 1,1,13,14
Steve Riley,State Representative,23,,Barren,A101 Glasgow 1,5,387,392
LaToya Drake,State Representative,23,,Barren,A101 Glasgow 1,2,250,252
S Brett Guthrie,U.S. House,2,,Barren,A102 Glasgow 2,2,173,175
Hank Linderman,U.S. House,2,,Barren,A102 Glasgow 2,6,164,170
Thomas A. Loecken ,U.S. House,2,,Barren,A102 Glasgow 2,1,13,14
Steve Riley,State Representative,23,,Barren,A102 Glasgow 2,3,184,187
LaToya Drake,State Representative,23,,Barren,A102 Glasgow 2,7,175,182
S Brett Guthrie,U.S. House,2,,Barren,A103 Glasgow 3,5,384,389
Hank Linderman,U.S. House,2,,Barren,A103 Glasgow 3,1,149,150
Thomas A. Loecken ,U.S. House,2,,Barren,A103 Glasgow 3,0,20,20
Steve Riley,State Representative,23,,Barren,A103 Glasgow 3,4,387,391
LaToya Drake,State Representative,23,,Barren,A103 Glasgow 3,2,174,176
S Brett Guthrie,U.S. House,2,,Barren,A104 Fox Hollow,0,130,130
Hank Linderman,U.S. House,2,,Barren,A104 Fox Hollow,0,33,33
Thomas A. Loecken ,U.S. House,2,,Barren,A104 Fox Hollow,0,2,2
Steve Riley,State Representative,23,,Barren,A104 Fox Hollow,0,124,124
LaToya Drake,State Representative,23,,Barren,A104 Fox Hollow,0,45,45
S Brett Guthrie,U.S. House,2,,Barren,B101 Haywood West,89,542,631
Hank Linderman,U.S. House,2,,Barren,B101 Haywood West,29,132,161
Thomas A. Loecken ,U.S. House,2,,Barren,B101 Haywood West,1,8,9
Steve Riley,State Representative,23,,Barren,B101 Haywood West,88,533,621
LaToya Drake,State Representative,23,,Barren,B101 Haywood West,32,157,189
S Brett Guthrie,U.S. House,2,,Barren,B102 Haywood East,74,387,461
Hank Linderman,U.S. House,2,,Barren,B102 Haywood East,24,111,135
Thomas A. Loecken ,U.S. House,2,,Barren,B102 Haywood East,5,11,16
Steve Riley,State Representative,23,,Barren,B102 Haywood East,73,398,471
LaToya Drake,State Representative,23,,Barren,B102 Haywood East,32,122,154
S Brett Guthrie,U.S. House,2,,Barren,B103 Thomerson Park,0,272,272
Hank Linderman,U.S. House,2,,Barren,B103 Thomerson Park,0,49,49
Thomas A. Loecken ,U.S. House,2,,Barren,B103 Thomerson Park,0,3,3
Steve Riley,State Representative,23,,Barren,B103 Thomerson Park,0,273,273
LaToya Drake,State Representative,23,,Barren,B103 Thomerson Park,0,57,57
S Brett Guthrie,U.S. House,2,,Barren,B104 Austin,0,465,465
Hank Linderman,U.S. House,2,,Barren,B104 Austin,0,141,141
Thomas A. Loecken ,U.S. House,2,,Barren,B104 Austin,0,15,15
Steve Riley,State Representative,23,,Barren,B104 Austin,0,469,469
LaToya Drake,State Representative,23,,Barren,B104 Austin,0,155,155
S Brett Guthrie,U.S. House,2,,Barren,C101 Eastern,13,268,281
Hank Linderman,U.S. House,2,,Barren,C101 Eastern,4,77,81
Thomas A. Loecken ,U.S. House,2,,Barren,C101 Eastern,0,9,9
Steve Riley,State Representative,23,,Barren,C101 Eastern,11,288,299
LaToya Drake,State Representative,23,,Barren,C101 Eastern,7,78,85
S Brett Guthrie,U.S. House,2,,Barren,C102 Green Valley ,35,409,444
Hank Linderman,U.S. House,2,,Barren,C102 Green Valley ,5,91,96
Thomas A. Loecken ,U.S. House,2,,Barren,C102 Green Valley ,0,9,9
Steve Riley,State Representative,23,,Barren,C102 Green Valley ,35,408,443
LaToya Drake,State Representative,23,,Barren,C102 Green Valley ,8,108,116
S Brett Guthrie,U.S. House,2,,Barren,C103 Eighty-Eight,0,383,383
Hank Linderman,U.S. House,2,,Barren,C103 Eighty-Eight,0,106,106
Thomas A. Loecken ,U.S. House,2,,Barren,C103 Eighty-Eight,0,13,13
Steve Riley,State Representative,23,,Barren,C103 Eighty-Eight,0,389,389
LaToya Drake,State Representative,23,,Barren,C103 Eighty-Eight,0,122,122
S Brett Guthrie,U.S. House,2,,Barren,C104 Temple Hill,0,497,497
Hank Linderman,U.S. House,2,,Barren,C104 Temple Hill,0,114,114
Thomas A. Loecken ,U.S. House,2,,Barren,C104 Temple Hill,0,7,7
Steve Riley,State Representative,23,,Barren,C104 Temple Hill,0,519,519
LaToya Drake,State Representative,23,,Barren,C104 Temple Hill,0,119,119
S Brett Guthrie,U.S. House,2,,Barren,D101 Hiseville-Goodnight,0,481,481
Hank Linderman,U.S. House,2,,Barren,D101 Hiseville-Goodnight,0,113,113
Thomas A. Loecken ,U.S. House,2,,Barren,D101 Hiseville-Goodnight,0,12,12
Steve Riley,State Representative,23,,Barren,D101 Hiseville-Goodnight,0,490,490
LaToya Drake,State Representative,23,,Barren,D101 Hiseville-Goodnight,0,132,132
S Brett Guthrie,U.S. House,2,,Barren,D102 Glasgow M.S.,25,754,779
Hank Linderman,U.S. House,2,,Barren,D102 Glasgow M.S.,7,169,176
Thomas A. Loecken ,U.S. House,2,,Barren,D102 Glasgow M.S.,2,13,15
Steve Riley,State Representative,23,,Barren,D102 Glasgow M.S.,26,748,774
LaToya Drake,State Representative,23,,Barren,D102 Glasgow M.S.,10,198,208
S Brett Guthrie,U.S. House,2,,Barren,D103 Glasgow H.S.,0,470,470
Hank Linderman,U.S. House,2,,Barren,D103 Glasgow H.S.,0,259,259
Thomas A. Loecken ,U.S. House,2,,Barren,D103 Glasgow H.S.,0,13,13
Steve Riley,State Representative,23,,Barren,D103 Glasgow H.S.,0,485,485
LaToya Drake,State Representative,23,,Barren,D103 Glasgow H.S.,0,271,271
S Brett Guthrie,U.S. House,2,,Barren,E101 Extension Service East,30,357,387
Hank Linderman,U.S. House,2,,Barren,E101 Extension Service East,5,123,128
Thomas A. Loecken ,U.S. House,2,,Barren,E101 Extension Service East,1,6,7
Steve Riley,State Representative,23,,Barren,E101 Extension Service East,28,350,378
LaToya Drake,State Representative,23,,Barren,E101 Extension Service East,9,145,154
S Brett Guthrie,U.S. House,2,,Barren,E102 Extension Service West ,19,269,288
Hank Linderman,U.S. House,2,,Barren,E102 Extension Service West ,5,78,83
Thomas A. Loecken ,U.S. House,2,,Barren,E102 Extension Service West ,1,8,9
Steve Riley,State Representative,23,,Barren,E102 Extension Service West ,22,260,282
LaToya Drake,State Representative,23,,Barren,E102 Extension Service West ,5,99,104
S Brett Guthrie,U.S. House,2,,Barren,E103 Beckton,0,464,464
Hank Linderman,U.S. House,2,,Barren,E103 Beckton,0,125,125
Thomas A. Loecken ,U.S. House,2,,Barren,E103 Beckton,0,6,6
Steve Riley,State Representative,23,,Barren,E103 Beckton,0,472,472
