county,precinct,office,district,party,candidate,votes,election
Leslie,A101,"US Representative, 5th Congressional District", 5th Congressional District - REPUBLICAN,,Gerardo SERRANO,14,14
Leslie,A102,"US Representative, 5th Congressional District", 5th Congressional District - REPUBLICAN,,Gerardo SERRANO,32,32
Leslie,A103,"US Representative, 5th Congressional District", 5th Congressional District - REPUBLICAN,,Gerardo SERRANO,5,5
Leslie,A104,"US Representative, 5th Congressional District", 5th Congressional District - REPUBLICAN,,Gerardo SERRANO,57,57
Leslie,A105,"US Representative, 5th Congressional District", 5th Congressional District - REPUBLICAN,,Gerardo SERRANO,29,29
Leslie,B101,"US Representative, 5th Congressional District", 5th Congressional District - REPUBLICAN,,Gerardo SERRANO,35,35
Leslie,B102,"US Representative, 5th Congressional District", 5th Congressional District - REPUBLICAN,,Gerardo SERRANO,26,26
Leslie,B103,"US Representative, 5th Congressional District", 5th Congressional District - REPUBLICAN,,Gerardo SERRANO,13,13
Leslie,B104,"US Representative, 5th Congressional District", 5th Congressional District - REPUBLICAN,,Gerardo SERRANO,18,18
Leslie,C101,"US Representative, 5th Congressional District", 5th Congressional District - REPUBLICAN,,Gerardo SERRANO,62,62
Leslie,C102,"US Representative, 5th Congressional District", 5th Congressional District - REPUBLICAN,,Gerardo SERRANO,30,30
Leslie,C103,"US Representative, 5th Congressional District", 5th Congressional District - REPUBLICAN,,Gerardo SERRANO,67,67
Leslie,D101,"US Representative, 5th Congressional District", 5th Congressional District - REPUBLICAN,,Gerardo SERRANO,29,29
Leslie,D102,"US Representative, 5th Congressional District", 5th Congressional District - REPUBLICAN,,Gerardo SERRANO,28,28
Leslie,D103,"US Representative, 5th Congressional District", 5th Congressional District - REPUBLICAN,,Gerardo SERRANO,22,22
Leslie,D104,"US Representative, 5th Congressional District", 5th Congressional District - REPUBLICAN,,Gerardo SERRANO,34,34
Leslie,D105,"US Representative, 5th Congressional District", 5th Congressional District - REPUBLICAN,,Gerardo SERRANO,4,4
Leslie,A101,"US Representative, 5th Congressional District", 5th Congressional District - REPUBLICAN,,"Harold ""Hal"" ROGERS",134,134
Leslie,A102,"US Representative, 5th Congressional District", 5th Congressional District - REPUBLICAN,,"Harold ""Hal"" ROGERS",314,314
Leslie,A103,"US Representative, 5th Congressional District", 5th Congressional District - REPUBLICAN,,"Harold ""Hal"" ROGERS",20,20
Leslie,A104,"US Representative, 5th Congressional District", 5th Congressional District - REPUBLICAN,,"Harold ""Hal"" ROGERS",217,217
Leslie,A105,"US Representative, 5th Congressional District", 5th Congressional District - REPUBLICAN,,"Harold ""Hal"" ROGERS",101,101
Leslie,B101,"US Representative, 5th Congressional District", 5th Congressional District - REPUBLICAN,,"Harold ""Hal"" ROGERS",387,387
Leslie,B102,"US Representative, 5th Congressional District", 5th Congressional District - REPUBLICAN,,"Harold ""Hal"" ROGERS",159,159
Leslie,B103,"US Representative, 5th Congressional District", 5th Congressional District - REPUBLICAN,,"Harold ""Hal"" ROGERS",174,174
Leslie,B104,"US Representative, 5th Congressional District", 5th Congressional District - REPUBLICAN,,"Harold ""Hal"" ROGERS",119,119
Leslie,C101,"US Representative, 5th Congressional District", 5th Congressional District - REPUBLICAN,,"Harold ""Hal"" ROGERS",347,347
Leslie,C102,"US Representative, 5th Congressional District", 5th Congressional District - REPUBLICAN,,"Harold ""Hal"" ROGERS",175,175
Leslie,C103,"US Representative, 5th Congressional District", 5th Congressional District - REPUBLICAN,,"Harold ""Hal"" ROGERS",299,299
Leslie,D101,"US Representative, 5th Congressional District", 5th Congressional District - REPUBLICAN,,"Harold ""Hal"" ROGERS",214,214
Leslie,D102,"US Representative, 5th Congressional District", 5th Congressional District - REPUBLICAN,,"Harold ""Hal"" ROGERS",163,163
Leslie,D103,"US Representative, 5th Congressional District", 5th Congressional District - REPUBLICAN,,"Harold ""Hal"" ROGERS",94,94
Leslie,D104,"US Representative, 5th Congressional District", 5th Congressional District - REPUBLICAN,,"Harold ""Hal"" ROGERS",199,199
Leslie,D105,"US Representative, 5th Congressional District", 5th Congressional District - REPUBLICAN,,"Harold ""Hal"" ROGERS",57,57
Leslie,A101,"State Representative, 90th Representative District", 90th Representative District - REPUBLICAN,,Derek LEWIS,95,95
Leslie,A102,"State Representative, 90th Representative District", 90th Representative District - REPUBLICAN,,Derek LEWIS,247,247
Leslie,A103,"State Representative, 90th Representative District", 90th Representative District - REPUBLICAN,,Derek LEWIS,21,21
Leslie,A104,"State Representative, 90th Representative District", 90th Representative District - REPUBLICAN,,Derek LEWIS,212,212
Leslie,A105,"State Representative, 90th Representative District", 90th Representative District - REPUBLICAN,,Derek LEWIS,79,79
Leslie,B101,"State Representative, 90th Representative District", 90th Representative District - REPUBLICAN,,Derek LEWIS,275,275
Leslie,B102,"State Representative, 90th Representative District", 90th Representative District - REPUBLICAN,,Derek LEWIS,117,117
Leslie,B103,"State Representative, 90th Representative District", 90th Representative District - REPUBLICAN,,Derek LEWIS,118,118
Leslie,B104,"State Representative, 90th Representative District", 90th Representative District - REPUBLICAN,,Derek LEWIS,113,113
Leslie,C101,"State Representative, 90th Representative District", 90th Representative District - REPUBLICAN,,Derek LEWIS,349,349
Leslie,C102,"State Representative, 90th Representative District", 90th Representative District - REPUBLICAN,,Derek LEWIS,135,135
Leslie,C103,"State Representative, 90th Representative District", 90th Representative District - REPUBLICAN,,Derek LEWIS,296,296
Leslie,D101,"State Representative, 90th Representative District", 90th Representative District - REPUBLICAN,,Derek LEWIS,186,186
Leslie,D102,"State Representative, 90th Representative District", 90th Representative District - REPUBLICAN,,Derek LEWIS,148,148
Leslie,D103,"State Representative, 90th Representative District", 90th Representative District - REPUBLICAN,,Derek LEWIS,87,87
Leslie,D104,"State Representative, 90th Representative District", 90th Representative District - REPUBLICAN,,Derek LEWIS,189,189
Leslie,D105,"State Representative, 90th Representative District", 90th Representative District - REPUBLICAN,,Derek LEWIS,40,40
Leslie,A101,"State Representative, 90th Representative District", 90th Representative District - REPUBLICAN,,Tim COUCH,67,67
Leslie,A102,"State Representative, 90th Representative District", 90th Representative District - REPUBLICAN,,Tim COUCH,136,136
Leslie,A103,"State Representative, 90th Representative District", 90th Representative District - REPUBLICAN,,Tim COUCH,7,7
Leslie,A104,"State Representative, 90th Representative District", 90th Representative District - REPUBLICAN,,Tim COUCH,101,101
Leslie,A105,"State Representative, 90th Representative District", 90th Representative District - REPUBLICAN,,Tim COUCH,54,54
Leslie,B101,"State Representative, 90th Representative District", 90th Representative District - REPUBLICAN,,Tim COUCH,200,200
Leslie,B102,"State Representative, 90th Representative District", 90th Representative District - REPUBLICAN,,Tim COUCH,95,95
Leslie,B103,"State Representative, 90th Representative District", 90th Representative District - REPUBLICAN,,Tim COUCH,94,94
Leslie,B104,"State Representative, 90th Representative District", 90th Representative District - REPUBLICAN,,Tim COUCH,48,48
Leslie,C101,"State Representative, 90th Representative District", 90th Representative District - REPUBLICAN,,Tim COUCH,97,97
Leslie,C102,"State Representative, 90th Representative District", 90th Representative District - REPUBLICAN,,Tim COUCH,97,97
