candidate,office,district,party,county,precinct,votes,absentee_mail,absentee
"Harold ""Hal"" Rogers",U.S. House,5,,Harlan,Harlan,400,,
Kenneth S. Stepp,U.S. House,5,,Harlan,Harlan,110,,
Chris Fugate,State Representative,84,,Harlan,Harlan,211,,
Tom R. Pope,State Representative,84,,Harlan,Harlan,305,,
"Harold ""Hal"" Rogers",U.S. House,5,,Harlan,Baxter,560,,
Kenneth S. Stepp,U.S. House,5,,Harlan,Baxter,73,,
Chris Fugate,State Representative,84,,Harlan,Baxter,364,,
Tom R. Pope,State Representative,84,,Harlan,Baxter,277,,
"Harold ""Hal"" Rogers",U.S. House,5,,Harlan,Putney,186,,
Kenneth S. Stepp,U.S. House,5,,Harlan,Putney,33,,
Chris Fugate,State Representative,84,,Harlan,Putney,145,,
Tom R. Pope,State Representative,84,,Harlan,Putney,72,,
"Harold ""Hal"" Rogers",U.S. House,5,,Harlan,Pine Mountain,121,,
Kenneth S. Stepp,U.S. House,5,,Harlan,Pine Mountain,8,,
Chris Fugate,State Representative,84,,Harlan,Pine Mountain,111,,
Tom R. Pope,State Representative,84,,Harlan,Pine Mountain,20,,
"Harold ""Hal"" Rogers",U.S. House,5,,Harlan,Bledsoe,346,,
Kenneth S. Stepp,U.S. House,5,,Harlan,Bledsoe,52,,
Adam Bowling,State Representative,87,,Harlan,Bledsoe,321,,
Dustin Allen,State Representative,87,,Harlan,Bledsoe,52,,
"Harold ""Hal"" Rogers",U.S. House,5,,Harlan,Ages,162,,
Kenneth S. Stepp,U.S. House,5,,Harlan,Ages,42,,
Chris Fugate,State Representative,84,,Harlan,Ages,128,,
Tom R. Pope,State Representative,84,,Harlan,Ages,81,,
"Harold ""Hal"" Rogers",U.S. House,5,,Harlan,Verda,191,,
Kenneth S. Stepp,U.S. House,5,,Harlan,Verda,40,,
Adam Bowling,State Representative,87,,Harlan,Verda,164,,
Dustin Allen,State Representative,87,,Harlan,Verda,57,,
"Harold ""Hal"" Rogers",U.S. House,5,,Harlan,North Evarts,188,,
Kenneth S. Stepp,U.S. House,5,,Harlan,North Evarts,32,,
Chris Fugate,State Representative,84,,Harlan,North Evarts,161,,
Tom R. Pope,State Representative,84,,Harlan,North Evarts,65,,
"Harold ""Hal"" Rogers",U.S. House,5,,Harlan,South Evarts,195,,
Kenneth S. Stepp,U.S. House,5,,Harlan,South Evarts,34,,
Adam Bowling,State Representative,87,,Harlan,South Evarts,162,,
Dustin Allen,State Representative,87,,Harlan,South Evarts,51,,
"Harold ""Hal"" Rogers",U.S. House,5,,Harlan,Brittains Creek,227,,
Kenneth S. Stepp,U.S. House,5,,Harlan,Brittains Creek,49,,
Adam Bowling,State Representative,87,,Harlan,Brittains Creek,188,,
Dustin Allen,State Representative,87,,Harlan,Brittains Creek,67,,
"Harold ""Hal"" Rogers",U.S. House,5,,Harlan,Shields,157,,
Kenneth S. Stepp,U.S. House,5,,Harlan,Shields,38,,
Adam Bowling,State Representative,87,,Harlan,Shields,139,,
Dustin Allen,State Representative,87,,Harlan,Shields,39,,
"Harold ""Hal"" Rogers",U.S. House,5,,Harlan,Klondyke,128,,
Kenneth S. Stepp,U.S. House,5,,Harlan,Shields,39,,
Adam Bowling,State Representative,87,,Harlan,Shields,108,,
Dustin Allen,State Representative,87,,Harlan,Shields,47,,
"Harold ""Hal"" Rogers",U.S. House,5,,Harlan,Totz,140,,
Kenneth S. Stepp,U.S. House,5,,Harlan,Totz,17,,
Chris Fugate,State Representative,84,,Harlan,Totz,110,,
Tom R. Pope,State Representative,84,,Harlan,Totz,47,,
"Harold ""Hal"" Rogers",U.S. House,5,,Harlan,Green Morris,95,,
Kenneth S. Stepp,U.S. House,5,,Harlan,Green Morris,14,,
Chris Fugate,State Representative,84,,Harlan,Green Morris,75,,
Tom R. Pope,State Representative,84,,Harlan,Green Morris,33,,
"Harold ""Hal"" Rogers",U.S. House,5,,Harlan,Cumberland City Hall,82,,
Kenneth S. Stepp,U.S. House,5,,Harlan,Cumberland City Hall,16,,
Chris Fugate,State Representative,84,,Harlan,Cumberland City Hall,66,,
Tom R. Pope,State Representative,84,,Harlan,Cumberland City Hall,31,,
"Harold ""Hal"" Rogers",U.S. House,5,,Harlan,Cumb. Black Motor East,138,,
Kenneth S. Stepp,U.S. House,5,,Harlan,Cumb. Black Motor East,50,,
Chris Fugate,State Representative,84,,Harlan,Cumb. Black Motor East,100,,
Tom R. Pope,State Representative,84,,Harlan,Cumb. Black Motor East,90,,
"Harold ""Hal"" Rogers",U.S. House,5,,Harlan,Blair,86,,
Kenneth S. Stepp,U.S. House,5,,Harlan,Blair,14,,
Chris Fugate,State Representative,84,,Harlan,Blair,81,,
Tom R. Pope,State Representative,84,,Harlan,Blair,22,,
"Harold ""Hal"" Rogers",U.S. House,5,,Harlan,Cumberland New York,170,,
Kenneth S. Stepp,U.S. House,5,,Harlan,Cumberland New York,39,,
Chris Fugate,State Representative,84,,Harlan,Cumberland New York,143,,
