county,precinct,precinct_name,office,district,party,candidate,votes
Anderson,A-101,East Lawrenceburg,U.S. House,6,REP,Andy Barr,359
Anderson,A-102,Duncan,U.S. House,6,REP,Andy Barr,425
Anderson,B-101,West Lawrenceburg,U.S. House,6,REP,Andy Barr,419
Anderson,B-102,West Duncan,U.S. House,6,REP,Andy Barr,651
Anderson,C-101,Lillard,U.S. House,6,REP,Andy Barr,459
Anderson,C-102,Witherspoon,U.S. House,6,REP,Andy Barr,469
Anderson,D-101,McBrayer,U.S. House,6,REP,Andy Barr,535
Anderson,D-102,South Lillard,U.S. House,6,REP,Andy Barr,587
Anderson,E-101,Alton,U.S. House,6,REP,Andy Barr,862
Anderson,E-103,West Alton,U.S. House,6,REP,Andy Barr,440
Anderson,F-101,Hickory Grove,U.S. House,6,REP,Andy Barr,395
Anderson,F-102,Western,U.S. House,6,REP,Andy Barr,297
Anderson,F-103,Rutherford,U.S. House,6,REP,Andy Barr,179
Anderson,F-104,Birdie,U.S. House,6,REP,Andy Barr,441
Anderson,Absentee,,U.S. House,6,REP,Andy Barr,299
Anderson,Absentee Mail,,U.S. House,6,REP,Andy Barr,47
Anderson,A-101,East Lawrenceburg,U.S. House,6,DEM,Amy McGrath,249
Anderson,A-102,Duncan,U.S. House,6,DEM,Amy McGrath,199
Anderson,B-101,West Lawrenceburg,U.S. House,6,DEM,Amy McGrath,249
Anderson,B-102,West Duncan,U.S. House,6,DEM,Amy McGrath,351
Anderson,C-101,Lillard,U.S. House,6,DEM,Amy McGrath,271
Anderson,C-102,Witherspoon,U.S. House,6,DEM,Amy McGrath,283
Anderson,D-101,McBrayer,U.S. House,6,DEM,Amy McGrath,175
Anderson,D-102,South Lillard,U.S. House,6,DEM,Amy McGrath,295
Anderson,E-101,Alton,U.S. House,6,DEM,Amy McGrath,423
Anderson,E-103,West Alton,U.S. House,6,DEM,Amy McGrath,170
Anderson,F-101,Hickory Grove,U.S. House,6,DEM,Amy McGrath,158
Anderson,F-102,Western,U.S. House,6,DEM,Amy McGrath,106
Anderson,F-103,Rutherford,U.S. House,6,DEM,Amy McGrath,74
Anderson,F-104,Birdie,U.S. House,6,DEM,Amy McGrath,186
Anderson,Absentee,,U.S. House,6,DEM,Amy McGrath,166
Anderson,Absentee Mail,,U.S. House,6,DEM,Amy McGrath,31
Anderson,A-101,East Lawrenceburg,U.S. House,6,LIB,Frank Harris,0
Anderson,A-102,Duncan,U.S. House,6,LIB,Frank Harris,3
Anderson,B-101,West Lawrenceburg,U.S. House,6,LIB,Frank Harris,5
