Candidate,office,district,party,county,precinct,eslate,escan,absentee_mail,absentee,votes
James R. Comer,U.S. House,1,REP,Trigg,South Cadiz #1,42,372,,,414
Paul Walker,U.S. House,1,DEM,Trigg,South Cadiz #1,30,206,,,236
Larry Elkins,State Representative,5,REP,Trigg,South Cadiz #1,,,,,0
David Ramey,State Representative,5,DEM,Trigg,South Cadiz #1,,,,,0
Walker Wood Thomas,State Representative,8,REP,Trigg,South Cadiz #1,45,364,,,409
Jeffery R. Taylor,State Representative,8,DEM,Trigg,South Cadiz #1,30,222,,,252
James R. Comer,U.S. House,1,REP,Trigg,Hamtown,,64,,,64
Paul Walker,U.S. House,1,DEM,Trigg,Hamtown,,35,,,35
Larry Elkins,State Representative,5,REP,Trigg,Hamtown,,63,,,63
David Ramey,State Representative,5,DEM,Trigg,Hamtown,,36,,,36
Walker Wood Thomas,State Representative,8,REP,Trigg,Hamtown,,,,,0
Jeffery R. Taylor,State Representative,8,DEM,Trigg,Hamtown,,,,,0
James R. Comer,U.S. House,1,REP,Trigg,West Cadiz,57,197,,,254
Paul Walker,U.S. House,1,DEM,Trigg,West Cadiz,32,72,,,104
Larry Elkins,State Representative,5,REP,Trigg,West Cadiz,55,180,,,235
David Ramey,State Representative,5,DEM,Trigg,West Cadiz,33,86,,,119
Walker Wood Thomas,State Representative,8,REP,Trigg,West Cadiz,,,,,0
Jeffery R. Taylor,State Representative,8,DEM,Trigg,West Cadiz,,,,,0
James R. Comer,U.S. House,1,REP,Trigg,Canton #2,26,372,,,398
Paul Walker,U.S. House,1,DEM,Trigg,Canton #2,17,159,,,176
Larry Elkins,State Representative,5,REP,Trigg,Canton #2,26,354,,,380
David Ramey,State Representative,5,DEM,Trigg,Canton #2,17,171,,,188
Walker Wood Thomas,State Representative,8,REP,Trigg,Canton #2,,,,,0
Jeffery R. Taylor,State Representative,8,DEM,Trigg,Canton #2,,,,,0
James R. Comer,U.S. House,1,REP,Trigg,North Cadiz #1,50,364,,,414
Paul Walker,U.S. House,1,DEM,Trigg,North Cadiz #1,38,228,,,266
Larry Elkins,State Representative,5,REP,Trigg,North Cadiz #1,,,,,0
David Ramey,State Representative,5,DEM,Trigg,North Cadiz #1,,,,,0
Walker Wood Thomas,State Representative,8,REP,Trigg,North Cadiz #1,50,346,,,396
Jeffery R. Taylor,State Representative,8,DEM,Trigg,North Cadiz #1,39,261,,,300
James R. Comer,U.S. House,1,REP,Trigg,Cerulean-Wallonia,64,214,,,278
Paul Walker,U.S. House,1,DEM,Trigg,Cerulean-Wallonia,21,138,,,159
Larry Elkins,State Representative,5,REP,Trigg,Cerulean-Wallonia,56,170,,,226
David Ramey,State Representative,5,DEM,Trigg,Cerulean-Wallonia,30,177,,,207
Walker Wood Thomas,State Representative,8,REP,Trigg,Cerulean-Wallonia,,,,,0
Jeffery R. Taylor,State Representative,8,DEM,Trigg,Cerulean-Wallonia,,,,,0
James R. Comer,U.S. House,1,REP,Trigg,East Montgomery,,24,,,24
Paul Walker,U.S. House,1,DEM,Trigg,East Montgomery,,7,,,7
Larry Elkins,State Representative,5,REP,Trigg,East Montgomery,,,,,0
David Ramey,State Representative,5,DEM,Trigg,East Montgomery,,,,,0
Walker Wood Thomas,State Representative,8,REP,Trigg,East Montgomery,,25,,,25
Jeffery R. Taylor,State Representative,8,DEM,Trigg,East Montgomery,,6,,,6
