candidate,office,district,party,county,precinct,eslate,escan,votes
,Straight Party,,REP,LaRue,Hodgenville West,,160,160
,Straight Party,,DEM,LaRue,Hodgenville West,,82,82
S Brett Guthrie,U.S. House,2,,LaRue,Hodgenville West,,559,559
Hank Linderman,U.S. House,2,,LaRue,Hodgenville West,,146,146
Thomas A Loecken,U.S. House,2,,LaRue,Hodgenville West,,12,12
Brandon Reed,State Representative,24,,LaRue,Hodgenville West,,534,534
Terry Mills,State Representative,24,,LaRue,Hodgenville West,,204,204
,Straight Party,,REP,LaRue,Hodgenville,28,89,117
,Straight Party,,DEM,LaRue,Hodgenville,18,71,89
s Brett Guthrie,U.S. House,2,,LaRue,Hodgenville,55,247,302
Hank Linderman,U.S. House,2,,LaRue,Hodgenville,29,121,150
Thomas A Loecken,U.S. House,2,,LaRue,Hodgenville,3,14,17
Brandon Reed,State Representative,24,,LaRue,Hodgenville,58,246,304
Terry Mills,State Representative,24,,LaRue,Hodgenville,29,145,174
,Straight Party,,REP,LaRue,Hodgenville East,16,106,122
,Straight Party,,DEM,LaRue,Hodgenville East,10,47,57
s Brett Guthrie,U.S. House,2,,LaRue,Hodgenville East,46,318,364
Hank Linderman,U.S. House,2,,LaRue,Hodgenville East,26,132,158
Thomas A Loecken,U.S. House,2,,LaRue,Hodgenville East,1,10,11
Brandon Reed,State Representative,24,,LaRue,Hodgenville East,41,312,353
Terry Mills,State Representative,24,,LaRue,Hodgenville East,33,162,195
,Straight Party,,REP,LaRue,White City,1,67,68
,Straight Party,,DEM,LaRue,White City,0,45,45
s Brett Guthrie,U.S. House,2,,LaRue,White City,2,209,211
Hank Linderman,U.S. House,2,,LaRue,White City,0,80,80
Thomas A Loecken,U.S. House,2,,LaRue,White City,0,5,5
Brandon Reed,State Representative,24,,LaRue,White City,2,206,208
Terry Mills,State Representative,24,,LaRue,White City,0,100,100
,Straight Party,,REP,LaRue,Lyons,23,37,60
,Straight Party,,DEM,LaRue,Lyons,8,25,33
s Brett Guthrie,U.S. House,2,,LaRue,Lyons,61,77,138
Hank Linderman,U.S. House,2,,LaRue,Lyons,19,47,66
Thomas A Loecken,U.S. House,2,,LaRue,Lyons,1,2,3
Brandon Reed,State Representative,24,,LaRue,Lyons,49,76,125
Terry Mills,State Representative,24,,LaRue,Lyons,31,53,84
,Straight Party,,REP,LaRue,Buffalo,39,139,178
,Straight Party,,DEM,LaRue,Buffalo,9,66,75
s Brett Guthrie,U.S. House,2,,LaRue,Buffalo,87,391,478
Hank Linderman,U.S. House,2,,LaRue,Buffalo,21,114,135
Thomas A Loecken,U.S. House,2,,LaRue,Buffalo,4,15,19
Brandon Reed,State Representative,24,,LaRue,Buffalo,71,382,453
Terry Mills,State Representative,24,,LaRue,Buffalo,42,154,196
,Straight Party,,REP,LaRue,Lincoln Farm,0,78,78
,Straight Party,,DEM,LaRue,Lincoln Farm,1,34,35
s Brett Guthrie,U.S. House,2,,LaRue,Lincoln Farm,3,268,271
Hank Linderman,U.S. House,2,,LaRue,Lincoln Farm,3,69,72
Thomas A Loecken,U.S. House,2,,LaRue,Lincoln Farm,0,4,4
Brandon Reed,State Representative,24,,LaRue,Lincoln Farm,2,246,248
Terry Mills,State Representative,24,,LaRue,Lincoln Farm,4,98,102
,Straight Party,,REP,LaRue,Otter,26,32,58
,Straight Party,,DEM,LaRue,Otter,12,22,34
s Brett Guthrie,U.S. House,2,,LaRue,Otter,47,68,115
Hank Linderman,U.S. House,2,,LaRue,Otter,21,31,52
Thomas A Loecken,U.S. House,2,,LaRue,Otter,2,3,5
Brandon Reed,State Representative,24,,LaRue,Otter,48,67,115
Terry Mills,State Representative,24,,LaRue,Otter,24,35,59
,Straight Party,,REP,LaRue,Magnolia,37,91,128
,Straight Party,,DEM,LaRue,Magnolia,13,38,51
s Brett Guthrie,U.S. House,2,,LaRue,Magnolia,85,268,353
Hank Linderman,U.S. House,2,,LaRue,Magnolia,22,67,89
Thomas A Loecken,U.S. House,2,,LaRue,Magnolia,2,5,7
Brandon Reed,State Representative,24,,LaRue,Magnolia,76,256,332
Terry Mills,State Representative,24,,LaRue,Magnolia,35,90,125
,Straight Party,,REP,LaRue,Upton,36,82,118
,Straight Party,,DEM,LaRue,Upton,14,31,45
s Brett Guthrie,U.S. House,2,,LaRue,Upton,93,188,281
Hank Linderman,U.S. House,2,,LaRue,Upton,23,55,78
Thomas A Loecken,U.S. House,2,,LaRue,Upton,3,6,9
Brandon Reed,State Representative,24,,LaRue,Upton,85,182,267
Terry Mills,State Representative,24,,LaRue,Upton,36,76,112
,Straight Party,,REP,LaRue,Mount Sherman,32,34,66
,Straight Party,,DEM,LaRue,Mount Sherman,7,15,22
s Brett Guthrie,U.S. House,2,,LaRue,Mount Sherman,60,67,127
Hank Linderman,U.S. House,2,,LaRue,Mount Sherman,15,23,38
Thomas A Loecken,U.S. House,2,,LaRue,Mount Sherman,2,4,6
Brandon Reed,State Representative,24,,LaRue,Mount Sherman,50,65,115
Terry Mills,State Representative,24,,LaRue,Mount Sherman,27,30,57
,Straight Party,,REP,LaRue,Barren Run,20,19,39
,Straight Party,,DEM,LaRue,Barren Run,12,12,24
s Brett Guthrie,U.S. House,2,,LaRue,Barren Run,52,67,119
Hank Linderman,U.S. House,2,,LaRue,Barren Run,16,21,37
Thomas A Loecken,U.S. House,2,,LaRue,Barren Run,1,2,3
Brandon Reed,State Representative,24,,LaRue,Barren Run,49,70,119
Terry Mills,State Representative,24,,LaRue,Barren Run,21,23,44
,Straight Party,,REP,LaRue,Absentee Mail In/Walk In,10,51,61
,Straight Party,,DEM,LaRue,Absentee Mail In/Walk In,17,22,39
s Brett Guthrie,U.S. House,2,,LaRue,Absentee Mail In/Walk In,38,155,193
Hank Linderman,U.S. House,2,,LaRue,Absentee Mail In/Walk In,29,48,77
