candidate,office,district,party,county,precinct,votes,absentee_mail,absentee
,Straight Party,,REP,Bracken,Absentee,55,12,43
,Straight Party,,DEM,Bracken,Absentee,60,22,38
Thomas Massie,U.S. House,4,REP,Bracken,Absentee,220,56,164
Seth Hall,U.S. House,4,DEM,Bracken,Absentee,107,29,78
Mike Moffett,U.S. House,4,IND,Bracken,Absentee,4,3,1
WII Schroder,State Senate,24,REP,Bracken,Absentee,173,41,132
Rachel Roberts ,State Senate,24,DEM,Bracken,Absentee,169,47,122
John Sims Jr. ,State Representative,70,DEM,Bracken,Absentee,242,70,172
,Straight Party,,REP,Bracken,Foster-Johnsville,105,,
,Straight Party,,DEM,Bracken,Foster-Johnsville,40,,
Thomas Massie,U.S. House,4,REP,Bracken,Foster-Johnsville,255,,
Seth Hall,U.S. House,4,DEM,Bracken,Foster-Johnsville,84,,
Mike Moffett,U.S. House,4,IND,Bracken,Foster-Johnsville,16,,
WII Schroder,State Senate,24,REP,Bracken,Foster-Johnsville,240,,
Rachel Roberts ,State Senate,24,DEM,Bracken,Foster-Johnsville,122,,
John Sims Jr. ,State Representative,70,DEM,Bracken,Foster-Johnsville,202,,
,Straight Party,,REP,Bracken,Augusta West,60,,
,Straight Party,,DEM,Bracken,Augusta West,49,,
Thomas Massie,U.S. House,4,REP,Bracken,Augusta West,207,,
Seth Hall,U.S. House,4,DEM,Bracken,Augusta West,96,,
Mike Moffett,U.S. House,4,IND,Bracken,Augusta West,13,,
WII Schroder,State Senate,24,REP,Bracken,Augusta West,179,,
Rachel Roberts ,State Senate,24,DEM,Bracken,Augusta West,144,,
John Sims Jr. ,State Representative,70,DEM,Bracken,Augusta West,202,,
,Straight Party,,REP,Bracken,Augusta East,55,,
,Straight Party,,DEM,Bracken,Augusta East,52,,
Thomas Massie,U.S. House,4,REP,Bracken,Augusta East,197,,
Seth Hall,U.S. House,4,DEM,Bracken,Augusta East,96,,
Mike Moffett,U.S. House,4,IND,Bracken,Augusta East,13,,
WII Schroder,State Senate,24,REP,Bracken,Augusta East,160,,
Rachel Roberts ,State Senate,24,DEM,Bracken,Augusta East,161,,
John Sims Jr. ,State Representative,70,DEM,Bracken,Augusta East,242,,
,Straight Party,,REP,Bracken,Berlin,76,,
,Straight Party,,DEM,Bracken,Berlin,26,,
Thomas Massie,U.S. House,4,REP,Bracken,Berlin,238,,
Seth Hall,U.S. House,4,DEM,Bracken,Berlin,65,,
Mike Moffett,U.S. House,4,IND,Bracken,Berlin,12,,
WII Schroder,State Senate,24,REP,Bracken,Berlin,206,,
Rachel Roberts ,State Senate,24,DEM,Bracken,Berlin,114,,
John Sims Jr. ,State Representative,70,DEM,Bracken,Berlin,211,,
,Straight Party,,REP,Bracken,Chatham,54,,
,Straight Party,,DEM,Bracken,Chatham,41,,
Thomas Massie,U.S. House,4,REP,Bracken,Chatham,212,,
Seth Hall,U.S. House,4,DEM,Bracken,Chatham,91,,
Mike Moffett,U.S. House,4,IND,Bracken,Chatham,6,,
WII Schroder,State Senate,24,REP,Bracken,Chatham,170,,
Rachel Roberts ,State Senate,24,DEM,Bracken,Chatham,145,,
John Sims Jr. ,State Representative,70,DEM,Bracken,Chatham,234,,
,Straight Party,,REP,Bracken,Brooksville,43,,
,Straight Party,,DEM,Bracken,Brooksville,40,,
Thomas Massie,U.S. House,4,REP,Bracken,Brooksville,209,,
Seth Hall,U.S. House,4,DEM,Bracken,Brooksville,82,,
Mike Moffett,U.S. House,4,IND,Bracken,Brooksville,3,,
WII Schroder,State Senate,24,REP,Bracken,Brooksville,147,,
Rachel Roberts ,State Senate,24,DEM,Bracken,Brooksville,152,,
John Sims Jr. ,State Representative,70,DEM,Bracken,Brooksville,226,,
,Straight Party,,REP,Bracken,Milford,64,,
,Straight Party,,DEM,Bracken,Milford,31,,
Thomas Massie,U.S. House,4,REP,Bracken,Milford,216,,
Seth Hall,U.S. House,4,DEM,Bracken,Milford,62,,
Mike Moffett,U.S. House,4,IND,Bracken,Milford,6,,
WII Schroder,State Senate,24,REP,Bracken,Milford,177,,
Rachel Roberts ,State Senate,24,DEM,Bracken,Milford,109,,
John Sims Jr. ,State Representative,70,DEM,Bracken,Milford,180,,
,Straight Party,,REP,Bracken,Germantown,29,,
,Straight Party,,DEM,Bracken,Germantown,38,,
Thomas Massie,U.S. House,4,REP,Bracken,Germantown,193,,
Seth Hall,U.S. House,4,DEM,Bracken,Germantown,107,,
Mike Moffett,U.S. House,4,IND,Bracken,Germantown,8,,
WII Schroder,State Senate,24,REP,Bracken,Germantown,149,,
Rachel Roberts ,State Senate,24,DEM,Bracken,Germantown,161,,
John Sims Jr. ,State Representative,70,DEM,Bracken,Germantown,240,,
