candidate,office,district,party,county,precinct,votes,
,Ballots Cast,,,Lawrence,AB,384,
,Straight Party,,R,Lawrence,AB,64,
,Straight Party,,D,Lawrence,AB,31,
"Harold ""Hal"" Rogers",US House,5,R,Lawrence,AB,275,
Kenneth S Stepp,US House,5,D,Lawrence,AB,90,
Jill York,State Representative ,96,R,Lawrence,AB,208,
Kathy L Hinkle,State Representative ,96,D,Lawrence,AB,172,
,Ballots Cast,,,Lawrence,A101,234,
,Straight Party,,R,Lawrence,A101,43,
,Straight Party,,D,Lawrence,A101,22,
"Harold ""Hal"" Rogers",US House,5,R,Lawrence,A101,147,
Kenneth S Stepp,US House,5,D,Lawrence,A101,68,
Jill York,State Representative ,96,R,Lawrence,A101,122,
Kathy L Hinkle,State Representative ,96,D,Lawrence,A101,101,
,Ballots Cast,,,Lawrence,A102,660,
,Straight Party,,R,Lawrence,A102,119,
,Straight Party,,D,Lawrence,A102,58,
"Harold ""Hal"" Rogers",US House,5,R,Lawrence,A102,463,
Kenneth S Stepp,US House,5,D,Lawrence,A102,147,
Jill York,State Representative ,96,R,Lawrence,A102,365,
Kathy L Hinkle,State Representative ,96,D,Lawrence,A102,278,
,Ballots Cast,,,Lawrence,A103,218,
,Straight Party,,R,Lawrence,A103,37,
,Straight Party,,D,Lawrence,A103,27,
"Harold ""Hal"" Rogers",US House,5,R,Lawrence,A103,125,
Kenneth S Stepp,US House,5,D,Lawrence,A103,73,
Jill York,State Representative ,96,R,Lawrence,A103,105,
Kathy L Hinkle,State Representative ,96,D,Lawrence,A103,108,
,Ballots Cast,,,Lawrence,A104,238,
,Straight Party,,R,Lawrence,A104,24,
,Straight Party,,D,Lawrence,A104,24,
"Harold ""Hal"" Rogers",US House,5,R,Lawrence,A104,153,
Kenneth S Stepp,US House,5,D,Lawrence,A104,64,
Jill York,State Representative ,96,R,Lawrence,A104,84,
Kathy L Hinkle,State Representative ,96,D,Lawrence,A104,142,
,Ballots Cast,,,Lawrence,B101,252,
,Straight Party,,R,Lawrence,B101,30,
,Straight Party,,D,Lawrence,B101,23,
"Harold ""Hal"" Rogers",US House,5,R,Lawrence,B101,164,
Kenneth S Stepp,US House,5,D,Lawrence,B101,67,
Jill York,State Representative ,96,R,Lawrence,B101,96,
Kathy L Hinkle,State Representative ,96,D,Lawrence,B101,150,
,Ballots Cast,,,Lawrence,B102,365,
,Straight Party,,R,Lawrence,B102,59,
,Straight Party,,D,Lawrence,B102,46,
"Harold ""Hal"" Rogers",US House,5,R,Lawrence,B102,244,
Kenneth S Stepp,US House,5,D,Lawrence,B102,89,
Jill York,State Representative ,96,R,Lawrence,B102,194,
Kathy L Hinkle,State Representative ,96,D,Lawrence,B102,159,
,Ballots Cast,,,Lawrence,B103,743,
,Straight Party,,R,Lawrence,B103,98,
,Straight Party,,D,Lawrence,B103,60,
"Harold ""Hal"" Rogers",US House,5,R,Lawrence,B103,540,
Kenneth S Stepp,US House,5,D,Lawrence,B103,162,
Jill York,State Representative ,96,R,Lawrence,B103,338,
Kathy L Hinkle,State Representative ,96,D,Lawrence,B103,391,
,Ballots Cast,,,Lawrence,C101,123,
,Straight Party,,R,Lawrence,C101,26,
,Straight Party,,D,Lawrence,C101,4,
"Harold ""Hal"" Rogers",US House,5,R,Lawrence,C101,90,
Kenneth S Stepp,US House,5,D,Lawrence,C101,23,
Jill York,State Representative ,96,R,Lawrence,C101,70,
Kathy L Hinkle,State Representative ,96,D,Lawrence,C101,48,
,Ballots Cast,,,Lawrence,C102,247,
,Straight Party,,R,Lawrence,C102,40,
,Straight Party,,D,Lawrence,C102,16,
"Harold ""Hal"" Rogers",US House,5,R,Lawrence,C102,169,
Kenneth S Stepp,US House,5,D,Lawrence,C102,54,
Jill York,State Representative ,96,R,Lawrence,C102,136,
Kathy L Hinkle,State Representative ,96,D,Lawrence,C102,102,
,Ballots Cast,,,Lawrence,C103,174,
,Straight Party,,R,Lawrence,C103,43,
,Straight Party,,D,Lawrence,C103,17,
"Harold ""Hal"" Rogers",US House,5,R,Lawrence,C103,118,
Kenneth S Stepp,US House,5,D,Lawrence,C103,39,
Jill York,State Representative ,96,R,Lawrence,C103,97,
Kathy L Hinkle,State Representative ,96,D,Lawrence,C103,70,
,Ballots Cast,,,Lawrence,C104,394,
,Straight Party,,R,Lawrence,C104,116,
,Straight Party,,D,Lawrence,C104,19,
"Harold ""Hal"" Rogers",US House,5,R,Lawrence,C104,307,
Kenneth S Stepp,US House,5,D,Lawrence,C104,84,
Jill York,State Representative ,96,R,Lawrence,C104,244,
Kathy L Hinkle,State Representative ,96,D,Lawrence,C104,133,
,Ballots Cast,,,Lawrence,C105,164,
,Straight Party,,R,Lawrence,C105,54,
,Straight Party,,D,Lawrence,C105,12,
"Harold ""Hal"" Rogers",US House,5,R,Lawrence,C105,124,
Kenneth S Stepp,US House,5,D,Lawrence,C105,34,
Jill York,State Representative ,96,R,Lawrence,C105,92,
Kathy L Hinkle,State Representative ,96,D,Lawrence,C105,67,
,Ballots Cast,,,Lawrence,D101,225,
,Straight Party,,R,Lawrence,D101,71,
,Straight Party,,D,Lawrence,D101,7,
"Harold ""Hal"" Rogers",US House,5,R,Lawrence,D101,184,
Kenneth S Stepp,US House,5,D,Lawrence,D101,21,
Jill York,State Representative ,96,R,Lawrence,D101,139,
Kathy L Hinkle,State Representative ,96,D,Lawrence,D101,77,
,Ballots Cast,,,Lawrence,D102,201,
,Straight Party,,R,Lawrence,D102,29,
,Straight Party,,D,Lawrence,D102,10,
"Harold ""Hal"" Rogers",US House,5,R,Lawrence,D102,149,
Kenneth S Stepp,US House,5,D,Lawrence,D102,32,
Jill York,State Representative ,96,R,Lawrence,D102,113,
Kathy L Hinkle,State Representative ,96,D,Lawrence,D102,79,
,Ballots Cast,,,Lawrence,D103,202,
,Straight Party,,R,Lawrence,D103,30,
,Straight Party,,D,Lawrence,D103,25,
"Harold ""Hal"" Rogers",US House,5,R,Lawrence,D103,119,
Kenneth S Stepp,US House,5,D,Lawrence,D103,63,
Jill York,State Representative ,96,R,Lawrence,D103,74,
Kathy L Hinkle,State Representative ,96,D,Lawrence,D103,116,
,Ballots Cast,,,Lawrence,D104,249,
,Straight Party,,R,Lawrence,D104,49,
,Straight Party,,D,Lawrence,D104,20,
"Harold ""Hal"" Rogers",US House,5,R,Lawrence,D104,180,
Kenneth S Stepp,US House,5,D,Lawrence,D104,59,
Jill York,State Representative ,96,R,Lawrence,D104,115,
Kathy L Hinkle,State Representative ,96,D,Lawrence,D104,128,
,Ballots Cast,,,Lawrence,D105,310,
,Straight Party,,R,Lawrence,D105,44,
,Straight Party,,D,Lawrence,D105,16,
"Harold ""Hal"" Rogers",US House,5,R,Lawrence,D105,235,
Kenneth S Stepp,US House,5,D,Lawrence,D105,58,
Jill York,State Representative ,96,R,Lawrence,D105,159,
Kathy L Hinkle,State Representative ,96,D,Lawrence,D105,149,
,Ballots Cast,,,Lawrence,D106,165,
,Straight Party,,R,Lawrence,D106,18,
,Straight Party,,D,Lawrence,D106,10,
"Harold ""Hal"" Rogers",US House,5,R,Lawrence,D106,117,
Kenneth S Stepp,US House,5,D,Lawrence,D106,33,
Jill York,State Representative ,96,R,Lawrence,D106,61,
Kathy L Hinkle,State Representative ,96,D,Lawrence,D106,100,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
