county,precinct,office,district,party,candidate,votes,absentee,absentee_mail
Bell,Brownies Creek A103,U.S. House,5,REP,Hal Rogers,167,,
Bell,Hutch A104,U.S. House,5,REP,Hal Rogers,168,,
Bell,Meldrum A015,U.S. House,5,REP,Hal Rogers,177,,
Bell,Pineville East B101,U.S. House,5,REP,Hal Rogers,107,,
Bell,Pineville Central B102,U.S. House,5,REP,Hal Rogers,172,,
Bell,Pineville West B103,U.S. House,5,REP,Hal Rogers,183,,
Bell,Arjay B104,U.S. House,5,REP,Hal Rogers,163,,
Bell,Dorton Branch B105,U.S. House,5,REP,Hal Rogers,93,,
Bell,Beverly B106,U.S. House,5,REP,Hal Rogers,29,,
Bell,Right Fork B107,U.S. House,5,REP,Hal Rogers,273,,
Bell,Straight Creek B108,U.S. House,5,REP,Hal Rogers,121,,
Bell,Binghamtown C101,U.S. House,5,REP,Hal Rogers,199,,
Bell,Dorchester C102,U.S. House,5,REP,Hal Rogers,177,,
Bell,Noetown C103,U.S. House,5,REP,Hal Rogers,169,,
Bell,Junction C104,U.S. House,5,REP,Hal Rogers,245,,
Bell,Edgewood C105,U.S. House,5,REP,Hal Rogers,306,,
Bell,City Hall D101,U.S. House,5,REP,Hal Rogers,136,,
Bell,East End D102,U.S. House,5,REP,Hal Rogers,198,,
Bell,Winchester D103,U.S. House,5,REP,Hal Rogers,201,,
Bell,Southside D104,U.S. House,5,REP,Hal Rogers,88,,
Bell,West Central D105,U.S. House,5,REP,Hal Rogers,181,,
Bell,Exeter D106,U.S. House,5,REP,Hal Rogers,283,,
Bell,Laurel A E101,U.S. House,5,REP,Hal Rogers,262,,
Bell,Laurel B E102,U.S. House,5,REP,Hal Rogers,189,,
Bell,Lone Jack E103,U.S. House,5,REP,Hal Rogers,223,,
Bell,Greasy Creek E104,U.S. House,5,REP,Hal Rogers,243,,
Bell,Clear Creek E105,U.S. House,5,REP,Hal Rogers,211,,
Bell,Sutty E106,U.S. House,5,REP,Hal Rogers,235,,
Bell,Absentee,U.S. House,5,DEM,Kenneth S. Stepp,108,60,48
Bell,Page A101,U.S. House,5,DEM,Kenneth S. Stepp,47,,
Bell,Blackmont A102,U.S. House,5,DEM,Kenneth S. Stepp,50,,
Bell,Brownies Creek A103,U.S. House,5,DEM,Kenneth S. Stepp,13,,
Bell,Hutch A104,U.S. House,5,DEM,Kenneth S. Stepp,27,,
Bell,Meldrum A015,U.S. House,5,DEM,Kenneth S. Stepp,39,,
Bell,Pineville East B101,U.S. House,5,DEM,Kenneth S. Stepp,29,,
Bell,Pineville Central B102,U.S. House,5,DEM,Kenneth S. Stepp,27,,
Bell,Pineville West B103,U.S. House,5,DEM,Kenneth S. Stepp,44,,
Bell,Arjay B104,U.S. House,5,DEM,Kenneth S. Stepp,35,,
Bell,Dorton Branch B105,U.S. House,5,DEM,Kenneth S. Stepp,22,,
Bell,Beverly B106,U.S. House,5,DEM,Kenneth S. Stepp,2,,
Bell,Right Fork B107,U.S. House,5,DEM,Kenneth S. Stepp,31,,
