candidate,office,district,party,county,precinct,votes,absentee_mail,absentee
Andy Barr,U.S. House,6,REP,Bath,Absentee,,149,155
Amy McGrath,U.S. House,6,DEM,Bath,Absentee,,110,97
Frank Harris,U.S. House,6,LIB,Bath,Absentee,,0,0
Rikka L. Wallin,U.S. House,6,IND,Bath,Absentee,,1,0
James Germalic,U.S. House,6,IND,Bath,Absentee,,0,3
Matthew R. Koch,State Representative,72,REP,Bath,Absentee,,97,92
Emily Ferguson,State Representative,72,DEM,Bath,Absentee,,148,144
Ann Cormican,State Representative,72,LIB,Bath,Absentee,,3,0
Andy Barr,U.S. House,6,REP,Bath,Sharpsburg 1,104,,
Amy McGrath,U.S. House,6,DEM,Bath,Sharpsburg 1,68,,
Frank Harris,U.S. House,6,LIB,Bath,Sharpsburg 1,2,,
Rikka L. Wallin,U.S. House,6,IND,Bath,Sharpsburg 1,0,,
James Germalic,U.S. House,6,IND,Bath,Sharpsburg 1,0,,
Matthew R. Koch,State Representative,72,REP,Bath,Sharpsburg 1,77,,
Emily Ferguson,State Representative,72,DEM,Bath,Sharpsburg 1,89,,
Ann Cormican,State Representative,72,LIB,Bath,Sharpsburg 1,2,,
Andy Barr,U.S. House,6,REP,Bath,Sharpsburg 2,119,,
Amy McGrath,U.S. House,6,DEM,Bath,Sharpsburg 2,96,,
Frank Harris,U.S. House,6,LIB,Bath,Sharpsburg 2,3,,
Rikka L. Wallin,U.S. House,6,IND,Bath,Sharpsburg 2,3,,
James Germalic,U.S. House,6,IND,Bath,Sharpsburg 2,1,,
Matthew R. Koch,State Representative,72,REP,Bath,Sharpsburg 2,95,,
Emily Ferguson,State Representative,72,DEM,Bath,Sharpsburg 2,113,,
Ann Cormican,State Representative,72,LIB,Bath,Sharpsburg 2,3,,
Andy Barr,U.S. House,6,REP,Bath,Bethel,131,,
Amy McGrath,U.S. House,6,DEM,Bath,Bethel,66,,
Frank Harris,U.S. House,6,LIB,Bath,Bethel,4,,
Rikka L. Wallin,U.S. House,6,IND,Bath,Bethel,1,,
James Germalic,U.S. House,6,IND,Bath,Bethel,0,,
