county,office,district,party,candidate,votes
Franklin,AB,Ballots Cast,,,,1214
Franklin,A101,Ballots Cast,,,,732
Franklin,A102A,Ballots Cast,,,,432
Franklin,A103A,Ballots Cast,,,,341
Franklin,A104A,Ballots Cast,,,,385
Franklin,A105A,Ballots Cast,,,,381
Franklin,A106,Ballots Cast,,,,541
Franklin,A107A,Ballots Cast,,,,442
Franklin,A108,Ballots Cast,,,,540
Franklin,B101,Ballots Cast,,,,715
Franklin,B102,Ballots Cast,,,,678
Franklin,B103A,Ballots Cast,,,,359
Franklin,B105A,Ballots Cast,,,,365
Franklin,B106,Ballots Cast,,,,1395
Franklin,B108A,Ballots Cast,,,,505
Franklin,B109A,Ballots Cast,,,,175
Franklin,C101A,Ballots Cast,,,,267
Franklin,C102A,Ballots Cast,,,,307
Franklin,C105A,Ballots Cast,,,,307
Franklin,C106A,Ballots Cast,,,,355
Franklin,C107A,Ballots Cast,,,,769
Franklin,C108,Ballots Cast,,,,539
Franklin,C109A,Ballots Cast,,,,600
Franklin,C110A,Ballots Cast,,,,410
Franklin,D101,Ballots Cast,,,,391
Franklin,D102,Ballots Cast,,,,589
Franklin,D103,Ballots Cast,,,,279
Franklin,D104,Ballots Cast,,,,363
Franklin,D105A,Ballots Cast,,,,220
Franklin,D106A,Ballots Cast,,,,187
Franklin,D107A,Ballots Cast,,,,270
Franklin,D108A,Ballots Cast,,,,267
Franklin,D109A,Ballots Cast,,,,251
Franklin,E101,Ballots Cast,,,,818
Franklin,E102,Ballots Cast,,,,1183
Franklin,E108A,Ballots Cast,,,,539
Franklin,E109A,Ballots Cast,,,,499
Franklin,E110A,Ballots Cast,,,,413
Franklin,F101,Ballots Cast,,,,376
Franklin,F102A,Ballots Cast,,,,244
Franklin,F103,Ballots Cast,,,,461
Franklin,F104A,Ballots Cast,,,,538
Franklin,F105A,Ballots Cast,,,,383
Franklin,F106,Ballots Cast,,,,425
Franklin,F108,Ballots Cast,,,,683
Franklin,AB,U.S. House,,REP,Andy BARR,475
Franklin,AB,U.S. House,,DEM,Amy McGRATH,721
Franklin,AB,U.S. House,,LIB,Frank HARRIS,3
Franklin,AB,U.S. House,,IND,Rikka L. WALLIN,2
Franklin,AB,U.S. House,,IND,James GERMALIC,2
Franklin,A101,U.S. House,,REP,Andy BARR,336
Franklin,A101,U.S. House,,DEM,Amy McGRATH,382
Franklin,A101,U.S. House,,LIB,Frank HARRIS,7
Franklin,A101,U.S. House,,IND,Rikka L. WALLIN,3
Franklin,A101,U.S. House,,IND,James GERMALIC,1
Franklin,A102A,U.S. House,,REP,Andy BARR,177
Franklin,A102A,U.S. House,,DEM,Amy McGRATH,251
Franklin,A102A,U.S. House,,LIB,Frank HARRIS,1
Franklin,A102A,U.S. House,,IND,Rikka L. WALLIN,0
Franklin,A102A,U.S. House,,IND,James GERMALIC,1
Franklin,A103A,U.S. House,,REP,Andy BARR,53
Franklin,A103A,U.S. House,,DEM,Amy McGRATH,276
Franklin,A103A,U.S. House,,LIB,Frank HARRIS,5
Franklin,A103A,U.S. House,,IND,Rikka L. WALLIN,4
Franklin,A103A,U.S. House,,IND,James GERMALIC,1
Franklin,A104A,U.S. House,,REP,Andy BARR,131
Franklin,A104A,U.S. House,,DEM,Amy McGRATH,242
Franklin,A104A,U.S. House,,LIB,Frank HARRIS,3
Franklin,A104A,U.S. House,,IND,Rikka L. WALLIN,3
Franklin,A104A,U.S. House,,IND,James GERMALIC,1
Franklin,A105A,U.S. House,,REP,Andy BARR,77
Franklin,A105A,U.S. House,,DEM,Amy McGRATH,294
Franklin,A105A,U.S. House,,LIB,Frank HARRIS,2
Franklin,A105A,U.S. House,,IND,Rikka L. WALLIN,1
Franklin,A105A,U.S. House,,IND,James GERMALIC,2
Franklin,A106,U.S. House,,REP,Andy BARR,342
Franklin,A106,U.S. House,,DEM,Amy McGRATH,181
Franklin,A106,U.S. House,,LIB,Frank HARRIS,12
Franklin,A106,U.S. House,,IND,Rikka L. WALLIN,0
Franklin,A106,U.S. House,,IND,James GERMALIC,3
Franklin,A107A,U.S. House,,REP,Andy BARR,100
Franklin,A107A,U.S. House,,DEM,Amy McGRATH,336
Franklin,A107A,U.S. House,,LIB,Frank HARRIS,1
Franklin,A107A,U.S. House,,IND,Rikka L. WALLIN,1
Franklin,A107A,U.S. House,,IND,James GERMALIC,1
Franklin,A108,U.S. House,,REP,Andy BARR,291
Franklin,A108,U.S. House,,DEM,Amy McGRATH,239
Franklin,A108,U.S. House,,LIB,Frank HARRIS,1
Franklin,A108,U.S. House,,IND,Rikka L. WALLIN,3
Franklin,A108,U.S. House,,IND,James GERMALIC,1
Franklin,B101,U.S. House,,REP,Andy BARR,333
Franklin,B101,U.S. House,,DEM,Amy McGRATH,375
Franklin,B101,U.S. House,,LIB,Frank HARRIS,3
Franklin,B101,U.S. House,,IND,Rikka L. WALLIN,0
Franklin,B101,U.S. House,,IND,James GERMALIC,0
Franklin,B102,U.S. House,,REP,Andy BARR,297
Franklin,B102,U.S. House,,DEM,Amy McGRATH,368
Franklin,B102,U.S. House,,LIB,Frank HARRIS,3
Franklin,B102,U.S. House,,IND,Rikka L. WALLIN,4
