candidate,office,district,party,county,precinct,votes,absentee_mail,absentee
Andy Barr,U.S. House,6,REP,Estill,Courthouse,124,,
Amy McGrath,U.S. House,6,DEM,Estill,Courthouse,63,,
Frank Harris,U.S. House,6,LIB,Estill,Courthouse,1,,
Rikka L. Wallin,U.S. House,6,IND,Estill,Courthouse,0,,
James Germalic,U.S. House,6,IND,Estill,Courthouse,0,,
"Gary ""Toby"" Herald",State Representative,91,REP,Estill,Courthouse,87,,
Cluster Howard,State Representative,91,DEM,Estill,Courthouse,87,,
Andy Barr,U.S. House,6,REP,Estill,Schoolhouse,142,,
Amy McGrath,U.S. House,6,DEM,Estill,Schoolhouse,57,,
Frank Harris,U.S. House,6,LIB,Estill,Schoolhouse,4,,
Rikka L. Wallin,U.S. House,6,IND,Estill,Schoolhouse,2,,
James Germalic,U.S. House,6,IND,Estill,Schoolhouse,1,,
"Gary ""Toby"" Herald",State Representative,91,REP,Estill,Schoolhouse,110,,
Cluster Howard,State Representative,91,DEM,Estill,Schoolhouse,79,,
Andy Barr,U.S. House,6,REP,Estill,West Lawn,133,,
Amy McGrath,U.S. House,6,DEM,Estill,West Lawn,63,,
Frank Harris,U.S. House,6,LIB,Estill,West Lawn,0,,
Rikka L. Wallin,U.S. House,6,IND,Estill,West Lawn,1,,
James Germalic,U.S. House,6,IND,Estill,West Lawn,1,,
"Gary ""Toby"" Herald",State Representative,91,REP,Estill,West Lawn,109,,
Cluster Howard,State Representative,91,DEM,Estill,West Lawn,77,,
Andy Barr,U.S. House,6,REP,Estill,Estill Springs,162,,
Amy McGrath,U.S. House,6,DEM,Estill,Estill Springs,60,,
Frank Harris,U.S. House,6,LIB,Estill,Estill Springs,0,,
Rikka L. Wallin,U.S. House,6,IND,Estill,Estill Springs,0,,
James Germalic,U.S. House,6,IND,Estill,Estill Springs,0,,
"Gary ""Toby"" Herald",State Representative,91,REP,Estill,Estill Springs,117,,
Cluster Howard,State Representative,91,DEM,Estill,Estill Springs,93,,
Andy Barr,U.S. House,6,REP,Estill,Ravenna,170,,
Amy McGrath,U.S. House,6,DEM,Estill,Ravenna,64,,
Frank Harris,U.S. House,6,LIB,Estill,Ravenna,3,,
Rikka L. Wallin,U.S. House,6,IND,Estill,Ravenna,0,,
James Germalic,U.S. House,6,IND,Estill,Ravenna,0,,
"Gary ""Toby"" Herald",State Representative,91,REP,Estill,Ravenna,127,,
Cluster Howard,State Representative,91,DEM,Estill,Ravenna,100,,
Andy Barr,U.S. House,6,REP,Estill,West Irvine,294,,
Amy McGrath,U.S. House,6,DEM,Estill,West Irvine,122,,
Frank Harris,U.S. House,6,LIB,Estill,West Irvine,1,,
Rikka L. Wallin,U.S. House,6,IND,Estill,West Irvine,1,,
James Germalic,U.S. House,6,IND,Estill,West Irvine,1,,
"Gary ""Toby"" Herald",State Representative,91,REP,Estill,West Irvine,240,,
Cluster Howard,State Representative,91,DEM,Estill,West Irvine,159,,
Andy Barr,U.S. House,6,REP,Estill,White Oak,361,,
Amy McGrath,U.S. House,6,DEM,Estill,White Oak,91,,
Frank Harris,U.S. House,6,LIB,Estill,White Oak,3,,
Rikka L. Wallin,U.S. House,6,IND,Estill,White Oak,0,,
James Germalic,U.S. House,6,IND,Estill,White Oak,0,,
"Gary ""Toby"" Herald",State Representative,91,REP,Estill,White Oak,300,,
Cluster Howard,State Representative,91,DEM,Estill,White Oak,136,,
Andy Barr,U.S. House,6,REP,Estill,Millers Creek,168,,
Amy McGrath,U.S. House,6,DEM,Estill,Millers Creek,68,,
Frank Harris,U.S. House,6,LIB,Estill,Millers Creek,1,,
Rikka L. Wallin,U.S. House,6,IND,Estill,Millers Creek,1,,
James Germalic,U.S. House,6,IND,Estill,Millers Creek,0,,
"Gary ""Toby"" Herald",State Representative,91,REP,Estill,Millers Creek,143,,
Cluster Howard,State Representative,91,DEM,Estill,Millers Creek,82,,
Andy Barr,U.S. House,6,REP,Estill,Cow Creek,191,,
Amy McGrath,U.S. House,6,DEM,Estill,Cow Creek,68,,
Frank Harris,U.S. House,6,LIB,Estill,Cow Creek,4,,
Rikka L. Wallin,U.S. House,6,IND,Estill,Cow Creek,1,,
James Germalic,U.S. House,6,IND,Estill,Cow Creek,0,,
"Gary ""Toby"" Herald",State Representative,91,REP,Estill,Cow Creek,144,,
Cluster Howard,State Representative,91,DEM,Estill,Cow Creek,93,,
Andy Barr,U.S. House,6,REP,Estill,Forks,374,,
Amy McGrath,U.S. House,6,DEM,Estill,Forks,175,,
Frank Harris,U.S. House,6,LIB,Estill,Forks,5,,
Rikka L. Wallin,U.S. House,6,IND,Estill,Forks,2,,
James Germalic,U.S. House,6,IND,Estill,Forks,1,,
"Gary ""Toby"" Herald",State Representative,91,REP,Estill,Forks,302,,
Cluster Howard,State Representative,91,DEM,Estill,Forks,225,,
Andy Barr,U.S. House,6,REP,Estill,Barnes Mt.,163,,
Amy McGrath,U.S. House,6,DEM,Estill,Barnes Mt.,61,,
Frank Harris,U.S. House,6,LIB,Estill,Barnes Mt.,1,,
Rikka L. Wallin,U.S. House,6,IND,Estill,Barnes Mt.,0,,
James Germalic,U.S. House,6,IND,Estill,Barnes Mt.,0,,
"Gary ""Toby"" Herald",State Representative,91,REP,Estill,Barnes Mt.,140,,
Cluster Howard,State Representative,91,DEM,Estill,Barnes Mt.,68,,
Andy Barr,U.S. House,6,REP,Estill,Cedar Grove,423,,
Amy McGrath,U.S. House,6,DEM,Estill,Cedar Grove,141,,
Frank Harris,U.S. House,6,LIB,Estill,Cedar Grove,3,,
Rikka L. Wallin,U.S. House,6,IND,Estill,Cedar Grove,1,,
James Germalic,U.S. House,6,IND,Estill,Cedar Grove,1,,
"Gary ""Toby"" Herald",State Representative,91,REP,Estill,Cedar Grove,343,,
Cluster Howard,State Representative,91,DEM,Estill,Cedar Grove,211,,
Andy Barr,U.S. House,6,REP,Estill,Red Lick,294,,
Amy McGrath,U.S. House,6,DEM,Estill,Red Lick,95,,
Frank Harris,U.S. House,6,LIB,Estill,Red Lick,3,,
Rikka L. Wallin,U.S. House,6,IND,Estill,Red Lick,0,,
James Germalic,U.S. House,6,IND,Estill,Red Lick,0,,
"Gary ""Toby"" Herald",State Representative,91,REP,Estill,Red Lick,252,,
Cluster Howard,State Representative,91,DEM,Estill,Red Lick,125,,
