candidate,office,district,party,county,precinct,absentee_mail,absentee,eslate,escan,votes
,Straight Party,,REP,Ohio,East Hartford,,,8,68,76
,Straight Party,,DEM,Ohio,East Hartford,,,7,40,47
James R. Comer,U.S. House,1,,Ohio,East Hartford,,,38,265,303
Paul Walker,U.S. House,1,,Ohio,East Hartford,,,20,106,126
C B Embry Jr.,State Senate,6,,Ohio,East Hartford,,,47,300,347
Crystal Chappell,State Senate,6,,Ohio,East Hartford,,,15,83,98
Scott Lewis,State Representative,14,,Ohio,East Hartford,,,51,307,358
Elizabeth M Belcher,State Representative,14,,Ohio,East Hartford,,,9,81,90
,Straight Party,,REP,Ohio,West Hartford,,,0,56,56
,Straight Party,,DEM,Ohio,West Hartford,,,0,36,36
James R. Comer,U.S. House,1,,Ohio,West Hartford,,,0,245,245
Paul Walker,U.S. House,1,,Ohio,West Hartford,,,0,97,97
C B Embry Jr.,State Senate,6,,Ohio,West Hartford,,,0,260,260
Crystal Chappell,State Senate,6,,Ohio,West Hartford,,,0,87,87
Scott Lewis,State Representative,14,,Ohio,West Hartford,,,0,254,254
Elizabeth M Belcher,State Representative,14,,Ohio,West Hartford,,,0,95,95
,Straight Party,,REP,Ohio,Hartford,,,0,54,54
,Straight Party,,DEM,Ohio,Hartford,,,0,36,36
James R. Comer,U.S. House,1,,Ohio,Hartford,,,0,172,172
Paul Walker,U.S. House,1,,Ohio,Hartford,,,0,58,58
C B Embry Jr.,State Senate,6,,Ohio,Hartford,,,0,170,170
Crystal Chappell,State Senate,6,,Ohio,Hartford,,,0,62,62
Scott Lewis,State Representative,14,,Ohio,Hartford,,,0,185,185
Elizabeth M Belcher,State Representative,14,,Ohio,Hartford,,,0,50,50
,Straight Party,,REP,Ohio,Buford,,,0,150,150
,Straight Party,,DEM,Ohio,Buford,,,0,61,61
James R. Comer,U.S. House,1,,Ohio,Buford,,,0,316,316
Paul Walker,U.S. House,1,,Ohio,Buford,,,0,120,120
C B Embry Jr.,State Senate,6,,Ohio,Buford,,,0,334,334
Crystal Chappell,State Senate,6,,Ohio,Buford,,,0,106,106
Scott Lewis,State Representative,14,,Ohio,Buford,,,0,345,345
Elizabeth M Belcher,State Representative,14,,Ohio,Buford,,,0,95,95
,Straight Party,,REP,Ohio,East Beaver Dam,,,11,66,77
,Straight Party,,DEM,Ohio,East Beaver Dam,,,3,55,58
James R. Comer,U.S. House,1,,Ohio,East Beaver Dam,,,24,275,299
Paul Walker,U.S. House,1,,Ohio,East Beaver Dam,,,9,136,145
C B Embry Jr.,State Senate,6,,Ohio,East Beaver Dam,,,28,324,352
Crystal Chappell,State Senate,6,,Ohio,East Beaver Dam,,,6,104,110
Scott Lewis,State Representative,14,,Ohio,East Beaver Dam,,,31,337,368
Elizabeth M Belcher,State Representative,14,,Ohio,East Beaver Dam,,,4,89,93
,Straight Party,,REP,Ohio,West Beaver Dam,,,0,142,142
,Straight Party,,DEM,Ohio,West Beaver Dam,,,0,72,72
James R. Comer,U.S. House,1,,Ohio,West Beaver Dam,,,0,542,542
Paul Walker,U.S. House,1,,Ohio,West Beaver Dam,,,0,210,210
C B Embry Jr.,State Senate,6,,Ohio,West Beaver Dam,,,0,619,619
Crystal Chappell,State Senate,6,,Ohio,West Beaver Dam,,,0,160,160
Scott Lewis,State Representative,14,,Ohio,West Beaver Dam,,,0,642,642
Elizabeth M Belcher,State Representative,14,,Ohio,West Beaver Dam,,,0,131,131
,Straight Party,,REP,Ohio,Beaver Dam 20,,,0,63,63
,Straight Party,,DEM,Ohio,Beaver Dam 20,,,0,18,18
James R. Comer,U.S. House,1,,Ohio,Beaver Dam 20,,,0,225,225
Paul Walker,U.S. House,1,,Ohio,Beaver Dam 20,,,0,75,75
