candidate,office,district,party,county,precinct,eslate,escan,votes
Andy Barr,U.S. House,6,REP,Robertson,A101 Mt. Olivet,53,42,95
Amy McGrath,U.S. House,6,DEM,Robertson,A101 Mt. Olivet,39,27,66
Frank Harris,U.S. House,6,LIB,Robertson,A101 Mt. Olivet,0,0,0
Rikka L. Wallin,U.S. House,6,IND,Robertson,A101 Mt. Olivet,1,0,1
James Germalic,U.S. House,6,IND,Robertson,A101 Mt. Olivet,0,1,1
John Sims Jr,State Representative,70,DEM,Robertson,A101 Mt. Olivet,74,43,117
Andy Barr,U.S. House,6,REP,Robertson,B101 Pinhook,60,22,82
Amy McGrath,U.S. House,6,DEM,Robertson,B101 Pinhook,36,8,44
Frank Harris,U.S. House,6,LIB,Robertson,B101 Pinhook,0,0,0
Rikka L. Wallin,U.S. House,6,IND,Robertson,B101 Pinhook,0,0,0
James Germalic,U.S. House,6,IND,Robertson,B101 Pinhook,0,0,0
John Sims Jr,State Representative,70,DEM,Robertson,B101 Pinhook,72,20,92
Andy Barr,U.S. House,6,REP,Robertson,C101 Kentontown,67,23,90
Amy McGrath,U.S. House,6,DEM,Robertson,C101 Kentontown,34,15,49
Frank Harris,U.S. House,6,LIB,Robertson,C101 Kentontown,1,0,1
Rikka L. Wallin,U.S. House,6,IND,Robertson,C101 Kentontown,0,0,0
James Germalic,U.S. House,6,IND,Robertson,C101 Kentontown,0,0,0
John Sims Jr,State Representative,70,DEM,Robertson,C101 Kentontown,78,30,108
Andy Barr,U.S. House,6,REP,Robertson,D101 Burika,57,55,112
Amy McGrath,U.S. House,6,DEM,Robertson,D101 Burika,21,29,50
Frank Harris,U.S. House,6,LIB,Robertson,D101 Burika,1,0,1
Rikka L. Wallin,U.S. House,6,IND,Robertson,D101 Burika,1,0,1
James Germalic,U.S. House,6,IND,Robertson,D101 Burika,0,0,0
John Sims Jr,State Representative,70,DEM,Robertson,D101 Burika,57,64,121
Andy Barr,U.S. House,6,REP,Robertson,E 101 Mt. Olivet,75,37,112
Amy McGrath,U.S. House,6,DEM,Robertson,E 101 Mt. Olivet,35,16,51
Frank Harris,U.S. House,6,LIB,Robertson,E 101 Mt. Olivet,1,0,1
Rikka L. Wallin,U.S. House,6,IND,Robertson,E 101 Mt. Olivet,0,0,0
James Germalic,U.S. House,6,IND,Robertson,E 101 Mt. Olivet,0,0,0
John Sims Jr,State Representative,70,DEM,Robertson,E 101 Mt. Olivet,76,27,103
Andy Barr,U.S. House,6,REP,Robertson,Absentee,20,20,40
Amy McGrath,U.S. House,6,DEM,Robertson,Absentee,18,18,36
Frank Harris,U.S. House,6,LIB,Robertson,Absentee,0,1,1
Rikka L. Wallin,U.S. House,6,IND,Robertson,Absentee,0,0,0
James Germalic,U.S. House,6,IND,Robertson,Absentee,0,0,0
John Sims Jr,State Representative,70,DEM,Robertson,Absentee,26,31,57
Andy Barr,U.S. House,6,REP,Robertson,TOTALS,,,531
Amy McGrath,U.S. House,6,DEM,Robertson,TOTALS,,,296
Frank Harris,U.S. House,6,LIB,Robertson,TOTALS,,,4
Rikka L. Wallin,U.S. House,6,IND,Robertson,TOTALS,,,2
James Germalic,U.S. House,6,IND,Robertson,TOTALS,,,1
John Sims Jr,State Representative,70,DEM,Robertson,TOTALS,,,598
