county,precinct,office,district,party,candidate,eslate,escan,votes,mail,walk_in
Crittenden,Absentee,Straight Party,,REP,Republican,,,48,15,
Crittenden,Absentee,Straight Party,,DEM,Democratic,,,10,3,
Crittenden,Absentee,U.S. House,1,REP,James R. Comer,,,136,39,97
Crittenden,Absentee,U.S. House,1,DEM,Paul Walker,,,35,12,23
Crittenden,Absentee,State Senate,4,REP,"Robert M. ""Robby"" Mills",,,120,32,88
Crittenden,Absentee,State Senate,4,DEM,J. Dorsey Ridley,,,52,18,34
Crittenden,Absentee,State Representative,4,REP,Lynn Bechler,,,130,39,91
Crittenden,Absentee,State Representative,4,DEM,Abigail C. Barnes,,,43,12,31
Crittenden,Marion #2,Straight Party,,REP,Republican,,53,53,,
Crittenden,Marion #2,Straight Party,,DEM,Democratic,,18,18,,
Crittenden,Marion #2,U.S. House,1,REP,James R. Comer,,189,189,,
Crittenden,Marion #2,U.S. House,1,DEM,Paul Walker,,72,72,,
Crittenden,Marion #2,State Senate,4,REP,"Robert M. ""Robby"" Mills",,144,144,,
Crittenden,Marion #2,State Senate,4,DEM,J. Dorsey Ridley,,117,117,,
Crittenden,Marion #2,State Representative,4,REP,Lynn Bechler,,163,163,,
Crittenden,Marion #2,State Representative,4,DEM,Abigail C. Barnes,,102,102,,
Crittenden,Rosebud #11,Straight Party,,REP,Republican,,58,58,,
Crittenden,Rosebud #11,Straight Party,,DEM,Democratic,,25,25,,
Crittenden,Rosebud #11,U.S. House,1,REP,James R. Comer,,162,162,,
Crittenden,Rosebud #11,U.S. House,1,DEM,Paul Walker,,57,57,,
Crittenden,Rosebud #11,State Senate,4,REP,"Robert M. ""Robby"" Mills",,134,134,,
Crittenden,Rosebud #11,State Senate,4,DEM,J. Dorsey Ridley,,88,88,,
Crittenden,Rosebud #11,State Representative,4,REP,Lynn Bechler,,138,138,,
Crittenden,Rosebud #11,State Representative,4,DEM,Abigail C. Barnes,,80,80,,
Crittenden,Sheridan #9,Straight Party,,REP,Republican,7,72,79,,
Crittenden,Sheridan #9,Straight Party,,DEM,Democratic,1,28,29,,
Crittenden,Sheridan #9,U.S. House,1,REP,James R. Comer,19,293,312,,
Crittenden,Sheridan #9,U.S. House,1,DEM,Paul Walker,5,80,85,,
Crittenden,Sheridan #9,State Senate,4,REP,"Robert M. ""Robby"" Mills",18,250,268,,
Crittenden,Sheridan #9,State Senate,4,DEM,J. Dorsey Ridley,6,124,130,,
Crittenden,Sheridan #9,State Representative,4,REP,Lynn Bechler,15,246,261,,
Crittenden,Sheridan #9,State Representative,4,DEM,Abigail C. Barnes,9,132,141,,
Crittenden,Tolu #10,Straight Party,,REP,Republican,0,44,44,,
Crittenden,Tolu #10,Straight Party,,DEM,Democratic,1,9,10,,
Crittenden,Tolu #10,U.S. House,1,REP,James R. Comer,1,202,203,,
Crittenden,Tolu #10,U.S. House,1,DEM,Paul Walker,1,57,58,,
Crittenden,Tolu #10,State Senate,4,REP,"Robert M. ""Robby"" Mills",0,172,172,,
Crittenden,Tolu #10,State Senate,4,DEM,J. Dorsey Ridley,2,85,87,,
Crittenden,Tolu #10,State Representative,4,REP,Lynn Bechler,0,172,172,,
Crittenden,Tolu #10,State Representative,4,DEM,Abigail C. Barnes,2,85,87,,
Crittenden,Marion #1,Straight Party,,REP,Republican,,76,76,,
Crittenden,Marion #1,Straight Party,,DEM,Democratic,,20,20,,
Crittenden,Marion #1,U.S. House,1,REP,James R. Comer,,205,205,,
Crittenden,Marion #1,U.S. House,1,DEM,Paul Walker,,68,68,,
Crittenden,Marion #1,State Senate,4,REP,"Robert M. ""Robby"" Mills",,180,180,,
Crittenden,Marion #1,State Senate,4,DEM,J. Dorsey Ridley,,96,96,,
Crittenden,Marion #1,State Representative,4,REP,Lynn Bechler,,178,178,,
Crittenden,Marion #1,State Representative,4,DEM,Abigail C. Barnes,,100,100,,
Crittenden,Fords Ferry #5,Straight Party,,REP,Republican,,19,19,,
Crittenden,Fords Ferry #5,Straight Party,,DEM,Democratic,,13,13,,
Crittenden,Fords Ferry #5,U.S. House,1,REP,James R. Comer,,77,77,,
