county,precinct,candidate,office,district,party,votes
Madison,A 101 Big Hill-Blue Lick,,Registered Voters,,,1308
Madison,A 101 Big Hill-Blue Lick,,Ballots Cast,,,677
Madison,A 101 Big Hill-Blue Lick,,Straight Party,,REP,129
Madison,A 101 Big Hill-Blue Lick,,Straight Party,,DEM,85
Madison,A 101 Big Hill-Blue Lick,,Straight Party,,LIB,2
Madison,A 101 Big Hill-Blue Lick,Andy Barr,U.S. House,6,REP,484
Madison,A 101 Big Hill-Blue Lick,Amy McGrath,U.S. House,6,DEM,179
Madison,A 101 Big Hill-Blue Lick,Frank Harris,U.S. House,6,LIB,5
Madison,A 101 Big Hill-Blue Lick,Rikka Wallin,U.S. House,6,IND,1
Madison,A 101 Big Hill-Blue Lick,James Germalic,U.S. House,6,IND,2
Madison,A 101 Big Hill-Blue Lick,Write In,U.S. House,6,NON,0
Madison,A 101 Big Hill-Blue Lick,Jared K. Carpenter,State Senate,34,REP,446
Madison,A 101 Big Hill-Blue Lick,Susan Byrne Haddix,State Senate,34,DEM,204
Madison,A 101 Big Hill-Blue Lick,Write In,State Senate,34,NON,1
Madison,A 101 Big Hill-Blue Lick,Robert Goforth,State Representative,89,REP,458
Madison,A 101 Big Hill-Blue Lick,Kelly Smith,State Representative,89,DEM,195
Madison,A 101 Big Hill-Blue Lick,Write In,State Representative,89,NON,1
Madison,A 102 East Berea,,Registered Voters,,,1563
Madison,A 102 East Berea,,Ballots Cast,,,739
Madison,A 102 East Berea,,Straight Party,,REP,97
Madison,A 102 East Berea,,Straight Party,,DEM,168
Madison,A 102 East Berea,,Straight Party,,LIB,5
Madison,A 102 East Berea,Andy Barr,U.S. House,6,REP,283
Madison,A 102 East Berea,Amy McGrath,U.S. House,6,DEM,444
Madison,A 102 East Berea,Frank Harris,U.S. House,6,LIB,1
Madison,A 102 East Berea,Rikka Wallin,U.S. House,6,IND,3
Madison,A 102 East Berea,James Germalic,U.S. House,6,IND,1
Madison,A 102 East Berea,Write In,U.S. House,6,NON,0
Madison,A 102 East Berea,Jared K. Carpenter,State Senate,34,REP,278
Madison,A 102 East Berea,Susan Byrne Haddix,State Senate,34,DEM,441
Madison,A 102 East Berea,Write In,State Senate,34,NON,0
Madison,A 102 East Berea,Deanna L. Frazier,State Representative,81,REP,274
Madison,A 102 East Berea,Morgan H Eaves,State Representative,81,DEM,446
Madison,A 102 East Berea,Write In,State Representative,81,NON,1
Madison,A 103 Gay-Stephens,,Registered Voters,,,1838
Madison,A 103 Gay-Stephens,,Ballots Cast,,,542
Madison,A 103 Gay-Stephens,,Straight Party,,REP,68
Madison,A 103 Gay-Stephens,,Straight Party,,DEM,136
Madison,A 103 Gay-Stephens,,Straight Party,,LIB,9
Madison,A 103 Gay-Stephens,Andy Barr,U.S. House,6,REP,163
Madison,A 103 Gay-Stephens,Amy McGrath,U.S. House,6,DEM,366
Madison,A 103 Gay-Stephens,Frank Harris,U.S. House,6,LIB,6
Madison,A 103 Gay-Stephens,Rikka Wallin,U.S. House,6,IND,4
Madison,A 103 Gay-Stephens,James Germalic,U.S. House,6,IND,1
Madison,A 103 Gay-Stephens,Write In,U.S. House,6,NON,0
Madison,A 103 Gay-Stephens,Jared K. Carpenter,State Senate,34,REP,165
Madison,A 103 Gay-Stephens,Susan Byrne Haddix,State Senate,34,DEM,368
Madison,A 103 Gay-Stephens,Write In,State Senate,34,NON,0
Madison,A 103 Gay-Stephens,Deanna L. Frazier,State Representative,81,REP,156
Madison,A 103 Gay-Stephens,Morgan H Eaves,State Representative,81,DEM,376
Madison,A 103 Gay-Stephens,Write In,State Representative,81,NON,0
Madison,A104 North Berea,,Registered Voters,,,2138
Madison,A104 North Berea,,Ballots Cast,,,975
Madison,A104 North Berea,,Straight Party,,REP,189
Madison,A104 North Berea,,Straight Party,,DEM,167
Madison,A104 North Berea,,Straight Party,,LIB,10
Madison,A104 North Berea,Andy Barr,U.S. House,6,REP,529
Madison,A104 North Berea,Amy McGrath,U.S. House,6,DEM,430
Madison,A104 North Berea,Frank Harris,U.S. House,6,LIB,5
Madison,A104 North Berea,Rikka Wallin,U.S. House,6,IND,1
Madison,A104 North Berea,James Germalic,U.S. House,6,IND,0
Madison,A104 North Berea,Write In,U.S. House,6,NON,0
Madison,A104 North Berea,Jared K. Carpenter,State Senate,34,REP,537
Madison,A104 North Berea,Susan Byrne Haddix,State Senate,34,DEM,412
Madison,A104 North Berea,Write In,State Senate,34,NON,0
Madison,A104 North Berea,Deanna L. Frazier,State Representative,81,REP,518
Madison,A104 North Berea,Morgan H Eaves,State Representative,81,DEM,435
Madison,A104 North Berea,Write In,State Representative,81,NON,1
Madison,A105 South Berea,,Registered Voters,,,1459
Madison,A105 South Berea,,Ballots Cast,,,821
Madison,A105 South Berea,,Straight Party,,REP,120
Madison,A105 South Berea,,Straight Party,,DEM,128
Madison,A105 South Berea,,Straight Party,,LIB,7
Madison,A105 South Berea,Andy Barr,U.S. House,6,REP,382
Madison,A105 South Berea,Amy McGrath,U.S. House,6,DEM,418
Madison,A105 South Berea,Frank Harris,U.S. House,6,LIB,14
Madison,A105 South Berea,Rikka Wallin,U.S. House,6,IND,0
Madison,A105 South Berea,James Germalic,U.S. House,6,IND,1
Madison,A105 South Berea,Write In,U.S. House,6,NON,1
Madison,A105 South Berea,Jared K. Carpenter,State Senate,34,REP,388
Madison,A105 South Berea,Susan Byrne Haddix,State Senate,34,DEM,399
Madison,A105 South Berea,Write In,State Senate,34,NON,3
Madison,A105 South Berea,Robert Goforth,State Representative,89,REP,389
Madison,A105 South Berea,Kelly Smith,State Representative,89,DEM,405
Madison,A105 South Berea,Write In,State Representative,89,NON,1
Madison,A106 West Berea-Mayde,,Registered Voters,,,2710
Madison,A106 West Berea-Mayde,,Ballots Cast,,,1247
Madison,A106 West Berea-Mayde,,Straight Party,,REP,248
Madison,A106 West Berea-Mayde,,Straight Party,,DEM,182
Madison,A106 West Berea-Mayde,,Straight Party,,LIB,9
Madison,A106 West Berea-Mayde,Andy Barr,U.S. House,6,REP,676
Madison,A106 West Berea-Mayde,Amy McGrath,U.S. House,6,DEM,544
Madison,A106 West Berea-Mayde,Frank Harris,U.S. House,6,LIB,12
Madison,A106 West Berea-Mayde,Rikka Wallin,U.S. House,6,IND,6
Madison,A106 West Berea-Mayde,James Germalic,U.S. House,6,IND,2
Madison,A106 West Berea-Mayde,Write In,U.S. House,6,NON,0
Madison,A106 West Berea-Mayde,Jared K. Carpenter,State Senate,34,REP,679
Madison,A106 West Berea-Mayde,Susan Byrne Haddix,State Senate,34,DEM,535
Madison,A106 West Berea-Mayde,Write In,State Senate,34,NON,0
Madison,A106 West Berea-Mayde,Robert Goforth,State Representative,89,REP,659
Madison,A106 West Berea-Mayde,Kelly Smith,State Representative,89,DEM,540
Madison,A106 West Berea-Mayde,Write In,State Representative,89,NON,1
Madison,A107 Clay,,Registered Voters,,,1436
Madison,A107 Clay,,Ballots Cast,,,832
Madison,A107 Clay,,Straight Party,,REP,182
Madison,A107 Clay,,Straight Party,,DEM,93
Madison,A107 Clay,,Straight Party,,LIB,0
Madison,A107 Clay,Andy Barr,U.S. House,6,REP,574
