id,county,precinct,office,district,party,candidate,votes,eslate,escan
1,Pendleton,A101,U.S. House,4,REP,Thomas MASSIE,161,,
15,Pendleton,A101,U.S. House,4,DEM,Seth HALL,28,,
29,Pendleton,A101,U.S. House,4,IND,Mike MOFFETT,3,,
43,Pendleton,A101,State Senate,24,REP,Wil SCHRODER,154,,
57,Pendleton,A101,State Senate,24,DEM,Rachel ROBERTS,36,,
71,Pendleton,A101,State Representative,78,REP,Mark HART,149,,
85,Pendleton,A101,State Representative,78,DEM,Gregory E. J. COULSON,45,,
99,Pendleton,A101,Commonwealth's Attorney,18th Judicial Circuit,,Douglas MILLER,90,,
113,Pendleton,A101,Circuit Clerk,,,Michael D. REDDEN,112,,
127,Pendleton,A101,PVA,,,John E. STEELE,114,,
141,Pendleton,A101,County Judge / Executive,,,David S. FIELDS,141,,
155,Pendleton,A101,County Judge / Executive,,,"Charles W. ""Craig"" PEOPLES",53,,
169,Pendleton,A101,County Attorney,,,Stacey S. SANNING,136,,
183,Pendleton,A101,County Attorney,,,Jeffery B. DEAN,55,,
197,Pendleton,A101,County Clerk,,,Rita M. SPENCER,123,,
211,Pendleton,A101,Sheriff,,,Edwin QUINN,120,,
225,Pendleton,A101,Sheriff,,,Billy Todd DENNIE,70,,
239,Pendleton,A101,Sheriff,,IND,Brian K. McCANN,2,,
253,Pendleton,A101,Jailer,,,Ken KELLS,107,,
267,Pendleton,A101,Coroner,,,Jonathon N. PEOPLES,116,,
281,Pendleton,A101,County Surveyor,,,Howard M. JOHNSTON,165,,
295,Pendleton,A101,Magistrate District 1,,,Alan WHALEY,172,,
300,Pendleton,A101,Constable District 1,,,Gregory A. LITTLETON,141,,
305,Pendleton,A101,Constable District 1,,,Scott SHEPPERD,49,,
355,Pendleton,A101,District Judge,18th Judicial District,,Charles W. KUSTER JR.,98,,
2,Pendleton,A102,U.S. House,4,REP,Thomas MASSIE,287,,
16,Pendleton,A102,U.S. House,4,DEM,Seth HALL,121,,
30,Pendleton,A102,U.S. House,4,IND,Mike MOFFETT,20,,
44,Pendleton,A102,State Senate,24,REP,Wil SCHRODER,296,,
58,Pendleton,A102,State Senate,24,DEM,Rachel ROBERTS,133,,
72,Pendleton,A102,State Representative,78,REP,Mark HART,300,,
86,Pendleton,A102,State Representative,78,DEM,Gregory E. J. COULSON,139,,
100,Pendleton,A102,Commonwealth's Attorney,18th Judicial Circuit,,Douglas MILLER,278,,
114,Pendleton,A102,Circuit Clerk,,,Michael D. REDDEN,317,,
128,Pendleton,A102,PVA,,,John E. STEELE,322,,
142,Pendleton,A102,County Judge / Executive,,,David S. FIELDS,279,,
156,Pendleton,A102,County Judge / Executive,,,"Charles W. ""Craig"" PEOPLES",158,,
170,Pendleton,A102,County Attorney,,,Stacey S. SANNING,255,,
184,Pendleton,A102,County Attorney,,,Jeffery B. DEAN,179,,
198,Pendleton,A102,County Clerk,,,Rita M. SPENCER,343,,
212,Pendleton,A102,Sheriff,,,Edwin QUINN,228,,
226,Pendleton,A102,Sheriff,,,Billy Todd DENNIE,202,,
240,Pendleton,A102,Sheriff,,IND,Brian K. McCANN,10,,
254,Pendleton,A102,Jailer,,,Ken KELLS,312,,
268,Pendleton,A102,Coroner,,,Jonathon N. PEOPLES,335,,
282,Pendleton,A102,County Surveyor,,,Howard M. JOHNSTON,363,,
296,Pendleton,A102,Magistrate District 1,,,Alan WHALEY,357,,
301,Pendleton,A102,Constable District 1,,,Gregory A. LITTLETON,252,,
306,Pendleton,A102,Constable District 1,,,Scott SHEPPERD,174,,
356,Pendleton,A102,District Judge,18th Judicial District,,Charles W. KUSTER JR.,290,,
381,Pendleton,A102,School Board Division 5,,,Laura S. SCHACK,303,,
451,Pendleton,A102,Butler Mayor,,,Greg McELFRESH,77,,
454,Pendleton,A102,Butler Mayor,,,Alice SMITH,38,,
457,Pendleton,A102,Butler City Council,,,E-S Bonita BONAR,78,,
460,Pendleton,A102,Butler City Council,,,Terry Murrell BUSH,80,,
463,Pendleton,A102,Butler City Council,,,Gerald L. McELFRESH,83,,
466,Pendleton,A102,Butler City Council,,,Mason D. TAYLOR,74,,
