county,precinct,office,district,party,candidate,eslate,escan,absentee_eslate,absentee_mail,absentee_walk_in,votes
Clark,Absentee,Straight Party,,REP,Republican,,,80,21,55,156
Clark,Becknerville,Straight Party,,REP,Republican,64,128,,,,192
Clark,Boonesboro,Straight Party,,REP,Republican,37,74,,,,111
Clark,Hampton,Straight Party,,REP,Republican,16,84,,,,100
Clark,Stoneybrook,Straight Party,,REP,Republican,47,92,,,,139
Clark,Calmes,Straight Party,,REP,Republican,38,80,,,,118
Clark,Forest Grove,Straight Party,,REP,Republican,47,91,,,,138
Clark,Garner,Straight Party,,REP,Republican,27,37,,,,64
Clark,Goodes,Straight Party,,REP,Republican,38,85,,,,123
Clark,Pinchem,Straight Party,,REP,Republican,39,73,,,,112
Clark,Ecton,Straight Party,,REP,Republican,54,110,,,,164
Clark,Absentee,Straight Party,,DEM,Democratic,,,40,41,43,124
Clark,Becknerville,Straight Party,,DEM,Democratic,20,75,,,,95
Clark,Boonesboro,Straight Party,,DEM,Democratic,20,43,,,,63
Clark,Hampton,Straight Party,,DEM,Democratic,22,51,,,,73
Clark,Stoneybrook,Straight Party,,DEM,Democratic,25,46,,,,71
Clark,Calmes,Straight Party,,DEM,Democratic,17,33,,,,50
Clark,Forest Grove,Straight Party,,DEM,Democratic,23,63,,,,86
Clark,Garner,Straight Party,,DEM,Democratic,27,36,,,,63
Clark,Goodes,Straight Party,,DEM,Democratic,18,34,,,,52
Clark,Pinchem,Straight Party,,DEM,Democratic,17,42,,,,59
Clark,Ecton,Straight Party,,DEM,Democratic,32,46,,,,78
Clark,Absentee,Straight Party,,LIB,Libertarian,,,3,0,0,3
Clark,Becknerville,Straight Party,,LIB,Libertarian,0,4,,,,4
Clark,Boonesboro,Straight Party,,LIB,Libertarian,1,1,,,,2
Clark,Hampton,Straight Party,,LIB,Libertarian,0,1,,,,1
Clark,Stoneybrook,Straight Party,,LIB,Libertarian,2,2,,,,4
Clark,Calmes,Straight Party,,LIB,Libertarian,2,0,,,,2
Clark,Forest Grove,Straight Party,,LIB,Libertarian,0,2,,,,2
Clark,Garner,Straight Party,,LIB,Libertarian,2,1,,,,3
Clark,Goodes,Straight Party,,LIB,Libertarian,1,1,,,,2
Clark,Pinchem,Straight Party,,LIB,Libertarian,1,2,,,,3
Clark,Ecton,Straight Party,,LIB,Libertarian,0,4,,,,4
Clark,Absentee,U.S. House,6,REP,Andy Barr,,,233,68,166,467
Clark,Becknerville,U.S. House,6,REP,Andy Barr,145,520,,,,665
Clark,Boonesboro,U.S. House,6,REP,Andy Barr,108,250,,,,358
Clark,Hampton,U.S. House,6,REP,Andy Barr,77,287,,,,364
Clark,Stoneybrook,U.S. House,6,REP,Andy Barr,144,348,,,,492
Clark,Calmes,U.S. House,6,REP,Andy Barr,119,297,,,,416
Clark,Forest Grove,U.S. House,6,REP,Andy Barr,130,385,,,,515
Clark,Garner,U.S. House,6,REP,Andy Barr,76,88,,,,164
Clark,Goodes,U.S. House,6,REP,Andy Barr,107,238,,,,345
Clark,Pinchem,U.S. House,6,REP,Andy Barr,97,277,,,,374
