county,precinct,candidate,office,district,party,votes
Campbell,AB,,Ballots Cast,,,1729
Campbell,AB,,Straight Party,,D,371
Campbell,AB,,Straight Party,,R,277
Campbell,AB,Thomas Massie,U.S. Senate,4,R,941
Campbell,AB,Seth Hall,U.S. Senate,4,D,703
Campbell,AB,Mike Moffett,U.S. Senate,4,IND,55
Campbell,AB,David Goodwin,U.S. Senate,4,W,0
Campbell,AB,Wil Schroder,State Senate,24,R,911
Campbell,AB,Rachel Roberts,State Senate,24,D,797
Campbell,AB,Kimberly Poore Moser,State Representative,64,R,43
Campbell,AB,Larry Varney,State Representative,64,D,29
Campbell,AB,Bob Schrage,State Representative,67,R,245
Campbell,AB,Dennis Keene,State Representative,67,D,357
Campbell,AB,Joseph M Fischer,State Representative,68,R,572
Campbell,AB,Jason Kilmer,State Representative,68,D,448
Campbell,A801,,Ballots Cast,,,619
Campbell,A801,,Straight Party,,D,154
Campbell,A801,,Straight Party,,R,73
Campbell,A801,Thomas Massie,U.S. Senate,4,R,422
Campbell,A801,Seth Hall,U.S. Senate,4,D,170
Campbell,A801,Mike Moffett,U.S. Senate,4,IND,18
Campbell,A801,David Goodwin,U.S. Senate,4,W,0
Campbell,A801,Wil Schroder,State Senate,24,R,405
Campbell,A801,Rachel Roberts,State Senate,24,D,202
Campbell,A801,Joseph M Fischer,State Representative,68,R,392
Campbell,A801,Jason Kilmer,State Representative,68,D,208
Campbell,A802,,Ballots Cast,,,416
Campbell,A802,,Straight Party,,D,109
Campbell,A802,,Straight Party,,R,54
Campbell,A802,Thomas Massie,U.S. Senate,4,R,265
Campbell,A802,Seth Hall,U.S. Senate,4,D,130
Campbell,A802,Mike Moffett,U.S. Senate,4,IND,13
Campbell,A802,David Goodwin,U.S. Senate,4,W,0
Campbell,A802,Wil Schroder,State Senate,24,R,255
Campbell,A802,Rachel Roberts,State Senate,24,D,157
Campbell,A802,Joseph M Fischer,State Representative,68,R,250
Campbell,A802,Jason Kilmer,State Representative,68,D,157
Campbell,A803,,Ballots Cast,,,814
Campbell,A803,,Straight Party,,D,231
Campbell,A803,,Straight Party,,R,95
Campbell,A803,Thomas Massie,U.S. Senate,4,R,513
Campbell,A803,Seth Hall,U.S. Senate,4,D,253
Campbell,A803,Mike Moffett,U.S. Senate,4,IND,26
Campbell,A803,David Goodwin,U.S. Senate,4,W,0
Campbell,A803,Wil Schroder,State Senate,24,R,500
Campbell,A803,Rachel Roberts,State Senate,24,D,295
Campbell,A803,Joseph M Fischer,State Representative,68,R,504
Campbell,A803,Jason Kilmer,State Representative,68,D,280
Campbell,A804,,Ballots Cast,,,634
Campbell,A804,,Straight Party,,D,172
Campbell,A804,,Straight Party,,R,52
Campbell,A804,Thomas Massie,U.S. Senate,4,R,431
Campbell,A804,Seth Hall,U.S. Senate,4,D,154
Campbell,A804,Mike Moffett,U.S. Senate,4,IND,20
Campbell,A804,David Goodwin,U.S. Senate,4,W,0
Campbell,A804,Wil Schroder,State Senate,24,R,406
Campbell,A804,Rachel Roberts,State Senate,24,D,213
Campbell,A804,Joseph M Fischer,State Representative,68,R,402
Campbell,A804,Jason Kilmer,State Representative,68,D,218
Campbell,B805,,Ballots Cast,,,677
Campbell,B805,,Straight Party,,D,198
Campbell,B805,,Straight Party,,R,84
Campbell,B805,Thomas Massie,U.S. Senate,4,R,432
Campbell,B805,Seth Hall,U.S. Senate,4,D,206
Campbell,B805,Mike Moffett,U.S. Senate,4,IND,25
Campbell,B805,David Goodwin,U.S. Senate,4,W,0
Campbell,B805,Wil Schroder,State Senate,24,R,419
Campbell,B805,Rachel Roberts,State Senate,24,D,253
Campbell,B805,Joseph M Fischer,State Representative,68,R,427
Campbell,B805,Jason Kilmer,State Representative,68,D,240
Campbell,B806,,Ballots Cast,,,944
Campbell,B806,,Straight Party,,D,232
Campbell,B806,,Straight Party,,R,94
Campbell,B806,Thomas Massie,U.S. Senate,4,R,633
Campbell,B806,Seth Hall,U.S. Senate,4,D,254
Campbell,B806,Mike Moffett,U.S. Senate,4,IND,27
Campbell,B806,David Goodwin,U.S. Senate,4,W,2
Campbell,B806,Wil Schroder,State Senate,24,R,594
Campbell,B806,Rachel Roberts,State Senate,24,D,332
Campbell,B806,Joseph M Fischer,State Representative,68,R,589
Campbell,B806,Jason Kilmer,State Representative,68,D,329
Campbell,B807,,Ballots Cast,,,502
Campbell,B807,,Straight Party,,D,152
Campbell,B807,,Straight Party,,R,52
Campbell,B807,Thomas Massie,U.S. Senate,4,R,362
Campbell,B807,Seth Hall,U.S. Senate,4,D,117
Campbell,B807,Mike Moffett,U.S. Senate,4,IND,12
Campbell,B807,David Goodwin,U.S. Senate,4,W,0
Campbell,B807,Wil Schroder,State Senate,24,R,353
Campbell,B807,Rachel Roberts,State Senate,24,D,148
Campbell,B807,Joseph M Fischer,State Representative,68,R,355
Campbell,B807,Jason Kilmer,State Representative,68,D,143
Campbell,C201,,Ballots Cast,,,590
Campbell,C201,,Straight Party,,D,123
Campbell,C201,,Straight Party,,R,146
Campbell,C201,Thomas Massie,U.S. Senate,4,R,264
Campbell,C201,Seth Hall,U.S. Senate,4,D,289
Campbell,C201,Mike Moffett,U.S. Senate,4,IND,27
Campbell,C201,David Goodwin,U.S. Senate,4,W,1
Campbell,C201,Wil Schroder,State Senate,24,R,247
Campbell,C201,Rachel Roberts,State Senate,24,D,327
Campbell,C201,Bob Schrage,State Representative,67,R,226
Campbell,C201,Dennis Keene,State Representative,67,D,353
