candidate,office,district,party,county,precinct,votes
,Ballots Cast,,,Lyon,Precinct AB,340
,Straight Party,,REP,Lyon,Precinct AB,51
,Straight Party,,DEM,Lyon,Precinct AB,42
James R Comer,U.S. House,1,,Lyon,Precinct AB,220
Paul Walker,U.S. House,1,,Lyon,Precinct AB,110
Chris Freeland,State Representative,6,,Lyon,Precinct AB,199
Linda Story Edwards,State Representative,6,,Lyon,Precinct AB,128
,Ballots Cast,,,Lyon,Precinct A101,524
,Straight Party,,REP,Lyon,Precinct A101,104
,Straight Party,,DEM,Lyon,Precinct A101,53
James R Comer,U.S. House,1,,Lyon,Precinct A101,360
Paul Walker,U.S. House,1,,Lyon,Precinct A101,157
Chris Freeland,State Representative,6,,Lyon,Precinct A101,332
Linda Story Edwards,State Representative,6,,Lyon,Precinct A101,184
,Ballots Cast,,,Lyon,Precinct A102,553
,Straight Party,,REP,Lyon,Precinct A102,90
,Straight Party,,DEM,Lyon,Precinct A102,70
James R Comer,U.S. House,1,,Lyon,Precinct A102,366
Paul Walker,U.S. House,1,,Lyon,Precinct A102,176
Chris Freeland,State Representative,6,,Lyon,Precinct A102,327
Linda Story Edwards,State Representative,6,,Lyon,Precinct A102,208
,Ballots Cast,,,Lyon,Precinct B101,482
,Straight Party,,REP,Lyon,Precinct B101,67
,Straight Party,,DEM,Lyon,Precinct B101,67
James R Comer,U.S. House,1,,Lyon,Precinct B101,296
Paul Walker,U.S. House,1,,Lyon,Precinct B101,176
Chris Freeland,State Representative,6,,Lyon,Precinct B101,285
Linda Story Edwards,State Representative,6,,Lyon,Precinct B101,180
,Ballots Cast,,,Lyon,Precinct B102,584
,Straight Party,,REP,Lyon,Precinct B101,68
,Straight Party,,DEM,Lyon,Precinct B101,57
James R Comer,U.S. House,1,,Lyon,Precinct B101,396
Paul Walker,U.S. House,1,,Lyon,Precinct B101,170
Chris Freeland,State Representative,6,,Lyon,Precinct B101,357
Linda Story Edwards,State Representative,6,,Lyon,Precinct B101,205
,Ballots Cast,,,Lyon,Precinct C101,498
,Straight Party,,REP,Lyon,Precinct C101,82
,Straight Party,,DEM,Lyon,Precinct C101,65
James R Comer,U.S. House,1,,Lyon,Precinct C101,306
Paul Walker,U.S. House,1,,Lyon,Precinct C101,186
Chris Freeland,State Representative,6,,Lyon,Precinct C101,288
Linda Story Edwards,State Representative,6,,Lyon,Precinct C101,200
,Ballots Cast,,,Lyon,Precinct C102,545
,Straight Party,,REP,Lyon,Precinct C102,90
,Straight Party,,DEM,Lyon,Precinct C102,73
James R Comer,U.S. House,1,,Lyon,Precinct C102,339
Paul Walker,U.S. House,1,,Lyon,Precinct C102,194
Chris Freeland,State Representative,6,,Lyon,Precinct C102,304
Linda Story Edwards,State Representative,6,,Lyon,Precinct C102,229
