county,precinct,candidate,office,district,party,votes
Henderson,Precinct AB,,Ballots Cast,,,737
Henderson,Precinct AB,,Straight Party,,REP,142
Henderson,Precinct AB,,Straight Party,,DEM,128
Henderson,Precinct AB,James R. Comer,U.S. House,1,,419
Henderson,Precinct AB,Paul Walker,U.S. House,1,,295
Henderson,Precinct AB,"Robert M ""Robby"" Mills",State Senate,4,,316
Henderson,Precinct AB,J Dorsey Ridley,State Senate,4,,418
Henderson,Precinct AB,Suzanne Miles,State Representative,7,,48
Henderson,Precinct AB,Joy Gray,State Representative,7,,19
Henderson,Precinct AB,James Buckmaster,State Representative,11,,290
Henderson,Precinct AB,"Robert ""Rob"" Wiederstein",State Representative,11,,373
Henderson,Precinct A101,,Ballots Cast,,,322
Henderson,Precinct A101,,Straight Party,,REP,69
Henderson,Precinct A101,,Straight Party,,DEM,68
Henderson,Precinct A101,James R. Comer,U.S. House,1,,207
Henderson,Precinct A101,Paul Walker,U.S. House,1,,110
Henderson,Precinct A101,"Robert M ""Robby"" Mills",State Senate,4,,170
Henderson,Precinct A101,J Dorsey Ridley,State Senate,4,,152
Henderson,Precinct A101,Suzanne Miles,State Representative,7,,201
Henderson,Precinct A101,Joy Gray,State Representative,7,,118
Henderson,Precinct A102,,Ballots Cast,,,251
Henderson,Precinct A102,,Straight Party,,REP,61
Henderson,Precinct A102,,Straight Party,,DEM,45
Henderson,Precinct A102,James R. Comer,U.S. House,1,,165
Henderson,Precinct A102,Paul Walker,U.S. House,1,,80
Henderson,Precinct A102,"Robert M ""Robby"" Mills",State Senate,4,,128
Henderson,Precinct A102,J Dorsey Ridley,State Senate,4,,119
Henderson,Precinct A102,James Buckmaster,State Representative,11,,129
Henderson,Precinct A102,"Robert ""Rob"" Wiederstein",State Representative,11,,118
Henderson,Precinct A108A,,Ballots Cast,,,337
Henderson,Precinct A108A,,Straight Party,,REP,85
Henderson,Precinct A108A,,Straight Party,,DEM,61
Henderson,Precinct A108A,James R. Comer,U.S. House,1,,193
Henderson,Precinct A108A,Paul Walker,U.S. House,1,,134
Henderson,Precinct A108A,"Robert M ""Robby"" Mills",State Senate,4,,166
Henderson,Precinct A108A,J Dorsey Ridley,State Senate,4,,168
Henderson,Precinct A108A,James Buckmaster,State Representative,11,,162
Henderson,Precinct A108A,"Robert ""Rob"" Wiederstein",State Representative,11,,172
Henderson,Precinct A110A,,Ballots Cast,,,474
Henderson,Precinct A110A,,Straight Party,,REP,86
Henderson,Precinct A110A,,Straight Party,,DEM,64
Henderson,Precinct A110A,James R. Comer,U.S. House,1,,314
Henderson,Precinct A110A,Paul Walker,U.S. House,1,,150
Henderson,Precinct A110A,"Robert M ""Robby"" Mills",State Senate,4,,217
Henderson,Precinct A110A,J Dorsey Ridley,State Senate,4,,255
Henderson,Precinct A110A,James Buckmaster,State Representative,11,,259
Henderson,Precinct A110A,"Robert ""Rob"" Wiederstein",State Representative,11,,210
Henderson,Precinct A111,,Ballots Cast,,,327
Henderson,Precinct A111,,Straight Party,,REP,79
Henderson,Precinct A111,,Straight Party,,DEM,64
Henderson,Precinct A111,James R. Comer,U.S. House,1,,186
Henderson,Precinct A111,Paul Walker,U.S. House,1,,131
Henderson,Precinct A111,"Robert M ""Robby"" Mills",State Senate,4,,161
Henderson,Precinct A111,J Dorsey Ridley,State Senate,4,,165
Henderson,Precinct A111,James Buckmaster,State Representative,11,,160
Henderson,Precinct A111,"Robert ""Rob"" Wiederstein",State Representative,11,,160
Henderson,Precinct A112A,,Ballots Cast,,,371
Henderson,Precinct A112A,,Straight Party,,REP,54
Henderson,Precinct A112A,,Straight Party,,DEM,30
Henderson,Precinct A112A,James R. Comer,U.S. House,1,,243
Henderson,Precinct A112A,Paul Walker,U.S. House,1,,115
Henderson,Precinct A112A,"Robert M ""Robby"" Mills",State Senate,4,,155
Henderson,Precinct A112A,J Dorsey Ridley,State Senate,4,,211
Henderson,Precinct A112A,James Buckmaster,State Representative,11,,167
Henderson,Precinct A112A,"Robert ""Rob"" Wiederstein",State Representative,11,,198
Henderson,Precinct A114,,Ballots Cast,,,639
Henderson,Precinct A114,,Straight Party,,REP,132
Henderson,Precinct A114,,Straight Party,,DEM,67
Henderson,Precinct A114,James R. Comer,U.S. House,1,,425
Henderson,Precinct A114,Paul Walker,U.S. House,1,,193
Henderson,Precinct A114,"Robert M ""Robby"" Mills",State Senate,4,,302
Henderson,Precinct A114,J Dorsey Ridley,State Senate,4,,329
Henderson,Precinct A114,James Buckmaster,State Representative,11,,328
Henderson,Precinct A114,"Robert ""Rob"" Wiederstein",State Representative,11,,298
Henderson,Precinct A116A,,Ballots Cast,,,376
Henderson,Precinct A116A,,Straight Party,,REP,48
Henderson,Precinct A116A,,Straight Party,,DEM,91
Henderson,Precinct A116A,James R. Comer,U.S. House,1,,173
Henderson,Precinct A116A,Paul Walker,U.S. House,1,,193
Henderson,Precinct A116A,"Robert M ""Robby"" Mills",State Senate,4,,128
Henderson,Precinct A116A,J Dorsey Ridley,State Senate,4,,246
Henderson,Precinct A116A,James Buckmaster,State Representative,11,,138
Henderson,Precinct A116A,"Robert ""Rob"" Wiederstein",State Representative,11,,233
Henderson,Precinct B101C,,Ballots Cast,,,343
Henderson,Precinct B101C,,Straight Party,,REP,118
Henderson,Precinct B101C,,Straight Party,,DEM,49
Henderson,Precinct B101C,James R. Comer,U.S. House,1,,218
Henderson,Precinct B101C,Paul Walker,U.S. House,1,,114
Henderson,Precinct B101C,"Robert M ""Robby"" Mills",State Senate,4,,172
Henderson,Precinct B101C,J Dorsey Ridley,State Senate,4,,170
Henderson,Precinct B101C,Suzanne Miles,State Representative,7,,216
Henderson,Precinct B101C,Joy Gray,State Representative,7,,117
Henderson,Precinct B102C,,Ballots Cast,,,184
Henderson,Precinct B102C,,Straight Party,,REP,57
Henderson,Precinct B102C,,Straight Party,,DEM,22
Henderson,Precinct B102C,James R. Comer,U.S. House,1,,138
Henderson,Precinct B102C,Paul Walker,U.S. House,1,,44
Henderson,Precinct B102C,"Robert M ""Robby"" Mills",State Senate,4,,108
Henderson,Precinct B102C,J Dorsey Ridley,State Senate,4,,78
Henderson,Precinct B102C,Suzanne Miles,State Representative,7,,128
Henderson,Precinct B102C,Joy Gray,State Representative,7,,53
Henderson,Precinct B103,,Ballots Cast,,,452
Henderson,Precinct B103,,Straight Party,,REP,116
Henderson,Precinct B103,,Straight Party,,DEM,51
Henderson,Precinct B103,James R. Comer,U.S. House,1,,311
Henderson,Precinct B103,Paul Walker,U.S. House,1,,130
Henderson,Precinct B103,"Robert M ""Robby"" Mills",State Senate,4,,229
Henderson,Precinct B103,J Dorsey Ridley,State Senate,4,,218
Henderson,Precinct B103,James Buckmaster,State Representative,11,,259
Henderson,Precinct B103,"Robert ""Rob"" Wiederstein",State Representative,11,,192
Henderson,Precinct B104,,Ballots Cast,,,407
Henderson,Precinct B104,,Straight Party,,REP,117
Henderson,Precinct B104,,Straight Party,,DEM,44
Henderson,Precinct B104,James R. Comer,U.S. House,1,,301
Henderson,Precinct B104,Paul Walker,U.S. House,1,,103
Henderson,Precinct B104,"Robert M ""Robby"" Mills",State Senate,4,,234
Henderson,Precinct B104,J Dorsey Ridley,State Senate,4,,171
Henderson,Precinct B104,Suzanne Miles,State Representative,7,,282
Henderson,Precinct B104,Joy Gray,State Representative,7,,122
Henderson,Precinct B105,,Ballots Cast,,,351
Henderson,Precinct B105,,Straight Party,,REP,90
Henderson,Precinct B105,,Straight Party,,DEM,52
Henderson,Precinct B105,James R. Comer,U.S. House,1,,246
Henderson,Precinct B105,Paul Walker,U.S. House,1,,99
Henderson,Precinct B105,"Robert M ""Robby"" Mills",State Senate,4,,170
Henderson,Precinct B105,J Dorsey Ridley,State Senate,4,,181
Henderson,Precinct B105,James Buckmaster,State Representative,11,,192
Henderson,Precinct B105,"Robert ""Rob"" Wiederstein",State Representative,11,,158
Henderson,Precinct B106A,,Ballots Cast,,,428
Henderson,Precinct B106A,,Straight Party,,REP,60
Henderson,Precinct B106A,,Straight Party,,DEM,106
Henderson,Precinct B106A,James R. Comer,U.S. House,1,,212
Henderson,Precinct B106A,Paul Walker,U.S. House,1,,201
Henderson,Precinct B106A,"Robert M ""Robby"" Mills",State Senate,4,,159
Henderson,Precinct B106A,J Dorsey Ridley,State Senate,4,,264
Henderson,Precinct B106A,James Buckmaster,State Representative,11,,174
Henderson,Precinct B106A,"Robert ""Rob"" Wiederstein",State Representative,11,,250
Henderson,Precinct B108A,,Ballots Cast,,,344
Henderson,Precinct B108A,,Straight Party,,REP,44
Henderson,Precinct B108A,,Straight Party,,DEM,44
Henderson,Precinct B108A,James R. Comer,U.S. House,1,,200
Henderson,Precinct B108A,Paul Walker,U.S. House,1,,133
Henderson,Precinct B108A,"Robert M ""Robby"" Mills",State Senate,4,,141
Henderson,Precinct B108A,J Dorsey Ridley,State Senate,4,,198
Henderson,Precinct B108A,James Buckmaster,State Representative,11,,154
Henderson,Precinct B108A,"Robert ""Rob"" Wiederstein",State Representative,11,,186
Henderson,Precinct B109,,Ballots Cast,,,110
Henderson,Precinct B109,,Straight Party,,REP,17
Henderson,Precinct B109,,Straight Party,,DEM,25
Henderson,Precinct B109,James R. Comer,U.S. House,1,,65
Henderson,Precinct B109,Paul Walker,U.S. House,1,,44
Henderson,Precinct B109,"Robert M ""Robby"" Mills",State Senate,4,,44
Henderson,Precinct B109,J Dorsey Ridley,State Senate,4,,66
Henderson,Precinct B109,Suzanne Miles,State Representative,7,,54
Henderson,Precinct B109,Joy Gray,State Representative,7,,65
Henderson,Precinct B110A,,Ballots Cast,,,475
Henderson,Precinct B110A,,Straight Party,,REP,109
Henderson,Precinct B110A,,Straight Party,,DEM,67
Henderson,Precinct B110A,James R. Comer,U.S. House,1,,298
Henderson,Precinct B110A,Paul Walker,U.S. House,1,,165
Henderson,Precinct B110A,"Robert M ""Robby"" Mills",State Senate,4,,221
Henderson,Precinct B110A,J Dorsey Ridley,State Senate,4,,251
Henderson,Precinct B110A,James Buckmaster,State Representative,11,,238
Henderson,Precinct B110A,"Robert ""Rob"" Wiederstein",State Representative,11,,234
Henderson,Precinct B111A,,Ballots Cast,,,480
Henderson,Precinct B111A,,Straight Party,,REP,72
Henderson,Precinct B111A,,Straight Party,,DEM,67
Henderson,Precinct B111A,James R. Comer,U.S. House,1,,290
Henderson,Precinct B111A,Paul Walker,U.S. House,1,,172
Henderson,Precinct B111A,"Robert M ""Robby"" Mills",State Senate,4,,206
Henderson,Precinct B111A,J Dorsey Ridley,State Senate,4,,264
Henderson,Precinct B111A,James Buckmaster,State Representative,11,,246
Henderson,Precinct B111A,"Robert ""Rob"" Wiederstein",State Representative,11,,228
Henderson,Precinct B112A,,Ballots Cast,,,184
Henderson,Precinct B112A,,Straight Party,,REP,26
Henderson,Precinct B112A,,Straight Party,,DEM,40
Henderson,Precinct B112A,James R. Comer,U.S. House,1,,111
Henderson,Precinct B112A,Paul Walker,U.S. House,1,,70
Henderson,Precinct B112A,"Robert M ""Robby"" Mills",State Senate,4,,80
Henderson,Precinct B112A,J Dorsey Ridley,State Senate,4,,102
Henderson,Precinct B112A,James Buckmaster,State Representative,11,,77
Henderson,Precinct B112A,"Robert ""Rob"" Wiederstein",State Representative,11,,104
Henderson,Precinct C101AB,,Ballots Cast,,,331
Henderson,Precinct C101AB,,Straight Party,,REP,60
Henderson,Precinct C101AB,,Straight Party,,DEM,57
Henderson,Precinct C101AB,James R. Comer,U.S. House,1,,193
Henderson,Precinct C101AB,Paul Walker,U.S. House,1,,131
Henderson,Precinct C101AB,"Robert M ""Robby"" Mills",State Senate,4,,152
Henderson,Precinct C101AB,J Dorsey Ridley,State Senate,4,,177
Henderson,Precinct C101AB,James Buckmaster,State Representative,11,,153
Henderson,Precinct C101AB,"Robert ""Rob"" Wiederstein",State Representative,11,,175
Henderson,Precinct C102,,Ballots Cast,,,217
Henderson,Precinct C102,,Straight Party,,REP,53
Henderson,Precinct C102,,Straight Party,,DEM,17
Henderson,Precinct C102,James R. Comer,U.S. House,1,,152
Henderson,Precinct C102,Paul Walker,U.S. House,1,,58
Henderson,Precinct C102,"Robert M ""Robby"" Mills",State Senate,4,,122
Henderson,Precinct C102,J Dorsey Ridley,State Senate,4,,95
Henderson,Precinct C102,James Buckmaster,State Representative,11,,133
Henderson,Precinct C102,"Robert ""Rob"" Wiederstein",State Representative,11,,79
Henderson,Precinct C103B,,Ballots Cast,,,275
Henderson,Precinct C103B,,Straight Party,,REP,54
Henderson,Precinct C103B,,Straight Party,,DEM,43
Henderson,Precinct C103B,James R. Comer,U.S. House,1,,160
Henderson,Precinct C103B,Paul Walker,U.S. House,1,,105
Henderson,Precinct C103B,"Robert M ""Robby"" Mills",State Senate,4,,119
Henderson,Precinct C103B,J Dorsey Ridley,State Senate,4,,153
Henderson,Precinct C103B,James Buckmaster,State Representative,11,,144
Henderson,Precinct C103B,"Robert ""Rob"" Wiederstein",State Representative,11,,126
Henderson,Precinct C104B,,Ballots Cast,,,375
Henderson,Precinct C104B,,Straight Party,,REP,92
Henderson,Precinct C104B,,Straight Party,,DEM,44
Henderson,Precinct C104B,James R. Comer,U.S. House,1,,250
Henderson,Precinct C104B,Paul Walker,U.S. House,1,,109
Henderson,Precinct C104B,"Robert M ""Robby"" Mills",State Senate,4,,183
Henderson,Precinct C104B,J Dorsey Ridley,State Senate,4,,189
Henderson,Precinct C104B,Suzanne Miles,State Representative,7,,243
Henderson,Precinct C104B,Joy Gray,State Representative,7,,120
Henderson,Precinct C105,,Ballots Cast,,,236
Henderson,Precinct C105,,Straight Party,,REP,62
Henderson,Precinct C105,,Straight Party,,DEM,32
Henderson,Precinct C105,James R. Comer,U.S. House,1,,157
Henderson,Precinct C105,Paul Walker,U.S. House,1,,73
Henderson,Precinct C105,"Robert M ""Robby"" Mills",State Senate,4,,124
Henderson,Precinct C105,J Dorsey Ridley,State Senate,4,,110
Henderson,Precinct C105,Suzanne Miles,State Representative,7,,165
Henderson,Precinct C105,Joy Gray,State Representative,7,,65
Henderson,Precinct C106A,,Ballots Cast,,,196
Henderson,Precinct C106A,,Straight Party,,REP,41
Henderson,Precinct C106A,,Straight Party,,DEM,28
Henderson,Precinct C106A,James R. Comer,U.S. House,1,,134
Henderson,Precinct C106A,Paul Walker,U.S. House,1,,60
Henderson,Precinct C106A,"Robert M ""Robby"" Mills",State Senate,4,,100
Henderson,Precinct C106A,J Dorsey Ridley,State Senate,4,,96
Henderson,Precinct C106A,James Buckmaster,State Representative,11,,102
Henderson,Precinct C106A,"Robert ""Rob"" Wiederstein",State Representative,11,,91
Henderson,Precinct C107A,,Ballots Cast,,,368
Henderson,Precinct C107A,,Straight Party,,REP,76
Henderson,Precinct C107A,,Straight Party,,DEM,81
Henderson,Precinct C107A,James R. Comer,U.S. House,1,,199
Henderson,Precinct C107A,Paul Walker,U.S. House,1,,161
Henderson,Precinct C107A,"Robert M ""Robby"" Mills",State Senate,4,,155
Henderson,Precinct C107A,J Dorsey Ridley,State Senate,4,,211
Henderson,Precinct C107A,James Buckmaster,State Representative,11,,176
Henderson,Precinct C107A,"Robert ""Rob"" Wiederstein",State Representative,11,,187
Henderson,Precinct C109A,,Ballots Cast,,,313
Henderson,Precinct C109A,,Straight Party,,REP,63
Henderson,Precinct C109A,,Straight Party,,DEM,69
Henderson,Precinct C109A,James R. Comer,U.S. House,1,,159
Henderson,Precinct C109A,Paul Walker,U.S. House,1,,141
Henderson,Precinct C109A,"Robert M ""Robby"" Mills",State Senate,4,,121
Henderson,Precinct C109A,J Dorsey Ridley,State Senate,4,,190
Henderson,Precinct C109A,James Buckmaster,State Representative,11,,123
Henderson,Precinct C109A,"Robert ""Rob"" Wiederstein",State Representative,11,,185
Henderson,Precinct C110,,Ballots Cast,,,216
Henderson,Precinct C110,,Straight Party,,REP,46
Henderson,Precinct C110,,Straight Party,,DEM,31
Henderson,Precinct C110,James R. Comer,U.S. House,1,,140
Henderson,Precinct C110,Paul Walker,U.S. House,1,,68
Henderson,Precinct C110,"Robert M ""Robby"" Mills",State Senate,4,,111
Henderson,Precinct C110,J Dorsey Ridley,State Senate,4,,103
Henderson,Precinct C110,Suzanne Miles,State Representative,7,,136
Henderson,Precinct C110,Joy Gray,State Representative,7,,75
Henderson,Precinct C111A,,Ballots Cast,,,255
Henderson,Precinct C111A,,Straight Party,,REP,56
Henderson,Precinct C111A,,Straight Party,,DEM,53
Henderson,Precinct C111A,James R. Comer,U.S. House,1,,138
Henderson,Precinct C111A,Paul Walker,U.S. House,1,,110
Henderson,Precinct C111A,"Robert M ""Robby"" Mills",State Senate,4,,108
Henderson,Precinct C111A,J Dorsey Ridley,State Senate,4,,144
Henderson,Precinct C111A,James Buckmaster,State Representative,11,,112
Henderson,Precinct C111A,"Robert ""Rob"" Wiederstein",State Representative,11,,140
Henderson,Precinct D101A,,Ballots Cast,,,338
Henderson,Precinct D101A,,Straight Party,,REP,35
Henderson,Precinct D101A,,Straight Party,,DEM,89
Henderson,Precinct D101A,James R. Comer,U.S. House,1,,145
Henderson,Precinct D101A,Paul Walker,U.S. House,1,,187
