county,precinct,precinct_name,registered_voters,reg_dem_voters,reg_rep_voters,reg_other_voters,reg_ind_voters,reg_lib_voters,reg_grn_voters,reg_const_voters,reg_reform_voters,reg_socwk_voters,reg_male_voters,reg_female_voters
Adair,A102,WHITE OAK,495,67,391,12,23,2,0,0,0,0,237,258
Adair,A104,EUNICE PELLYTON,759,95,602,26,32,4,0,0,0,0,391,368
Adair,A105,LITTLE CAKE,584,73,470,17,23,1,0,0,0,0,287,297
Adair,B102,E. COLUMBIA,904,234,592,40,36,0,1,0,0,1,404,500
Adair,B104,OZARK,722,115,550,27,22,7,1,0,0,0,353,368
Adair,C102,SOUTH COLUMBIA HARMONY,936,219,634,35,42,4,0,2,0,0,464,472
Adair,C104,GLENSFORK MELSON RIDGE,1105,230,804,34,33,3,1,0,0,0,519,585
Adair,D101,GRADYVILLE NELL,715,94,558,32,29,1,1,0,0,0,381,334
Adair,D103,SPARKSVILLE BREEDING,806,125,575,57,45,2,0,2,0,0,411,393
Adair,D104,SOUTH COLUMBIA NO. 2,837,257,515,29,30,4,0,1,0,1,371,465
Adair,E101,MILLTOWN,830,123,652,21,28,6,0,0,0,0,422,407
Adair,E104,WEST COLUMBIA,1228,331,782,54,52,6,3,0,0,0,525,700
Adair,F101,CANE VALLEY HOLMES,1323,322,904,46,48,1,0,1,1,0,665,658
Adair,F103,KNIFLEY ROLEY,849,204,583,28,31,1,1,1,0,0,445,404
Adair,G101,NORTH COLUMBIA,1008,235,707,31,32,1,1,1,0,0,472,536
Adair,G102,HURT,1082,188,843,23,26,2,0,0,0,0,518,564
Allen,A101,ONE,1413,388,882,91,46,4,1,0,0,1,612,801
Allen,A102,FOUR,1274,275,897,59,35,4,0,2,0,2,616,658
Allen,B101,TWO,1180,267,832,49,26,4,2,0,0,0,566,614
Allen,B102,FIVE,1284,287,870,75,45,5,2,0,0,0,627,657
Allen,B103,NINE,537,120,374,30,12,1,0,0,0,0,268,268
Allen,C101,THREE,1592,433,1025,74,49,8,2,1,0,0,687,905
Allen,C102,SIX,1717,385,1207,75,41,7,1,1,0,0,838,877
