county,precinct,precinct_name,registered_dems,registered_reps,registered_other,registered_males,registered_females,registered_total
ADAIR,A102,WHITE OAK,78,372,11,232,229,461
ADAIR,A104,EUNICE-PELLYTON,128,516,46,338,352,690
ADAIR,A105,LITTLE CAKE,75,437,25,269,268,537
ADAIR,B102,E. COLUMBIA,445,794,94,594,739,1333
ADAIR,B104,OZARK,179,482,40,341,360,701
ADAIR,C102,SOUTH COLUMBIA-HARMONY,287,482,40,373,436,809
ADAIR,C104,GLENSFORK-MELSON RIDGE,288,531,27,406,440,846
ADAIR,D101,GRADYVILLE-NELL,129,400,36,295,270,565
ADAIR,D103,SPARKSVILLE-BREEDING,193,530,59,396,386,782
ADAIR,D104,SOUTH COLUMBIA # 2,237,340,29,268,338,606
ADAIR,E101,MILLTOWN,167,509,30,347,359,706
ADAIR,E104,WEST COLUMBIA,331,603,43,420,556,977
ADAIR,F101,CANE VALLEY-HOLMES,447,719,50,626,590,1216
ADAIR,F103,KNIFLEY-ROLEY,237,410,35,353,329,682
ADAIR,G101,NORTH COLUMBIA,138,364,29,234,297,531
ADAIR,G102,HURT,372,909,39,651,669,1320
ALLEN,A101,ONE,521,831,108,648,812,1460
ALLEN,A102,FOUR,269,496,54,405,414,819
ALLEN,B101,TWO,436,803,72,635,676,1311
ALLEN,B102,FIVE,235,501,39,381,394,775
ALLEN,B103,NINE,216,281,33,258,272,530
ALLEN,C101,THREE,541,878,71,668,822,1490
ALLEN,C102,SIX,441,819,46,617,689,1306
ALLEN,D101,SEVEN,453,804,93,663,687,1350
ALLEN,D102,EIGHT,223,344,38,305,300,605
ALLEN,D103,THIRTEEN,435,553,52,507,533,1040
ALLEN,E101,TEN,260,421,57,368,370,738
ALLEN,E102,ELEVEN,454,639,102,589,606,1195
ALLEN,E103,TWELVE,214,355,44,290,323,613
ANDERSON,A101,EAST LAWRENCEBURG,667,295,63,497,528,1025
ANDERSON,A102,DUNCAN,946,478,110,701,833,1534
ANDERSON,B101,WEST LAWRENCEBURG,942,502,79,723,799,1523
ANDERSON,B102,WEST DUNCAN,1236,698,103,945,1092,2037
ANDERSON,C101,LILLARD,787,356,64,541,666,1207
ANDERSON,C102,WITHERSPOON,667,361,65,478,615,1093
ANDERSON,D101,MCBRAYER,737,372,65,576,598,1174
ANDERSON,D102,S LILLARD,801,449,89,600,739,1339
ANDERSON,E101,ALTON,900,442,93,712,723,1435
ANDERSON,E103,WEST ALTON,793,433,60,642,644,1286
ANDERSON,F101,HICKORY GR,618,301,82,509,492,1001
ANDERSON,F102,WESTERN,391,186,38,319,296,615
ANDERSON,F103,RUTHERFORD,307,116,19,228,214,442
ANDERSON,F104,BIRDIE,459,211,55,367,358,725
BALLARD,A101,BANDANA,305,80,10,196,199,395
BALLARD,A102,KEVIL,639,235,46,443,477,920
BALLARD,A103,INGLESIDE,123,25,8,74,82,156
BALLARD,B101,LA CENTER,684,147,28,381,478,859
BALLARD,B102,OSCAR,183,29,5,114,103,217
BALLARD,C101,HINKLEVILLE,211,55,9,137,138,275
BALLARD,C102,GAGE,271,81,11,179,184,363
BALLARD,C103,LOVELACEVILLE,181,43,8,116,116,232
BALLARD,C104,BLANDVILLE,330,71,23,205,219,424
BALLARD,D101,BARLOW,670,139,34,393,449,843
BALLARD,D102,SLATER,274,49,10,170,163,333
BALLARD,E101,N. WICKLIFFE,543,116,27,316,370,686
BALLARD,E102,S. WICKLIFFE,324,63,13,197,203,400
BARREN,A101,GLASGOW #1,596,378,47,460,561,1021
BARREN,A102,GLASGOW #2,653,324,78,466,589,1055
BARREN,A103,GLASGOW #3,810,423,108,582,759,1341
BARREN,B101,HAYWOOD WEST,717,497,53,591,676,1267
BARREN,B102,HAYWOOD EAST,649,424,61,549,585,1134
BARREN,B103,THOMERSON PARK,363,267,36,322,344,666
BARREN,B104,AUSTIN,640,387,60,524,563,1087
BARREN,C101,EASTERN,399,316,33,364,384,748
BARREN,C102,GREEN VALLEY,518,433,51,498,504,1002
BARREN,C103,EIGHTY EIGHT,495,436,54,489,496,985
BARREN,C104,TEMPLE HILL,543,483,40,536,530,1066
BARREN,D101,HISEVILLE-GOODNIGHT,677,396,65,557,581,1138
BARREN,D102,GLASGOW MIDDLE SCHOOL,962,678,79,846,873,1719
BARREN,D103,GLASGOW HIGH SCHOOL,848,540,64,623,829,1452
BARREN,E101,BORDERS MONUMENT EAST,581,396,41,466,552,1018
BARREN,E102,BORDERS MONUMENT WEST,408,262,40,329,381,710
BARREN,E103,BECKTON,624,412,63,534,565,1099
BARREN,E104,RED CROSS,795,424,73,626,666,1292
BARREN,F101,CAVE CITY NORTH,842,271,60,547,626,1173
BARREN,F102,CAVE CITY SOUTH,937,406,96,659,780,1439
BARREN,F103,PARK CITY,1150,511,119,872,907,1780
BARREN,G101,GLASGOW #4,1148,783,132,931,1132,2063
BARREN,G102,GLASGOW #5,576,359,65,450,550,1000
BARREN,G103,GLASGOW #6,710,378,62,515,635,1150
BATH,A101,SHARPSBURG NO. 1,310,56,14,189,191,380
BATH,A102,SHARPSBURG NO. 2,391,70,17,227,251,478
BATH,A103,BETHEL,339,35,12,184,202,386
BATH,A104,SOUTH SHERBURNE,214,44,7,138,127,265
BATH,B101,OWINGSVILLE NO. 1,962,173,40,562,613,1175
BATH,B102,OWINGSVILLE NO. 2,630,103,29,371,391,762
BATH,B103,OWINGSVILLE NO. 3,1259,197,48,715,789,1504
BATH,C101,SALT LICK NO. 1,719,134,34,431,456,887
BATH,C102,SALT LICK NO. 2,793,103,34,451,479,930
BATH,C103,WHITE SULPHUR,483,59,17,286,273,559
BATH,C104,OLYMPIA,472,52,18,268,274,542
BATH,C105,PRESTON,718,124,38,433,447,880
BELL,A101,LAUREL A,364,391,31,371,415,786
BELL,A102,MATHEL,156,95,4,122,133,255
BELL,A103,BLACKMONT,295,129,6,223,207,430
BELL,A104,BROWNIES CREEK,213,307,8,249,279,528
BELL,A105,PAGE,436,496,23,462,493,955
BELL,A106,HUTCH,189,312,23,258,266,524
BELL,A107,MELDRUM,414,450,44,414,494,908
BELL,B101,PINEVILLE 1A-4D,216,166,8,169,221,390
BELL,B102,PINEVILLE 2B,141,212,4,170,187,357
BELL,B103,STRAIGHT CREEK,316,201,9,249,277,526
BELL,B104,ARJAY,519,262,10,404,387,791
BELL,B105,DORTON BRANCH,193,173,11,194,183,377
BELL,B106,BEVERLY,30,69,6,46,59,105
BELL,B107,RIGHT FORK,259,529,22,403,407,810
BELL,C101,BINGHAMTOWN,348,406,36,368,422,790
BELL,C102,DORCHESTER,270,281,35,256,330,586
BELL,C103,NOETOWN,355,327,37,324,395,719
BELL,C104,JUNCTION,495,461,64,417,603,1020
BELL,C105,EDGEWOOD,579,602,79,612,648,1260
BELL,D101,CITY HALL,219,256,28,245,258,503
