county,precinct,office,district,party,candidate,votes,early_voting,election_day,absentee
Lee,A101,Governor,,REP,Eric DETERS,6,0,5,1
Lee,A101,Governor,,REP,Bob DeVORE,0,0,0,0
Lee,A101,Governor,,REP,Mike HARMON,3,0,3,0
Lee,A101,Governor,,REP,Alan KECK,1,0,1,0
Lee,A101,Governor,,REP,Dennis Ray ORMEROD,0,0,0,0
Lee,A101,Governor,,REP,Ryan QUARLES,16,5,8,3
Lee,A101,Governor,,REP,Johnny Ray RICE,0,0,0,0
Lee,A101,Governor,,REP,Robbie C. SMITH,0,0,0,0
Lee,A101,Governor,,REP,Daniel CAMERON,15,2,13,0
Lee,A101,Governor,,REP,Jacob CLARK,0,0,0,0
Lee,A101,Governor,,REP,David O. COOPER,0,0,0,0
Lee,A101,Governor,,REP,Kelly CRAFT,14,1,11,2
Lee,A101,Governor,,REP,Total Votes,60,8,46,6
Lee,A101,Secretary of State,,REP,Stephen L. KNIPPER,7,1,6,0
Lee,A101,Secretary of State,,REP,Allen MARICLE,3,0,3,0
Lee,A101,Secretary of State,,REP,Michael ADAMS,38,7,25,6
Lee,A101,Secretary of State,,REP,Total Votes,60,8,46,6
Lee,A101,Auditor of Public Accounts,,REP,Allison BALL,39,7,26,6
Lee,A101,Auditor of Public Accounts,,REP,Derek PETTEYS,10,1,9,0
Lee,A101,Auditor of Public Accounts,,REP,Total Votes,60,8,46,6
Lee,A101,State Treasurer,,REP,Mark H. METCALF,30,6,19,5
Lee,A101,State Treasurer,,REP,"O. C. ""OJ"" OLEKA",5,2,3,0
Lee,A101,State Treasurer,,REP,Andrew COOPERRIDER,13,0,12,1
Lee,A101,State Treasurer,,REP,Total Votes,60,8,46,6
Lee,A101,Commissioner of Agriculture,,REP,Richard HEATH,23,3,15,5
Lee,A101,Commissioner of Agriculture,,REP,Jonathan SHELL,23,5,17,1
Lee,A101,Commissioner of Agriculture,,REP,Total Votes,60,8,46,6
Lee,A101,Governor,,DEM,Peppy MARTIN,0,0,0,0
Lee,A101,Governor,,DEM,"Geoffrey M. ""Geoff"" YOUNG",1,0,1,0
Lee,A101,Governor,,DEM,Andy BESHEAR,14,2,11,1
Lee,A101,Governor,,DEM,Total Votes,15,2,12,1
Lee,A101,Commissioner of Agriculture,,DEM,Sierra J. ENLOW,4,1,3,0
Lee,A101,Commissioner of Agriculture,,DEM,Mikael MALONE,11,1,9,1
Lee,A101,Commissioner of Agriculture,,DEM,Total Votes,15,2,12,1
Lee,A102,Governor,,REP,Eric DETERS,3,0,3,0
Lee,A102,Governor,,REP,Bob DeVORE,0,0,0,0
Lee,A102,Governor,,REP,Mike HARMON,1,1,0,0
Lee,A102,Governor,,REP,Alan KECK,0,0,0,0
Lee,A102,Governor,,REP,Dennis Ray ORMEROD,0,0,0,0
Lee,A102,Governor,,REP,Ryan QUARLES,9,0,9,0
Lee,A102,Governor,,REP,Johnny Ray RICE,0,0,0,0
Lee,A102,Governor,,REP,Robbie C. SMITH,0,0,0,0
Lee,A102,Governor,,REP,Daniel CAMERON,18,2,16,0
Lee,A102,Governor,,REP,Jacob CLARK,1,1,0,0
Lee,A102,Governor,,REP,David O. COOPER,0,0,0,0
Lee,A102,Governor,,REP,Kelly CRAFT,7,0,7,0
Lee,A102,Governor,,REP,Total Votes,39,4,35,0
Lee,A102,Secretary of State,,REP,Stephen L. KNIPPER,3,0,3,0
Lee,A102,Secretary of State,,REP,Allen MARICLE,4,1,3,0
Lee,A102,Secretary of State,,REP,Michael ADAMS,29,3,26,0
Lee,A102,Secretary of State,,REP,Total Votes,39,4,35,0
Lee,A102,Auditor of Public Accounts,,REP,Allison BALL,25,2,23,0
Lee,A102,Auditor of Public Accounts,,REP,Derek PETTEYS,10,2,8,0
Lee,A102,Auditor of Public Accounts,,REP,Total Votes,39,4,35,0
Lee,A102,State Treasurer,,REP,Mark H. METCALF,18,3,15,0
Lee,A102,State Treasurer,,REP,"O. C. ""OJ"" OLEKA",8,0,8,0
Lee,A102,State Treasurer,,REP,Andrew COOPERRIDER,9,1,8,0
Lee,A102,State Treasurer,,REP,Total Votes,39,4,35,0
