county,precinct,office,district,party,candidate,votes,early_voting,election_day,absentee
Mccracken,A104,State Treasurer,,REP,Andrew COOPERRIDER,5,0,5,0
Mccracken,A104,State Treasurer,,REP,Mark H. METCALF,2,0,2,0
Mccracken,A104,State Treasurer,,REP,"O. C. ""OJ"" OLEKA",2,0,2,0
Mccracken,A104,State Treasurer,,REP,Total Votes Cast,9,0,9,0
Mccracken,A104,State Treasurer,,REP,Under Votes,2,0,2,0
Mccracken,A104,State Treasurer,,REP,Over Votes,0,0,0,0
Mccracken,A104,Commissioner of Agriculture,,REP,Richard HEATH,6,0,6,0
Mccracken,A104,Commissioner of Agriculture,,REP,Jonathan SHELL,2,0,2,0
Mccracken,A104,Commissioner of Agriculture,,REP,Total Votes Cast,8,0,8,0
Mccracken,A104,Commissioner of Agriculture,,REP,Under Votes,3,0,3,0
Mccracken,A104,Commissioner of Agriculture,,REP,Over Votes,0,0,0,0
Mccracken,A104,Governor,,DEM,Andy BESHEAR,19,3,16,0
Mccracken,A104,Governor,,DEM,Peppy MARTIN,1,0,1,0
Mccracken,A104,Governor,,DEM,"Geoffrey M. ""Geoff"" YOUNG",1,0,1,0
Mccracken,A104,Governor,,DEM,Total Votes Cast,21,3,18,0
Mccracken,A104,Governor,,DEM,Under Votes,0,0,0,0
Mccracken,A104,Governor,,DEM,Over Votes,0,0,0,0
Mccracken,A104,Commissioner of Agriculture,,DEM,Sierra J. ENLOW,14,1,13,0
Mccracken,A104,Commissioner of Agriculture,,DEM,Mikael MALONE,3,2,1,0
Mccracken,A104,Commissioner of Agriculture,,DEM,Total Votes Cast,17,3,14,0
Mccracken,A104,Commissioner of Agriculture,,DEM,Under Votes,4,0,4,0
Mccracken,A104,Commissioner of Agriculture,,DEM,Over Votes,0,0,0,0
Mccracken,A106,Governor,,REP,Daniel CAMERON,12,2,10,0
Mccracken,A106,Governor,,REP,Jacob CLARK,0,0,0,0
Mccracken,A106,Governor,,REP,David O. COOPER,0,0,0,0
Mccracken,A106,Governor,,REP,Kelly CRAFT,1,0,1,0
Mccracken,A106,Governor,,REP,Eric DETERS,1,0,1,0
Mccracken,A106,Governor,,REP,Bob DeVORE,0,0,0,0
Mccracken,A106,Governor,,REP,Mike HARMON,0,0,0,0
Mccracken,A106,Governor,,REP,Alan KECK,0,0,0,0
Mccracken,A106,Governor,,REP,Dennis Ray ORMEROD,0,0,0,0
Mccracken,A106,Governor,,REP,Ryan QUARLES,2,0,2,0
Mccracken,A106,Governor,,REP,Johnny Ray RICE,1,0,1,0
Mccracken,A106,Governor,,REP,Robbie C. SMITH,0,0,0,0
Mccracken,A106,Governor,,REP,Total Votes Cast,17,2,15,0
Mccracken,A106,Governor,,REP,Under Votes,0,0,0,0
Mccracken,A106,Governor,,REP,Over Votes,0,0,0,0
Mccracken,A106,Secretary of State,,REP,Michael ADAMS,11,2,9,0
Mccracken,A106,Secretary of State,,REP,Stephen L. KNIPPER,2,0,2,0
Mccracken,A106,Secretary of State,,REP,Allen MARICLE,1,0,1,0
Mccracken,A106,Secretary of State,,REP,Total Votes Cast,14,2,12,0
Mccracken,A106,Secretary of State,,REP,Under Votes,3,0,3,0
Mccracken,A106,Secretary of State,,REP,Over Votes,0,0,0,0
Mccracken,A106,Auditor of Public Accounts,,REP,Allison BALL,12,1,11,0
Mccracken,A106,Auditor of Public Accounts,,REP,Derek PETTEYS,2,0,2,0
Mccracken,A106,Auditor of Public Accounts,,REP,Total Votes Cast,14,1,13,0
Mccracken,A106,Auditor of Public Accounts,,REP,Under Votes,3,1,2,0
Mccracken,A106,Auditor of Public Accounts,,REP,Over Votes,0,0,0,0
Mccracken,A106,State Treasurer,,REP,Andrew COOPERRIDER,5,0,5,0
Mccracken,A106,State Treasurer,,REP,Mark H. METCALF,5,1,4,0
Mccracken,A106,State Treasurer,,REP,"O. C. ""OJ"" OLEKA",4,0,4,0
Mccracken,A106,State Treasurer,,REP,Total Votes Cast,14,1,13,0
Mccracken,A106,State Treasurer,,REP,Under Votes,3,1,2,0
Mccracken,A106,State Treasurer,,REP,Over Votes,0,0,0,0
Mccracken,A106,Commissioner of Agriculture,,REP,Richard HEATH,11,1,10,0
Mccracken,A106,Commissioner of Agriculture,,REP,Jonathan SHELL,2,0,2,0
Mccracken,A106,Commissioner of Agriculture,,REP,Total Votes Cast,13,1,12,0
Mccracken,A106,Commissioner of Agriculture,,REP,Under Votes,4,1,3,0
Mccracken,A106,Commissioner of Agriculture,,REP,Over Votes,0,0,0,0
Mccracken,A106,Governor,,DEM,Andy BESHEAR,13,1,10,2
Mccracken,A106,Governor,,DEM,Peppy MARTIN,0,0,0,0
Mccracken,A106,Governor,,DEM,"Geoffrey M. ""Geoff"" YOUNG",1,0,1,0
Mccracken,A106,Governor,,DEM,Total Votes Cast,14,1,11,2
Mccracken,A106,Governor,,DEM,Under Votes,1,0,1,0
Mccracken,A106,Governor,,DEM,Over Votes,0,0,0,0
Mccracken,A106,Commissioner of Agriculture,,DEM,Sierra J. ENLOW,10,0,8,2
Mccracken,A106,Commissioner of Agriculture,,DEM,Mikael MALONE,3,1,2,0
Mccracken,A106,Commissioner of Agriculture,,DEM,Total Votes Cast,13,1,10,2
Mccracken,A106,Commissioner of Agriculture,,DEM,Under Votes,2,0,2,0
Mccracken,A106,Commissioner of Agriculture,,DEM,Over Votes,0,0,0,0
Mccracken,A110,Governor,,REP,Daniel CAMERON,65,5,59,1
Mccracken,A110,Governor,,REP,Jacob CLARK,0,0,0,0
Mccracken,A110,Governor,,REP,David O. COOPER,0,0,0,0
Mccracken,A110,Governor,,REP,Kelly CRAFT,15,0,15,0
Mccracken,A110,Governor,,REP,Eric DETERS,5,0,5,0
Mccracken,A110,Governor,,REP,Bob DeVORE,0,0,0,0
Mccracken,A110,Governor,,REP,Mike HARMON,1,0,1,0
Mccracken,A110,Governor,,REP,Alan KECK,0,0,0,0
Mccracken,A110,Governor,,REP,Dennis Ray ORMEROD,0,0,0,0
Mccracken,A110,Governor,,REP,Ryan QUARLES,24,1,23,0
Mccracken,A110,Governor,,REP,Johnny Ray RICE,0,0,0,0
Mccracken,A110,Governor,,REP,Robbie C. SMITH,0,0,0,0
Mccracken,A110,Governor,,REP,Total Votes Cast,110,6,103,1
Mccracken,A110,Governor,,REP,Under Votes,0,0,0,0
Mccracken,A110,Governor,,REP,Over Votes,0,0,0,0
Mccracken,A110,Secretary of State,,REP,Michael ADAMS,79,5,73,1
Mccracken,A110,Secretary of State,,REP,Stephen L. KNIPPER,19,0,19,0
Mccracken,A110,Secretary of State,,REP,Allen MARICLE,5,1,4,0
Mccracken,A110,Secretary of State,,REP,Total Votes Cast,103,6,96,1
Mccracken,A110,Secretary of State,,REP,Under Votes,7,0,7,0
Mccracken,A110,Secretary of State,,REP,Over Votes,0,0,0,0
