county,precinct,total_reg,total_voted,dems_reg,dems_voted,reps_reg,reps_voted,other_reg,other_voted
ADAIR,A102,434,81,75,7,347,74,12,0
ADAIR,A104,735,86,132,4,564,82,39,0
ADAIR,A105,568,98,74,5,465,92,29,1
ADAIR,B102,1015,147,323,34,607,113,85,0
ADAIR,B104,712,130,188,25,478,105,46,0
ADAIR,C102,869,120,287,30,543,90,39,0
ADAIR,C104,923,147,297,36,593,111,33,0
ADAIR,D101,620,122,146,12,427,110,47,0
ADAIR,D103,607,86,148,21,403,65,56,0
ADAIR,D104,681,117,235,33,409,84,37,0
ADAIR,E101,792,149,187,20,568,129,37,0
ADAIR,E104,1231,187,417,47,754,140,60,0
ADAIR,F101,1155,199,428,49,681,150,46,0
ADAIR,F103,746,97,243,23,456,74,47,0
ADAIR,G101,1022,201,278,48,693,153,51,0
ADAIR,G102,1055,231,270,53,734,178,51,0
ALLEN,A101,1559,146,530,38,905,108,124,0
ALLEN,A102,1193,116,373,20,740,96,80,0
ALLEN,B101,1103,129,352,38,675,91,76,0
ALLEN,B102,1041,103,329,13,653,90,59,0
ALLEN,B103,526,73,195,27,293,46,38,0
ALLEN,C101,1553,206,542,65,930,141,81,0
ALLEN,C102,1419,164,487,30,873,134,59,0
ALLEN,D101,1482,195,464,27,914,168,104,0
ALLEN,D102,621,102,220,25,359,77,42,0
ALLEN,D103,1093,156,435,49,580,107,78,0
ALLEN,E101,547,48,183,9,320,38,44,1
ALLEN,E102,1265,90,479,28,675,62,111,0
ALLEN,E103,638,76,213,15,379,61,46,0
ANDERSON,A101,1088,202,665,127,355,74,68,1
ANDERSON,A102,1436,186,849,117,472,69,115,0
ANDERSON,B101,1106,289,633,152,415,137,58,0
ANDERSON,B102,1879,391,1084,235,682,156,113,0
ANDERSON,C101,1187,263,731,160,379,103,77,0
ANDERSON,C102,1574,232,939,134,522,98,113,0
ANDERSON,D101,1120,202,644,95,408,107,68,0
ANDERSON,D102,1565,319,900,196,543,123,122,0
ANDERSON,E101,2029,510,1194,297,715,213,120,0
ANDERSON,E103,1049,261,597,143,401,117,51,1
ANDERSON,F101,932,189,535,114,328,75,69,0
ANDERSON,F102,708,111,425,63,226,48,57,0
ANDERSON,F103,488,69,316,48,140,21,32,0
ANDERSON,F104,1051,209,624,129,338,80,89,0
