county,precinct,office,district,party,candidate,absentee_mail,absentee_person,eslate,escan,votes
Owsley,Absentee,President,,REP,Donald J. Trump,60,104,,,164
Owsley,Cow Creek,President,,REP,Donald J. Trump,,,0,128,128
Owsley,South Booneville,President,,REP,Donald J. Trump,,,0,225,225
Owsley,Indian Creek,President,,REP,Donald J. Trump,,,14,96,110
Owsley,Island Creek,President,,REP,Donald J. Trump,,,0,79,79
Owsley,Sturgeon,President,,REP,Donald J. Trump,,,0,214,214
Owsley,Elk Lick,President,,REP,Donald J. Trump,,,70,153,223
Owsley,North Booneville,President,,REP,Donald J. Trump,,,0,213,213
Owsley,North Booneville East,President,,REP,Donald J. Trump,,,36,82,118
Owsley,Total,President,,REP,Donald J. Trump,,,120,1190,1474
Owsley,Absentee,President,,DEM,Hillary Clinton,16,12,,,28
Owsley,Cow Creek,President,,DEM,Hillary Clinton,,,0,25,25
Owsley,South Booneville,President,,DEM,Hillary Clinton,,,0,45,45
Owsley,Indian Creek,President,,DEM,Hillary Clinton,,,1,14,15
Owsley,Island Creek,President,,DEM,Hillary Clinton,,,0,11,11
Owsley,Sturgeon,President,,DEM,Hillary Clinton,,,0,22,22
Owsley,Elk Lick,President,,DEM,Hillary Clinton,,,14,21,35
Owsley,North Booneville,President,,DEM,Hillary Clinton,,,0,51,51
Owsley,North Booneville East,President,,DEM,Hillary Clinton,,,7,17,24
Owsley,Total,President,,DEM,Hillary Clinton,,,22,206,256
Owsley,Absentee,President,,LIB,Gary Johnson,3,0,,,3
Owsley,Cow Creek,President,,LIB,Gary Johnson,,,0,2,2
Owsley,South Booneville,President,,LIB,Gary Johnson,,,0,1,1
Owsley,Indian Creek,President,,LIB,Gary Johnson,,,1,3,4
Owsley,Island Creek,President,,LIB,Gary Johnson,,,0,2,2
Owsley,Sturgeon,President,,LIB,Gary Johnson,,,0,2,2
Owsley,Elk Lick,President,,LIB,Gary Johnson,,,3,3,6
Owsley,North Booneville,President,,LIB,Gary Johnson,,,0,3,3
Owsley,North Booneville East,President,,LIB,Gary Johnson,,,0,1,1
Owsley,Total,President,,LIB,Gary Johnson,,,4,17,24
Owsley,Absentee,President,,ADP,Rocky De La Fuente,0,0,,,0
Owsley,Cow Creek,President,,ADP,Rocky De La Fuente,,,0,0,0
Owsley,South Booneville,President,,ADP,Rocky De La Fuente,,,0,0,0
Owsley,Indian Creek,President,,ADP,Rocky De La Fuente,,,0,1,1
Owsley,Island Creek,President,,ADP,Rocky De La Fuente,,,0,0,0
Owsley,Sturgeon,President,,ADP,Rocky De La Fuente,,,0,0,0
Owsley,Elk Lick,President,,ADP,Rocky De La Fuente,,,1,0,1
Owsley,North Booneville,President,,ADP,Rocky De La Fuente,,,0,0,0
Owsley,North Booneville East,President,,ADP,Rocky De La Fuente,,,0,0,0
Owsley,Total,President,,ADP,Rocky De La Fuente,,,1,1,2
Owsley,Absentee,President,,GRN,Jill Stein,0,0,,,0
Owsley,Cow Creek,President,,GRN,Jill Stein,,,0,0,0
Owsley,South Booneville,President,,GRN,Jill Stein,,,0,0,0
Owsley,Indian Creek,President,,GRN,Jill Stein,,,0,0,0
Owsley,Island Creek,President,,GRN,Jill Stein,,,0,0,0
Owsley,Sturgeon,President,,GRN,Jill Stein,,,0,0,0
Owsley,Elk Lick,President,,GRN,Jill Stein,,,0,0,0
Owsley,North Booneville,President,,GRN,Jill Stein,,,0,0,0
Owsley,North Booneville East,President,,GRN,Jill Stein,,,0,0,0
Owsley,Total,President,,GRN,Jill Stein,,,0,0,0
Owsley,Absentee,President,,,Evan McMullin,0,1,,,1
Owsley,Cow Creek,President,,,Evan McMullin,,,0,0,0
Owsley,South Booneville,President,,,Evan McMullin,,,0,0,0
Owsley,Indian Creek,President,,,Evan McMullin,,,0,0,0
Owsley,Island Creek,President,,,Evan McMullin,,,0,1,1
Owsley,Sturgeon,President,,,Evan McMullin,,,0,0,0
Owsley,Elk Lick,President,,,Evan McMullin,,,0,0,0
Owsley,North Booneville,President,,,Evan McMullin,,,0,1,1
Owsley,North Booneville East,President,,,Evan McMullin,,,0,0,0
Owsley,Total,President,,,Evan McMullin,,,0,2,3
Owsley,Absentee,U.S. Senate,,REP,Rand Paul,51,79,,,130
