precinct,candidate,votes,county,office,district,party
B124,Kevin Bratcher,493,Jefferson,State Representative,29,REP
B132,Kevin Bratcher,644,Jefferson,State Representative,29,REP
B133,Kevin Bratcher,692,Jefferson,State Representative,29,REP
B134,Kevin Bratcher,961,Jefferson,State Representative,29,REP
B149,Kevin Bratcher,427,Jefferson,State Representative,29,REP
B151,Kevin Bratcher,783,Jefferson,State Representative,29,REP
B153,Kevin Bratcher,39,Jefferson,State Representative,29,REP
B154,Kevin Bratcher,520,Jefferson,State Representative,29,REP
B155,Kevin Bratcher,370,Jefferson,State Representative,29,REP
B156,Kevin Bratcher,693,Jefferson,State Representative,29,REP
B157,Kevin Bratcher,921,Jefferson,State Representative,29,REP
B158,Kevin Bratcher,723,Jefferson,State Representative,29,REP
B159,Kevin Bratcher,1085,Jefferson,State Representative,29,REP
B160,Kevin Bratcher,391,Jefferson,State Representative,29,REP
B161,Kevin Bratcher,64,Jefferson,State Representative,29,REP
B162,Kevin Bratcher,748,Jefferson,State Representative,29,REP
B163,Kevin Bratcher,652,Jefferson,State Representative,29,REP
B166,Kevin Bratcher,398,Jefferson,State Representative,29,REP
B168,Kevin Bratcher,641,Jefferson,State Representative,29,REP
B169,Kevin Bratcher,477,Jefferson,State Representative,29,REP
B170,Kevin Bratcher,434,Jefferson,State Representative,29,REP
B172,Kevin Bratcher,919,Jefferson,State Representative,29,REP
B173,Kevin Bratcher,661,Jefferson,State Representative,29,REP
B175,Kevin Bratcher,616,Jefferson,State Representative,29,REP
B177,Kevin Bratcher,692,Jefferson,State Representative,29,REP
B181 - JEF,Kevin Bratcher,79,Jefferson,State Representative,29,REP
B182,Kevin Bratcher,398,Jefferson,State Representative,29,REP
B183,Kevin Bratcher,964,Jefferson,State Representative,29,REP
B184,Kevin Bratcher,14,Jefferson,State Representative,29,REP
B185,Kevin Bratcher,229,Jefferson,State Representative,29,REP
WALK-IN 3RD A-D,Kevin Bratcher,599,Jefferson,State Representative,29,REP
MAIL-IN 3RD A-D,Kevin Bratcher,206,Jefferson,State Representative,29,REP
WALK-IN 4TH,Kevin Bratcher,2,Jefferson,State Representative,29,REP
MAIL-IN 4TH,Kevin Bratcher,0,Jefferson,State Representative,29,REP
B124,Write-In,15,Jefferson,State Representative,29,NA
B132,Write-In,5,Jefferson,State Representative,29,NA
B133,Write-In,19,Jefferson,State Representative,29,NA
B134,Write-In,31,Jefferson,State Representative,29,NA
B149,Write-In,18,Jefferson,State Representative,29,NA
B151,Write-In,22,Jefferson,State Representative,29,NA
B153,Write-In,1,Jefferson,State Representative,29,NA
B154,Write-In,15,Jefferson,State Representative,29,NA
B155,Write-In,23,Jefferson,State Representative,29,NA
B156,Write-In,38,Jefferson,State Representative,29,NA
B157,Write-In,50,Jefferson,State Representative,29,NA
B158,Write-In,11,Jefferson,State Representative,29,NA
B159,Write-In,32,Jefferson,State Representative,29,NA
B160,Write-In,14,Jefferson,State Representative,29,NA
B161,Write-In,1,Jefferson,State Representative,29,NA
B162,Write-In,15,Jefferson,State Representative,29,NA
B163,Write-In,31,Jefferson,State Representative,29,NA
B166,Write-In,12,Jefferson,State Representative,29,NA
B168,Write-In,31,Jefferson,State Representative,29,NA
B169,Write-In,10,Jefferson,State Representative,29,NA
B170,Write-In,7,Jefferson,State Representative,29,NA
B172,Write-In,31,Jefferson,State Representative,29,NA
B173,Write-In,20,Jefferson,State Representative,29,NA
B175,Write-In,12,Jefferson,State Representative,29,NA
B177,Write-In,13,Jefferson,State Representative,29,NA
B181 - JEF,Write-In,1,Jefferson,State Representative,29,NA
B182,Write-In,9,Jefferson,State Representative,29,NA
B183,Write-In,27,Jefferson,State Representative,29,NA
B184,Write-In,0,Jefferson,State Representative,29,NA
B185,Write-In,4,Jefferson,State Representative,29,NA
WALK-IN 3RD A-D,Write-In,14,Jefferson,State Representative,29,NA
MAIL-IN 3RD A-D,Write-In,9,Jefferson,State Representative,29,NA
WALK-IN 4TH,Write-In,0,Jefferson,State Representative,29,NA
MAIL-IN 4TH,Write-In,0,Jefferson,State Representative,29,NA
C101,Waymen Eddings,80,Jefferson,State Representative,30,REP
C102,Waymen Eddings,96,Jefferson,State Representative,30,REP
C103,Waymen Eddings,118,Jefferson,State Representative,30,REP
C104,Waymen Eddings,79,Jefferson,State Representative,30,REP
C105,Waymen Eddings,9,Jefferson,State Representative,30,REP
