county,precinct,office,district,candidate,party,votes,eslate,escan
Robertson,A101 Mt. Olivet,President,,Donald Trump,REP,144,83,61
Robertson,B101 Pinhook,President,,Donald Trump,REP,117,78,39
Robertson,C101 Kentontown,President,,Donald Trump,REP,124,89,35
Robertson,D101 Burika,President,,Donald Trump,REP,158,77,81
Robertson,E101 Mt. Olivet,President,,Donald Trump,REP,168,99,69
Robertson,Absentee,President,,Donald Trump,REP,48,22,26
Robertson,Total,President,,Donald Trump,REP,759,,
Robertson,A101 Mt. Olivet,President,,Hillary Clinton,DEM,42,25,17
Robertson,B101 Pinhook,President,,Hillary Clinton,DEM,42,33,9
Robertson,C101 Kentontown,President,,Hillary Clinton,DEM,37,24,13
Robertson,D101 Burika,President,,Hillary Clinton,DEM,38,20,18
Robertson,E101 Mt. Olivet,President,,Hillary Clinton,DEM,35,18,17
Robertson,Absentee,President,,Hillary Clinton,DEM,28,7,21
Robertson,Total,President,,Hillary Clinton,DEM,222,,
Robertson,A101 Mt. Olivet,President,,Gary Johnson,LIB,2,1,1
Robertson,B101 Pinhook,President,,Gary Johnson,LIB,0,0,0
Robertson,C101 Kentontown,President,,Gary Johnson,LIB,6,5,1
Robertson,D101 Burika,President,,Gary Johnson,LIB,6,3,3
Robertson,E101 Mt. Olivet,President,,Gary Johnson,LIB,4,4,0
Robertson,Absentee,President,,Gary Johnson,LIB,1,1,0
Robertson,Total,President,,Gary Johnson,LIB,19,,
Robertson,A101 Mt. Olivet,President,,Rocky De La Fuente,AMD,0,0,0
Robertson,B101 Pinhook,President,,Rocky De La Fuente,AMD,0,0,0
Robertson,C101 Kentontown,President,,Rocky De La Fuente,AMD,0,0,0
Robertson,D101 Burika,President,,Rocky De La Fuente,AMD,0,0,0
Robertson,E101 Mt. Olivet,President,,Rocky De La Fuente,AMD,0,0,0
Robertson,Absentee,President,,Rocky De La Fuente,AMD,0,0,0
Robertson,Total,President,,Rocky De La Fuente,AMD,0,,
Robertson,A101 Mt. Olivet,President,,Jill Stein,GRN,0,0,0
Robertson,B101 Pinhook,President,,Jill Stein,GRN,2,2,0
Robertson,C101 Kentontown,President,,Jill Stein,GRN,2,1,1
Robertson,D101 Burika,President,,Jill Stein,GRN,0,0,0
Robertson,E101 Mt. Olivet,President,,Jill Stein,GRN,1,1,0
Robertson,Absentee,President,,Jill Stein,GRN,0,0,0
Robertson,Total,President,,Jill Stein,GRN,5,,
Robertson,A101 Mt. Olivet,President,,Evan McMullin,IND,4,3,1
Robertson,B101 Pinhook,President,,Evan McMullin,IND,2,1,1
Robertson,C101 Kentontown,President,,Evan McMullin,IND,1,1,0
Robertson,D101 Burika,President,,Evan McMullin,IND,0,0,0
Robertson,E101 Mt. Olivet,President,,Evan McMullin,IND,0,0,0
Robertson,Absentee,President,,Evan McMullin,IND,1,1,0
Robertson,Total,President,,Evan McMullin,IND,8,,
Robertson,A101 Mt. Olivet,U.S Senate,,Rand Paul,REP,125,75,50
Robertson,B101 Pinhook,U.S Senate,,Rand Paul,REP,94,60,34
Robertson,C101 Kentontown,U.S Senate,,Rand Paul,REP,107,76,31
Robertson,D101 Burika,U.S Senate,,Rand Paul,REP,140,63,77
Robertson,E101 Mt. Olivet,U.S Senate,,Rand Paul,REP,144,82,62
Robertson,Absentee,U.S Senate,,Rand Paul,REP,40,21,19
Robertson,Total,U.S Senate,,Rand Paul,REP,650,,
Robertson,A101 Mt. Olivet,U.S Senate,,Jim Gray,DEM,64,34,30
Robertson,B101 Pinhook,U.S Senate,,Jim Gray,DEM,63,50,13
Robertson,C101 Kentontown,U.S Senate,,Jim Gray,DEM,61,42,19
Robertson,D101 Burika,U.S Senate,,Jim Gray,DEM,56,35,21
Robertson,E101 Mt. Olivet,U.S Senate,,Jim Gray,DEM,62,37,25
Robertson,Absentee,U.S Senate,,Jim Gray,DEM,38,10,28
Robertson,Total,U.S Senate,,Jim Gray,DEM,344,,
Robertson,A101 Mt. Olivet,U.S House,6,Andy Barr,REP,142,81,61
Robertson,B101 Pinhook,U.S House,6,Andy Barr,REP,107,68,39
Robertson,C101 Kentontown,U.S House,6,Andy Barr,REP,111,80,31
Robertson,D101 Burika,U.S House,6,Andy Barr,REP,151,72,79
Robertson,E101 Mt. Olivet,U.S House,6,Andy Barr,REP,163,95,68
Robertson,Absentee,U.S House,6,Andy Barr,REP,50,22,28
Robertson,Total,U.S House,6,Andy Barr,REP,724,,
Robertson,A101 Mt. Olivet,U.S House,6,Nancy Jo Kemper,DEM,46,28,18
Robertson,B101 Pinhook,U.S House,6,Nancy Jo Kemper,DEM,51,42,9
Robertson,C101 Kentontown,U.S House,6,Nancy Jo Kemper,DEM,57,38,19
Robertson,D101 Burika,U.S House,6,Nancy Jo Kemper,DEM,45,26,19
Robertson,E101 Mt. Olivet,U.S House,6,Nancy Jo Kemper,DEM,37,21,16
Robertson,Absentee,U.S House,6,Nancy Jo Kemper,DEM,25,8,17
Robertson,Total,U.S House,6,Nancy Jo Kemper,DEM,261,,
Robertson,A101 Mt. Olivet,State Senate,27,Stephen West,REP,127,71,56
Robertson,B101 Pinhook,State Senate,27,Stephen West,REP,87,57,30
Robertson,C101 Kentontown,State Senate,27,Stephen West,REP,95,72,23
Robertson,D101 Burika,State Senate,27,Stephen West,REP,143,64,79
Robertson,E101 Mt. Olivet,State Senate,27,Stephen West,REP,137,83,54
Robertson,Absentee,State Senate,27,Stephen West,REP,35,18,17
Robertson,Total,State Senate,27,Stephen West,REP,624,,
Robertson,A101 Mt. Olivet,State Senate,27,Charles L Linville III,DEM,55,34,21
Robertson,B101 Pinhook,State Senate,27,Charles L Linville III,DEM,64,49,15
Robertson,C101 Kentontown,State Senate,27,Charles L Linville III,DEM,68,45,23
Robertson,D101 Burika,State Senate,27,Charles L Linville III,DEM,52,33,19
Robertson,E101 Mt. Olivet,State Senate,27,Charles L Linville III,DEM,54,30,24
Robertson,Absentee,State Senate,27,Charles L Linville III,DEM,35,11,24
Robertson,Total,State Senate,27,Charles L Linville III,DEM,328,,
Robertson,A101 Mt. Olivet,State Representative,70,John Vanmeter,REP,89,48,41
Robertson,B101 Pinhook,State Representative,70,John Vanmeter,REP,72,48,24
Robertson,C101 Kentontown,State Representative,70,John Vanmeter,REP,67,44,23
Robertson,D101 Burika,State Representative,70,John Vanmeter,REP,98,42,56
Robertson,E101 Mt. Olivet,State Representative,70,John Vanmeter,REP,83,53,30
Robertson,Absentee,State Representative,70,John Vanmeter,REP,32,18,14
Robertson,Total,State Representative,70,John Vanmeter,REP,441,,
Robertson,A101 Mt. Olivet,State Representative,70,John Sims Je,DEM,101,63,38
Robertson,B101 Pinhook,State Representative,70,John Sims Je,DEM,85,63,22
Robertson,C101 Kentontown,State Representative,70,John Sims Je,DEM,100,76,24
Robertson,D101 Burika,State Representative,70,John Sims Je,DEM,102,58,44
Robertson,E101 Mt. Olivet,State Representative,70,John Sims Je,DEM,122,66,56
Robertson,Absentee,State Representative,70,John Sims Je,DEM,44,13,31
Robertson,Total,State Representative,70,John Sims Je,DEM,554,,
