county,precinct,office,district,party,candidate,absentee_mail,absentee_person,eslate,escan,votes
Mercer,Duncan,President,,ADP,Rocky De La Fuente,,,0,0,0
Mercer,McAfee,President,,ADP,Rocky De La Fuente,,,0,1,1
Mercer,Stringtown,President,,ADP,Rocky De La Fuente,,,0,0,0
Mercer,Total,President,,ADP,Rocky De La Fuente,,,0,1,1
Mercer,Absentee,President,,GRN,Jill Stein,1,1,0,2,2
Mercer,Perryville Toll Gate,President,,GRN,Jill Stein,,,0,6,6
Mercer,Dixville,President,,GRN,Jill Stein,,,0,0,0
Mercer,Rose Hill,President,,GRN,Jill Stein,,,0,2,2
Mercer,Cornishville,President,,GRN,Jill Stein,,,0,2,2
Mercer,Terrapin,President,,GRN,Jill Stein,,,0,1,1
Mercer,Salvisa,President,,GRN,Jill Stein,,,0,5,5
Mercer,Bohon,President,,GRN,Jill Stein,,,3,3,6
Mercer,Duncan,President,,GRN,Jill Stein,,,0,0,0
Mercer,McAfee,President,,GRN,Jill Stein,,,0,9,9
Mercer,Stringtown,President,,GRN,Jill Stein,,,0,3,3
Mercer,Total,President,,GRN,Jill Stein,,,3,31,36
Mercer,Absentee,President,,,Evan McMullin,0,4,,,4
Mercer,Perryville Toll Gate,President,,,Evan McMullin,,,0,12,12
Mercer,Dixville,President,,,Evan McMullin,,,0,1,1
Mercer,Rose Hill,President,,,Evan McMullin,,,0,3,3
Mercer,Cornishville,President,,,Evan McMullin,,,0,1,1
Mercer,Terrapin,President,,,Evan McMullin,,,0,4,4
Mercer,Salvisa,President,,,Evan McMullin,,,0,12,12
Mercer,Bohon,President,,,Evan McMullin,,,1,2,3
Mercer,Duncan,President,,,Evan McMullin,,,0,2,2
Mercer,McAfee,President,,,Evan McMullin,,,2,3,5
Mercer,Stringtown,President,,,Evan McMullin,,,0,16,16
Mercer,Total,President,,,Evan McMullin,,,3,56,63
Mercer,Absentee,U.S. Senate,,REP,Rand Paul,92,298,,,390
Mercer,Perryville Toll Gate,U.S. Senate,,REP,Rand Paul,,,1,629,630
Mercer,Dixville,U.S. Senate,,REP,Rand Paul,,,0,108,108
Mercer,Rose Hill,U.S. Senate,,REP,Rand Paul,,,0,319,319
Mercer,Cornishville,U.S. Senate,,REP,Rand Paul,,,0,100,100
Mercer,Terrapin,U.S. Senate,,REP,Rand Paul,,,0,195,195
Mercer,Salvisa,U.S. Senate,,REP,Rand Paul,,,0,434,434
Mercer,Bohon,U.S. Senate,,REP,Rand Paul,,,96,298,394
Mercer,Duncan,U.S. Senate,,REP,Rand Paul,,,0,137,137
Mercer,McAfee,U.S. Senate,,REP,Rand Paul,,,20,533,553
Mercer,Stringtown,U.S. Senate,,REP,Rand Paul,,,0,461,461
Mercer,Total,U.S. Senate,,REP,Rand Paul,,,,,3721
Mercer,Absentee,U.S. Senate,,DEM,Jim Gray,69,148,,,217
Mercer,Perryville Toll Gate,U.S. Senate,,DEM,Jim Gray,,,1,355,356
Mercer,Dixville,U.S. Senate,,DEM,Jim Gray,,,0,61,61
Mercer,Rose Hill,U.S. Senate,,DEM,Jim Gray,,,0,182,182
Mercer,Cornishville,U.S. Senate,,DEM,Jim Gray,,,0,54,54
