candidates
Kevin Bratcher
Write-In
Waymen Eddings
Tom Burch
Sarah Provancher
Steve Riggs
Phil Moffett
Jason Nemes
Rob Walker
Mary Lou Marzian
Jim Wayne
Jerry Miller
Mark Wilson
Jeffrey Donohue
Denver Butler
McKenzie Cantrell
George Demic
Dennis Horlander
Attica Scott
James Howland
Reginald Meeks
John Mark Owen
Darryl Owens
Joni Jenkins
Eric Crump
Alan Gentry
Ken Fleming
Maria Sorolis
Larry West
Morgan McGarvey
Shenita Rickman
Gerald Neal
Denise Harper Angel
Perry Clark
Harold Bratcher
John Yarmuth
Thomas Massie
Calvin Silde
Rand Paul
Jim Gray
Donald Trump
Hillary Clinton
Gary Johnson
Rocky De La Fuente
Jill Stein
Evan McMullin
