county,precinct,office,district,party,candidate,votes,early_voting,election_day,absentee
Greenup,A101,President,,REP,Ryan L. BINKLEY,0,0,0,0
Greenup,A101,President,,REP,Vivek RAMASWAMY,0,0,0,0
Greenup,A101,President,,REP,Ron DeSANTIS,1,0,1,0
Greenup,A101,President,,REP,Donald J. TRUMP,108,7,94,7
Greenup,A101,President,,REP,Chris CHRISTIE,0,0,0,0
Greenup,A101,President,,REP,Nikki R. HALEY,5,2,3,0
Greenup,A101,President,,REP,UNCOMMITTED,3,0,3,0
Greenup,A101,President,,REP,Total Votes,117,9,101,7
Greenup,A101,President,,REP,Under Votes,0,0,0,0
Greenup,A101,President,,REP,Over Votes,0,0,0,0
Greenup,A101,U.S. House,4,REP,Michael McGINNIS,23,4,19,0
Greenup,A101,U.S. House,4,REP,Eric DETERS,5,0,5,0
Greenup,A101,U.S. House,4,REP,Thomas MASSIE,86,5,74,7
Greenup,A101,U.S. House,4,REP,Total Votes,114,9,98,7
Greenup,A101,U.S. House,4,REP,Under Votes,3,0,3,0
Greenup,A101,U.S. House,4,REP,Over Votes,0,0,0,0
Greenup,A101,President,,DEM,Joseph R. BIDEN JR.,26,4,21,1
Greenup,A101,President,,DEM,Marianne WILLIAMSON,3,0,3,0
Greenup,A101,President,,DEM,Dean PHILLIPS,3,1,2,0
Greenup,A101,President,,DEM,UNCOMMITTED,18,1,17,0
Greenup,A101,President,,DEM,Total Votes,50,6,43,1
Greenup,A101,President,,DEM,Under Votes,1,0,1,0
Greenup,A101,President,,DEM,Over Votes,0,0,0,0
Greenup,A101,State House,98,DEM,James M. RENEAU,0,0,0,0
Greenup,A101,State House,98,DEM,Joe VIRGIN,18,4,13,1
Greenup,A101,State House,98,DEM,Tammie WOMACK,26,2,24,0
Greenup,A101,State House,98,DEM,Shawn Lawrence ASSAR,3,0,3,0
Greenup,A101,State House,98,DEM,Total Votes,47,6,40,1
Greenup,A101,State House,98,DEM,Under Votes,4,0,4,0
Greenup,A101,State House,98,DEM,Over Votes,0,0,0,0
Greenup,A102,President,,REP,Ryan L. BINKLEY,0,0,0,0
Greenup,A102,President,,REP,Vivek RAMASWAMY,1,0,1,0
Greenup,A102,President,,REP,Ron DeSANTIS,3,1,2,0
Greenup,A102,President,,REP,Donald J. TRUMP,101,7,92,2
Greenup,A102,President,,REP,Chris CHRISTIE,0,0,0,0
Greenup,A102,President,,REP,Nikki R. HALEY,0,0,0,0
Greenup,A102,President,,REP,UNCOMMITTED,3,0,3,0
Greenup,A102,President,,REP,Total Votes,108,8,98,2
Greenup,A102,President,,REP,Under Votes,0,0,0,0
Greenup,A102,President,,REP,Over Votes,0,0,0,0
Greenup,A102,U.S. House,4,REP,Michael McGINNIS,8,1,7,0
Greenup,A102,U.S. House,4,REP,Eric DETERS,11,0,11,0
Greenup,A102,U.S. House,4,REP,Thomas MASSIE,85,7,76,2
Greenup,A102,U.S. House,4,REP,Total Votes,104,8,94,2
Greenup,A102,U.S. House,4,REP,Under Votes,4,0,4,0
Greenup,A102,U.S. House,4,REP,Over Votes,0,0,0,0
Greenup,A102,President,,DEM,Joseph R. BIDEN JR.,34,5,29,0
Greenup,A102,President,,DEM,Marianne WILLIAMSON,1,0,1,0
Greenup,A102,President,,DEM,Dean PHILLIPS,3,0,3,0
Greenup,A102,President,,DEM,UNCOMMITTED,11,0,9,2
Greenup,A102,President,,DEM,Total Votes,49,5,42,2
Greenup,A102,President,,DEM,Under Votes,2,0,2,0
Greenup,A102,President,,DEM,Over Votes,0,0,0,0
Greenup,A102,State House,98,DEM,James M. RENEAU,2,0,2,0
Greenup,A102,State House,98,DEM,Joe VIRGIN,25,3,21,1
Greenup,A102,State House,98,DEM,Tammie WOMACK,20,2,17,1
Greenup,A102,State House,98,DEM,Shawn Lawrence ASSAR,3,0,3,0
Greenup,A102,State House,98,DEM,Total Votes,50,5,43,2
Greenup,A102,State House,98,DEM,Under Votes,1,0,1,0
Greenup,A102,State House,98,DEM,Over Votes,0,0,0,0
Greenup,A103,President,,REP,Ryan L. BINKLEY,0,0,0,0
Greenup,A103,President,,REP,Vivek RAMASWAMY,0,0,0,0
Greenup,A103,President,,REP,Ron DeSANTIS,1,0,1,0
Greenup,A103,President,,REP,Donald J. TRUMP,88,7,77,4
Greenup,A103,President,,REP,Chris CHRISTIE,1,1,0,0
Greenup,A103,President,,REP,Nikki R. HALEY,1,0,1,0
Greenup,A103,President,,REP,UNCOMMITTED,3,2,1,0
Greenup,A103,President,,REP,Total Votes,94,10,80,4
Greenup,A103,President,,REP,Under Votes,1,0,1,0
Greenup,A103,President,,REP,Over Votes,0,0,0,0
Greenup,A103,U.S. House,4,REP,Michael McGINNIS,17,3,13,1
Greenup,A103,U.S. House,4,REP,Eric DETERS,4,0,4,0
Greenup,A103,U.S. House,4,REP,Thomas MASSIE,69,7,59,3
Greenup,A103,U.S. House,4,REP,Total Votes,90,10,76,4
Greenup,A103,U.S. House,4,REP,Under Votes,4,0,4,0
Greenup,A103,U.S. House,4,REP,Over Votes,1,0,1,0
Greenup,A103,President,,DEM,Joseph R. BIDEN JR.,55,8,38,9
Greenup,A103,President,,DEM,Marianne WILLIAMSON,4,1,3,0
Greenup,A103,President,,DEM,Dean PHILLIPS,1,0,1,0
Greenup,A103,President,,DEM,UNCOMMITTED,21,1,18,2
Greenup,A103,President,,DEM,Total Votes,81,10,60,11
Greenup,A103,President,,DEM,Under Votes,2,0,1,1
Greenup,A103,President,,DEM,Over Votes,0,0,0,0
Greenup,A103,State House,98,DEM,James M. RENEAU,5,1,2,2
Greenup,A103,State House,98,DEM,Joe VIRGIN,38,5,26,7
Greenup,A103,State House,98,DEM,Tammie WOMACK,27,4,21,2
Greenup,A103,State House,98,DEM,Shawn Lawrence ASSAR,10,0,9,1
Greenup,A103,State House,98,DEM,Total Votes,80,10,58,12
Greenup,A103,State House,98,DEM,Under Votes,2,0,2,0
Greenup,A103,State House,98,DEM,Over Votes,1,0,1,0
Greenup,A104,President,,REP,Ryan L. BINKLEY,0,0,0,0
Greenup,A104,President,,REP,Vivek RAMASWAMY,0,0,0,0
Greenup,A104,President,,REP,Ron DeSANTIS,2,0,2,0
Greenup,A104,President,,REP,Donald J. TRUMP,112,1,107,4
Greenup,A104,President,,REP,Chris CHRISTIE,0,0,0,0
Greenup,A104,President,,REP,Nikki R. HALEY,2,0,2,0
Greenup,A104,President,,REP,UNCOMMITTED,2,0,2,0
Greenup,A104,President,,REP,Total Votes,118,1,113,4
Greenup,A104,President,,REP,Under Votes,0,0,0,0
Greenup,A104,President,,REP,Over Votes,0,0,0,0
Greenup,A104,U.S. House,4,REP,Michael McGINNIS,22,0,22,0
Greenup,A104,U.S. House,4,REP,Eric DETERS,8,0,8,0
Greenup,A104,U.S. House,4,REP,Thomas MASSIE,81,0,78,3
Greenup,A104,U.S. House,4,REP,Total Votes,111,0,108,3
Greenup,A104,U.S. House,4,REP,Under Votes,7,1,5,1
Greenup,A104,U.S. House,4,REP,Over Votes,0,0,0,0
Greenup,A104,President,,DEM,Joseph R. BIDEN JR.,33,0,32,1
Greenup,A104,President,,DEM,Marianne WILLIAMSON,4,0,4,0
Greenup,A104,President,,DEM,Dean PHILLIPS,4,0,4,0
Greenup,A104,President,,DEM,UNCOMMITTED,18,0,17,1
Greenup,A104,President,,DEM,Total Votes,59,0,57,2
Greenup,A104,President,,DEM,Under Votes,1,0,1,0
Greenup,A104,President,,DEM,Over Votes,0,0,0,0
Greenup,A104,State House,98,DEM,James M. RENEAU,1,0,1,0
Greenup,A104,State House,98,DEM,Joe VIRGIN,29,0,29,0
Greenup,A104,State House,98,DEM,Tammie WOMACK,26,0,24,2
Greenup,A104,State House,98,DEM,Shawn Lawrence ASSAR,1,0,1,0
Greenup,A104,State House,98,DEM,Total Votes,57,0,55,2
Greenup,A104,State House,98,DEM,Under Votes,3,0,3,0
Greenup,A104,State House,98,DEM,Over Votes,0,0,0,0
Greenup,A105,President,,REP,Ryan L. BINKLEY,1,0,1,0
Greenup,A105,President,,REP,Vivek RAMASWAMY,0,0,0,0
Greenup,A105,President,,REP,Ron DeSANTIS,0,0,0,0
Greenup,A105,President,,REP,Donald J. TRUMP,19,4,15,0
Greenup,A105,President,,REP,Chris CHRISTIE,0,0,0,0
Greenup,A105,President,,REP,Nikki R. HALEY,0,0,0,0
Greenup,A105,President,,REP,UNCOMMITTED,1,0,1,0
