county,precinct,office,district,party,candidate,votes,early_voting,election_day,absentee
Washington,A101,President,,REP,Ryan L. BINKLEY,1,0,1,0
Washington,A101,President,,REP,Vivek RAMASWAMY,0,0,0,0
Washington,A101,President,,REP,Ron DeSANTIS,1,1,0,0
Washington,A101,President,,REP,Donald J. TRUMP,34,12,22,0
Washington,A101,President,,REP,Chris CHRISTIE,0,0,0,0
Washington,A101,President,,REP,Nikki R. HALEY,2,1,1,0
Washington,A101,President,,REP,UNCOMMITTED,2,1,1,0
Washington,A101,President,,REP,Total Votes,40,15,25,0
Washington,A101,President,,REP,Under Votes,0,0,0,0
Washington,A101,President,,REP,Over Votes,0,0,0,0
Washington,A101,State House,55,REP,James TOLLER,7,3,4,0
Washington,A101,State House,55,REP,Kim KING,32,12,20,0
Washington,A101,State House,55,REP,Total Votes,39,15,24,0
Washington,A101,State House,55,REP,Under Votes,1,0,1,0
Washington,A101,State House,55,REP,Over Votes,0,0,0,0
Washington,A101,President,,DEM,Joseph R. BIDEN JR.,6,2,4,0
Washington,A101,President,,DEM,Marianne WILLIAMSON,2,1,1,0
Washington,A101,President,,DEM,Dean PHILLIPS,2,0,2,0
Washington,A101,President,,DEM,UNCOMMITTED,5,4,1,0
Washington,A101,President,,DEM,Total Votes,15,7,8,0
Washington,A101,President,,DEM,Under Votes,0,0,0,0
Washington,A101,President,,DEM,Over Votes,0,0,0,0
Washington,A102,President,,REP,Ryan L. BINKLEY,0,0,0,0
Washington,A102,President,,REP,Vivek RAMASWAMY,0,0,0,0
Washington,A102,President,,REP,Ron DeSANTIS,2,0,2,0
Washington,A102,President,,REP,Donald J. TRUMP,96,13,79,4
Washington,A102,President,,REP,Chris CHRISTIE,1,1,0,0
Washington,A102,President,,REP,Nikki R. HALEY,2,0,2,0
Washington,A102,President,,REP,UNCOMMITTED,1,0,1,0
Washington,A102,President,,REP,Total Votes,102,14,84,4
Washington,A102,President,,REP,Under Votes,0,0,0,0
Washington,A102,President,,REP,Over Votes,0,0,0,0
Washington,A102,State House,55,REP,James TOLLER,17,2,15,0
Washington,A102,State House,55,REP,Kim KING,76,11,62,3
Washington,A102,State House,55,REP,Total Votes,93,13,77,3
Washington,A102,State House,55,REP,Under Votes,9,1,7,1
Washington,A102,State House,55,REP,Over Votes,0,0,0,0
Washington,A102,President,,DEM,Joseph R. BIDEN JR.,4,0,3,1
Washington,A102,President,,DEM,Marianne WILLIAMSON,2,0,2,0
Washington,A102,President,,DEM,Dean PHILLIPS,1,0,0,1
Washington,A102,President,,DEM,UNCOMMITTED,2,0,2,0
Washington,A102,President,,DEM,Total Votes,9,0,7,2
Washington,A102,President,,DEM,Under Votes,0,0,0,0
Washington,A102,President,,DEM,Over Votes,0,0,0,0
Washington,B101,President,,REP,Ryan L. BINKLEY,0,0,0,0
Washington,B101,President,,REP,Vivek RAMASWAMY,0,0,0,0
Washington,B101,President,,REP,Ron DeSANTIS,2,0,2,0
Washington,B101,President,,REP,Donald J. TRUMP,67,6,61,0
Washington,B101,President,,REP,Chris CHRISTIE,0,0,0,0
Washington,B101,President,,REP,Nikki R. HALEY,1,0,1,0
Washington,B101,President,,REP,UNCOMMITTED,0,0,0,0
Washington,B101,President,,REP,Total Votes,70,6,64,0
Washington,B101,President,,REP,Under Votes,0,0,0,0
Washington,B101,President,,REP,Over Votes,0,0,0,0
Washington,B101,State House,55,REP,James TOLLER,10,0,10,0
Washington,B101,State House,55,REP,Kim KING,58,6,52,0
Washington,B101,State House,55,REP,Total Votes,68,6,62,0
Washington,B101,State House,55,REP,Under Votes,2,0,2,0
Washington,B101,State House,55,REP,Over Votes,0,0,0,0
Washington,B101,President,,DEM,Joseph R. BIDEN JR.,15,4,10,1
Washington,B101,President,,DEM,Marianne WILLIAMSON,4,0,4,0
Washington,B101,President,,DEM,Dean PHILLIPS,0,0,0,0
Washington,B101,President,,DEM,UNCOMMITTED,6,0,6,0
Washington,B101,President,,DEM,Total Votes,25,4,20,1
Washington,B101,President,,DEM,Under Votes,0,0,0,0
Washington,B101,President,,DEM,Over Votes,0,0,0,0
Washington,B102,President,,REP,Ryan L. BINKLEY,0,0,0,0
Washington,B102,President,,REP,Vivek RAMASWAMY,0,0,0,0
Washington,B102,President,,REP,Ron DeSANTIS,1,0,1,0
Washington,B102,President,,REP,Donald J. TRUMP,65,4,59,2
Washington,B102,President,,REP,Chris CHRISTIE,3,0,3,0
Washington,B102,President,,REP,Nikki R. HALEY,5,0,5,0
Washington,B102,President,,REP,UNCOMMITTED,0,0,0,0
Washington,B102,President,,REP,Total Votes,74,4,68,2
Washington,B102,President,,REP,Under Votes,1,0,1,0
Washington,B102,President,,REP,Over Votes,0,0,0,0
Washington,B102,State House,55,REP,James TOLLER,12,0,12,0
Washington,B102,State House,55,REP,Kim KING,61,4,55,2
Washington,B102,State House,55,REP,Total Votes,73,4,67,2
Washington,B102,State House,55,REP,Under Votes,2,0,2,0
Washington,B102,State House,55,REP,Over Votes,0,0,0,0
Washington,B102,President,,DEM,Joseph R. BIDEN JR.,29,9,20,0
Washington,B102,President,,DEM,Marianne WILLIAMSON,3,0,3,0
Washington,B102,President,,DEM,Dean PHILLIPS,2,1,1,0
Washington,B102,President,,DEM,UNCOMMITTED,10,2,8,0
Washington,B102,President,,DEM,Total Votes,44,12,32,0
Washington,B102,President,,DEM,Under Votes,1,0,1,0
Washington,B102,President,,DEM,Over Votes,0,0,0,0
Washington,C101,President,,REP,Ryan L. BINKLEY,0,0,0,0
Washington,C101,President,,REP,Vivek RAMASWAMY,0,0,0,0
Washington,C101,President,,REP,Ron DeSANTIS,3,0,3,0
Washington,C101,President,,REP,Donald J. TRUMP,67,4,62,1
Washington,C101,President,,REP,Chris CHRISTIE,0,0,0,0
Washington,C101,President,,REP,Nikki R. HALEY,4,1,3,0
Washington,C101,President,,REP,UNCOMMITTED,1,0,1,0
Washington,C101,President,,REP,Total Votes,75,5,69,1
Washington,C101,President,,REP,Under Votes,0,0,0,0
Washington,C101,President,,REP,Over Votes,0,0,0,0
Washington,C101,State House,55,REP,James TOLLER,24,0,24,0
Washington,C101,State House,55,REP,Kim KING,45,3,41,1
Washington,C101,State House,55,REP,Total Votes,69,3,65,1
Washington,C101,State House,55,REP,Under Votes,6,2,4,0
Washington,C101,State House,55,REP,Over Votes,0,0,0,0
Washington,C101,President,,DEM,Joseph R. BIDEN JR.,19,7,11,1
Washington,C101,President,,DEM,Marianne WILLIAMSON,4,0,4,0
Washington,C101,President,,DEM,Dean PHILLIPS,1,0,1,0
Washington,C101,President,,DEM,UNCOMMITTED,3,2,1,0
Washington,C101,President,,DEM,Total Votes,27,9,17,1
Washington,C101,President,,DEM,Under Votes,0,0,0,0
Washington,C101,President,,DEM,Over Votes,0,0,0,0
Washington,C102,President,,REP,Ryan L. BINKLEY,0,0,0,0
Washington,C102,President,,REP,Vivek RAMASWAMY,0,0,0,0
Washington,C102,President,,REP,Ron DeSANTIS,2,0,2,0
Washington,C102,President,,REP,Donald J. TRUMP,55,5,48,2
Washington,C102,President,,REP,Chris CHRISTIE,2,0,2,0
Washington,C102,President,,REP,Nikki R. HALEY,2,0,2,0
Washington,C102,President,,REP,UNCOMMITTED,2,0,2,0
Washington,C102,President,,REP,Total Votes,63,5,56,2
Washington,C102,President,,REP,Under Votes,0,0,0,0
Washington,C102,President,,REP,Over Votes,0,0,0,0
Washington,C102,State House,55,REP,James TOLLER,10,2,8,0
Washington,C102,State House,55,REP,Kim KING,52,3,47,2
Washington,C102,State House,55,REP,Total Votes,62,5,55,2
Washington,C102,State House,55,REP,Under Votes,1,0,1,0
Washington,C102,State House,55,REP,Over Votes,0,0,0,0
Washington,C102,President,,DEM,Joseph R. BIDEN JR.,6,1,5,0
Washington,C102,President,,DEM,Marianne WILLIAMSON,2,0,2,0
Washington,C102,President,,DEM,Dean PHILLIPS,6,0,6,0
Washington,C102,President,,DEM,UNCOMMITTED,3,0,3,0
Washington,C102,President,,DEM,Total Votes,17,1,16,0
Washington,C102,President,,DEM,Under Votes,0,0,0,0
Washington,C102,President,,DEM,Over Votes,0,0,0,0
Washington,C103,President,,REP,Ryan L. BINKLEY,0,0,0,0
Washington,C103,President,,REP,Vivek RAMASWAMY,0,0,0,0
Washington,C103,President,,REP,Ron DeSANTIS,0,0,0,0
Washington,C103,President,,REP,Donald J. TRUMP,25,12,13,0
Washington,C103,President,,REP,Chris CHRISTIE,0,0,0,0
Washington,C103,President,,REP,Nikki R. HALEY,0,0,0,0
Washington,C103,President,,REP,UNCOMMITTED,3,0,3,0
Washington,C103,President,,REP,Total Votes,28,12,16,0
Washington,C103,President,,REP,Under Votes,0,0,0,0
