county,precinct,office,district,party,candidate,votes,early_voting,election_day,absentee,provisional
Kenton,A101,President,,REP,Ryan L. BINKLEY,0,0,0,0,0
Kenton,A101,President,,REP,Vivek RAMASWAMY,0,0,0,0,0
Kenton,A101,President,,REP,Ron DeSANTIS,1,0,1,0,0
Kenton,A101,President,,REP,Donald J. TRUMP,25,5,20,0,0
Kenton,A101,President,,REP,Chris CHRISTIE,1,1,0,0,0
Kenton,A101,President,,REP,Nikki R. HALEY,3,0,3,0,0
Kenton,A101,President,,REP,UNCOMMITTED,0,0,0,0,0
Kenton,A101,President,,REP,Total Votes,30,6,24,0,0
Kenton,A101,U.S. House,4,REP,Michael McGINNIS,2,0,2,0,0
Kenton,A101,U.S. House,4,REP,Eric DETERS,6,2,4,0,0
Kenton,A101,U.S. House,4,REP,Thomas MASSIE,22,4,18,0,0
Kenton,A101,U.S. House,4,REP,Total Votes,30,6,24,0,0
Kenton,A101,President,,DEM,Joseph R. BIDEN JR.,3,0,2,1,0
Kenton,A101,President,,DEM,Marianne WILLIAMSON,1,0,1,0,0
Kenton,A101,President,,DEM,Dean PHILLIPS,2,1,1,0,0
Kenton,A101,President,,DEM,UNCOMMITTED,5,1,4,0,0
Kenton,A101,President,,DEM,Total Votes,12,2,9,1,0
Kenton,A102,President,,REP,Ryan L. BINKLEY,0,0,0,0,0
Kenton,A102,President,,REP,Vivek RAMASWAMY,1,1,0,0,0
Kenton,A102,President,,REP,Ron DeSANTIS,1,0,1,0,0
Kenton,A102,President,,REP,Donald J. TRUMP,33,0,31,2,0
Kenton,A102,President,,REP,Chris CHRISTIE,0,0,0,0,0
Kenton,A102,President,,REP,Nikki R. HALEY,10,3,6,1,0
Kenton,A102,President,,REP,UNCOMMITTED,3,0,3,0,0
Kenton,A102,President,,REP,Total Votes,51,4,44,3,0
Kenton,A102,U.S. House,4,REP,Michael McGINNIS,7,1,5,1,0
Kenton,A102,U.S. House,4,REP,Eric DETERS,10,0,10,0,0
Kenton,A102,U.S. House,4,REP,Thomas MASSIE,29,2,25,2,0
Kenton,A102,U.S. House,4,REP,Total Votes,51,4,44,3,0
Kenton,A102,President,,DEM,Joseph R. BIDEN JR.,134,30,97,7,0
Kenton,A102,President,,DEM,Marianne WILLIAMSON,5,1,4,0,0
Kenton,A102,President,,DEM,Dean PHILLIPS,1,1,0,0,0
Kenton,A102,President,,DEM,UNCOMMITTED,17,0,17,0,0
Kenton,A102,President,,DEM,Total Votes,157,32,118,7,0
Kenton,A103,President,,REP,Ryan L. BINKLEY,1,0,1,0,0
Kenton,A103,President,,REP,Vivek RAMASWAMY,0,0,0,0,0
Kenton,A103,President,,REP,Ron DeSANTIS,0,0,0,0,0
Kenton,A103,President,,REP,Donald J. TRUMP,26,6,20,0,0
Kenton,A103,President,,REP,Chris CHRISTIE,2,0,1,1,0
Kenton,A103,President,,REP,Nikki R. HALEY,15,3,12,0,0
Kenton,A103,President,,REP,UNCOMMITTED,2,0,2,0,0
Kenton,A103,President,,REP,Total Votes,46,9,36,1,0
Kenton,A103,U.S. House,4,REP,Michael McGINNIS,12,0,11,1,0
Kenton,A103,U.S. House,4,REP,Eric DETERS,5,1,4,0,0
Kenton,A103,U.S. House,4,REP,Thomas MASSIE,26,8,18,0,0
Kenton,A103,U.S. House,4,REP,Total Votes,46,9,36,1,0
Kenton,A103,President,,DEM,Joseph R. BIDEN JR.,156,24,126,6,0
Kenton,A103,President,,DEM,Marianne WILLIAMSON,1,1,0,0,0
Kenton,A103,President,,DEM,Dean PHILLIPS,3,1,2,0,0
Kenton,A103,President,,DEM,UNCOMMITTED,25,3,20,2,0
Kenton,A103,President,,DEM,Total Votes,188,30,150,8,0
Kenton,A104,President,,REP,Ryan L. BINKLEY,1,0,1,0,0
Kenton,A104,President,,REP,Vivek RAMASWAMY,1,0,1,0,0
Kenton,A104,President,,REP,Ron DeSANTIS,1,0,1,0,0
Kenton,A104,President,,REP,Donald J. TRUMP,24,0,24,0,0
Kenton,A104,President,,REP,Chris CHRISTIE,1,0,1,0,0
Kenton,A104,President,,REP,Nikki R. HALEY,4,0,3,1,0
Kenton,A104,President,,REP,UNCOMMITTED,4,0,4,0,0
Kenton,A104,President,,REP,Total Votes,38,0,37,1,0
Kenton,A104,U.S. House,4,REP,Michael McGINNIS,6,0,6,0,0
Kenton,A104,U.S. House,4,REP,Eric DETERS,5,0,5,0,0
Kenton,A104,U.S. House,4,REP,Thomas MASSIE,24,0,23,1,0
Kenton,A104,U.S. House,4,REP,Total Votes,38,0,37,1,0
Kenton,A104,President,,DEM,Joseph R. BIDEN JR.,19,2,17,0,0
Kenton,A104,President,,DEM,Marianne WILLIAMSON,2,1,1,0,0
Kenton,A104,President,,DEM,Dean PHILLIPS,2,0,2,0,0
Kenton,A104,President,,DEM,UNCOMMITTED,6,1,5,0,0
Kenton,A104,President,,DEM,Total Votes,31,4,27,0,0
Kenton,A105,President,,REP,Ryan L. BINKLEY,0,0,0,0,0
Kenton,A105,President,,REP,Vivek RAMASWAMY,0,0,0,0,0
Kenton,A105,President,,REP,Ron DeSANTIS,5,0,5,0,0
Kenton,A105,President,,REP,Donald J. TRUMP,14,0,14,0,0
Kenton,A105,President,,REP,Chris CHRISTIE,0,0,0,0,0
Kenton,A105,President,,REP,Nikki R. HALEY,0,0,0,0,0
Kenton,A105,President,,REP,UNCOMMITTED,3,0,3,0,0
Kenton,A105,President,,REP,Total Votes,23,0,23,0,0
Kenton,A105,U.S. House,4,REP,Michael McGINNIS,1,0,1,0,0
Kenton,A105,U.S. House,4,REP,Eric DETERS,3,0,3,0,0
Kenton,A105,U.S. House,4,REP,Thomas MASSIE,16,0,16,0,0
Kenton,A105,U.S. House,4,REP,Total Votes,23,0,23,0,0
Kenton,A105,President,,DEM,Joseph R. BIDEN JR.,50,17,32,1,0
Kenton,A105,President,,DEM,Marianne WILLIAMSON,2,0,2,0,0
Kenton,A105,President,,DEM,Dean PHILLIPS,0,0,0,0,0
Kenton,A105,President,,DEM,UNCOMMITTED,12,2,8,2,0
Kenton,A105,President,,DEM,Total Votes,64,19,42,3,0
Kenton,A106,President,,REP,Ryan L. BINKLEY,1,0,1,0,0
Kenton,A106,President,,REP,Vivek RAMASWAMY,2,0,2,0,0
Kenton,A106,President,,REP,Ron DeSANTIS,0,0,0,0,0
Kenton,A106,President,,REP,Donald J. TRUMP,39,9,27,3,0
Kenton,A106,President,,REP,Chris CHRISTIE,2,1,0,1,0
Kenton,A106,President,,REP,Nikki R. HALEY,5,0,4,1,0
Kenton,A106,President,,REP,UNCOMMITTED,2,0,2,0,0
Kenton,A106,President,,REP,Total Votes,52,10,37,5,0
Kenton,A106,U.S. House,4,REP,Michael McGINNIS,6,1,5,0,0
Kenton,A106,U.S. House,4,REP,Eric DETERS,10,3,7,0,0
Kenton,A106,U.S. House,4,REP,Thomas MASSIE,30,6,21,3,0
Kenton,A106,U.S. House,4,REP,Total Votes,52,10,37,5,0
Kenton,A106,State House,64,REP,Kimberly Poore MOSER,25,3,21,1,0
Kenton,A106,State House,64,REP,Karen CAMPBELL,22,6,14,2,0
Kenton,A106,State House,64,REP,Total Votes,52,10,37,5,0
Kenton,A106,President,,DEM,Joseph R. BIDEN JR.,97,19,71,7,0
Kenton,A106,President,,DEM,Marianne WILLIAMSON,3,0,3,0,0
Kenton,A106,President,,DEM,Dean PHILLIPS,1,0,1,0,0
