county,precinct,office,district,party,candidate,votes,early_voting,election_day,absentee
Cumberland,A101,STRAIGHT PARTY,,REP,Republican Party,131,61,53,17
Cumberland,A101,STRAIGHT PARTY,,DEM,Democratic Party,25,11,14,0
Cumberland,A101,STRAIGHT PARTY,,KY,Kentucky Party,1,0,1,0
Cumberland,A101,STRAIGHT PARTY,,LIB,Libertarian Party,0,0,0,0
Cumberland,A101,STRAIGHT PARTY,,,Total Votes,157,72,68,17
Cumberland,A101,STRAIGHT PARTY,,,Under Votes,172,85,77,10
Cumberland,A101,STRAIGHT PARTY,,,Over Votes,0,0,0,0
Cumberland,A101,President,,REP,Donald J. TRUMP / JD VANCE,259,130,105,24
Cumberland,A101,President,,DEM,Kamala D. HARRIS / Tim WALZ,59,24,33,2
Cumberland,A101,President,,KY,Jill  STEIN / Samson KPADENOU,0,0,0,0
Cumberland,A101,President,,IND,Robert F. KENNEDY JR. / Nicole SHANAHAN,2,0,2,0
Cumberland,A101,President,,IND,Shiva AYYADURAI / Crystal ELLIS,1,0,1,0
Cumberland,A101,President,,LIB,Chase OLIVER / Mike TER MAAT,0,0,0,0
Cumberland,A101,President,,,ANDRE ROMAN MCNEIL SR -,0,0,0,0
Cumberland,A101,President,,,Write In Total,0,0,0,0
Cumberland,A101,President,,,Total Votes,321,154,141,26
Cumberland,A101,President,,,Under Votes,8,3,4,1
Cumberland,A101,President,,,Over Votes,0,0,0,0
Cumberland,A101,U.S. House,1,REP,James R. COMER,270,131,113,26
Cumberland,A101,U.S. House,1,DEM,Erin MARSHALL,44,17,26,1
Cumberland,A101,U.S. House,1,,Total Votes,314,148,139,27
Cumberland,A101,U.S. House,1,,Under Votes,15,9,6,0
Cumberland,A101,U.S. House,1,,Over Votes,0,0,0,0
Cumberland,A101,State Senate,15,REP,Rick GIRDLER,223,99,98,26
Cumberland,A101,State Senate,15,,Total Votes,223,99,98,26
Cumberland,A101,State Senate,15,,Under Votes,106,58,47,1
Cumberland,A101,State Senate,15,,Over Votes,0,0,0,0
Cumberland,A101,State House,21,REP,Amy NEIGHBORS,247,120,103,24
Cumberland,A101,State House,21,DEM,Jeffery HUMBLE,68,30,35,3
Cumberland,A101,State House,21,,Total Votes,315,150,138,27
Cumberland,A101,State House,21,,Under Votes,12,7,5,0
Cumberland,A101,State House,21,,Over Votes,2,0,2,0
Cumberland,A101,Commonwealth's Attorney,40,REP,Jesse M. STOCKTON JR.,242,106,110,26
Cumberland,A101,Commonwealth's Attorney,40,,Total Votes,242,106,110,26
Cumberland,A101,Commonwealth's Attorney,40,,Under Votes,87,51,35,1
Cumberland,A101,Commonwealth's Attorney,40,,Over Votes,0,0,0,0
Cumberland,A101,Circuit Clerk,,REP,Tracy Brewington DANIELS,264,121,118,25
Cumberland,A101,Circuit Clerk,,,Total Votes,264,121,118,25
Cumberland,A101,Circuit Clerk,,,Under Votes,65,36,27,2
Cumberland,A101,Circuit Clerk,,,Over Votes,0,0,0,0
