county,precinct,office,district,party,candidate,votes,eslate,escan
Robertson,A101 Mt. Olivet,President,,REP,Donald Trump,144,83,61
Robertson,B101 Pinhook,President,,REP,Donald Trump,117,78,39
Robertson,C101 Kentontown,President,,REP,Donald Trump,124,89,35
Robertson,D101 Burika,President,,REP,Donald Trump,158,77,81
Robertson,E101 Mt. Olivet,President,,REP,Donald Trump,168,99,69
Robertson,Absentee,President,,REP,Donald Trump,48,22,26
Robertson,Total,President,,REP,Donald Trump,759,,
Robertson,A101 Mt. Olivet,President,,DEM,Hillary Clinton,42,25,17
Robertson,B101 Pinhook,President,,DEM,Hillary Clinton,42,33,9
Robertson,C101 Kentontown,President,,DEM,Hillary Clinton,37,24,13
Robertson,D101 Burika,President,,DEM,Hillary Clinton,38,20,18
Robertson,E101 Mt. Olivet,President,,DEM,Hillary Clinton,35,18,17
Robertson,Absentee,President,,DEM,Hillary Clinton,28,7,21
Robertson,Total,President,,DEM,Hillary Clinton,222,,
Robertson,A101 Mt. Olivet,President,,LIB,Gary Johnson,2,1,1
Robertson,B101 Pinhook,President,,LIB,Gary Johnson,0,0,0
Robertson,C101 Kentontown,President,,LIB,Gary Johnson,6,5,1
Robertson,D101 Burika,President,,LIB,Gary Johnson,6,3,3
Robertson,E101 Mt. Olivet,President,,LIB,Gary Johnson,4,4,0
Robertson,Absentee,President,,LIB,Gary Johnson,1,1,0
Robertson,Total,President,,LIB,Gary Johnson,19,,
Robertson,A101 Mt. Olivet,President,,AMD,Rocky De La Fuente,0,0,0
Robertson,B101 Pinhook,President,,AMD,Rocky De La Fuente,0,0,0
Robertson,C101 Kentontown,President,,AMD,Rocky De La Fuente,0,0,0
Robertson,D101 Burika,President,,AMD,Rocky De La Fuente,0,0,0
Robertson,E101 Mt. Olivet,President,,AMD,Rocky De La Fuente,0,0,0
Robertson,Absentee,President,,AMD,Rocky De La Fuente,0,0,0
Robertson,Total,President,,AMD,Rocky De La Fuente,0,,
Robertson,A101 Mt. Olivet,President,,GRN,Jill Stein,0,0,0
Robertson,B101 Pinhook,President,,GRN,Jill Stein,2,2,0
Robertson,C101 Kentontown,President,,GRN,Jill Stein,2,1,1
Robertson,D101 Burika,President,,GRN,Jill Stein,0,0,0
Robertson,E101 Mt. Olivet,President,,GRN,Jill Stein,1,1,0
Robertson,Absentee,President,,GRN,Jill Stein,0,0,0
Robertson,Total,President,,GRN,Jill Stein,5,,
Robertson,A101 Mt. Olivet,President,,IND,Evan McMullin,4,3,1
Robertson,B101 Pinhook,President,,IND,Evan McMullin,2,1,1
Robertson,C101 Kentontown,President,,IND,Evan McMullin,1,1,0
Robertson,D101 Burika,President,,IND,Evan McMullin,0,0,0
