county,precinct,precinct_name,registered_voters,reg_dem_voters,reg_rep_voters,reg_other_voters,reg_ind_voters,reg_lib_voters,reg_grn_voters,reg_const_voters,reg_reform_voters,reg_socwk_voters,reg_male_voters,reg_female_voters
Adair,A102,WHITE OAK,446,75,356,7,8,0,0,0,0,0,224,222
Adair,A104,EUNICE PELLYTON,769,130,587,26,25,1,0,0,0,0,400,369
Adair,A105,LITTLE CAKE,572,84,457,14,16,1,0,0,0,0,288,284
Adair,B102,E. COLUMBIA,1083,335,663,37,44,2,2,0,0,0,483,600
Adair,B104,OZARK,730,165,519,27,15,4,0,0,0,0,369,361
Adair,C102,SOUTH COLUMBIA HARMONY,856,268,533,29,25,1,0,0,0,0,420,436
Adair,C104,GLENSFORK MELSON RIDGE,968,282,645,19,21,1,0,0,0,0,452,516
Adair,D101,GRADYVILLE NELL,656,130,479,32,14,0,1,0,0,0,342,314
Adair,D103,SPARKSVILLE BREEDING,669,159,440,41,29,0,0,0,0,0,327,342
Adair,D104,SOUTH COLUMBIA NO. 2,701,232,427,21,17,3,0,1,0,0,314,387
Adair,E101,MILLTOWN,791,169,580,26,15,1,0,0,0,0,398,393
Adair,E104,WEST COLUMBIA,1317,431,818,38,27,3,0,0,0,0,556,761
Adair,F101,CANE VALLEY HOLMES,1207,419,733,31,23,0,1,0,0,0,612,595
Adair,F103,KNIFLEY ROLEY,762,237,475,27,22,1,0,0,0,0,389,373
Adair,G101,NORTH COLUMBIA,1015,258,700,33,23,1,0,0,0,0,476,539
Adair,G102,HURT,1044,246,747,29,21,1,0,0,0,0,496,548
Allen,A101,ONE,1599,539,913,116,29,2,0,0,0,0,717,882
Allen,A102,FOUR,1299,390,806,77,20,3,1,1,0,1,630,669
Allen,B101,TWO,1157,353,719,66,17,0,2,0,0,0,550,607
Allen,B102,FIVE,1130,338,726,49,15,1,1,0,0,0,547,583
Allen,B103,NINE,547,183,327,28,9,0,0,0,0,0,272,275
Allen,C101,THREE,1626,520,994,74,33,2,3,0,0,0,713,913
Allen,C102,SIX,1559,478,988,65,19,8,1,0,0,0,752,807
Allen,D101,SEVEN,1609,469,1022,77,37,3,1,0,0,0,791,818
Allen,D102,EIGHT,663,222,386,39,13,2,0,1,0,0,329,334
Allen,D103,THIRTEEN,1204,427,687,62,26,2,0,0,0,0,603,601
Allen,E101,TEN,583,172,353,34,22,1,1,0,0,0,290,293
Allen,E102,ELEVEN,1366,496,754,83,27,4,2,0,0,0,647,719
Allen,E103,TWELVE,659,194,414,32,13,5,1,0,0,0,319,340
Anderson,A101,EAST LAWRENCEBURG,1178,668,429,51,29,1,0,0,0,0,559,619
Anderson,A102,DUNCAN,1505,821,549,92,41,1,0,1,0,0,698,807
Anderson,B101,WEST LAWRENCEBURG,1187,604,506,39,34,4,0,0,0,0,585,601
Anderson,B102,WEST DUNCAN,1973,1019,827,81,40,5,1,0,0,0,934,1039
Anderson,C101,LILLARD,1254,709,462,57,24,2,0,0,0,0,565,689
Anderson,C102,WITHERSPOON,1631,868,622,90,46,4,1,0,0,0,744,887
Anderson,D101,MCBRAYER,1208,599,528,54,26,1,0,0,0,0,595,613
Anderson,D102,SOUTH LILLARD,1671,839,695,83,48,5,1,0,0,0,765,906
Anderson,E101,ALTON,2186,1142,923,84,34,3,0,0,0,0,1055,1131
Anderson,E103,WEST ALTON,1085,543,483,37,20,1,1,0,0,0,531,554
Anderson,F101,HICKORY GROVE,1003,511,415,46,29,2,0,0,0,0,502,501
Anderson,F102,WESTERN,721,382,290,28,17,3,0,0,1,0,374,347
Anderson,F103,RUTHERFORD,472,284,150,24,14,0,0,0,0,0,238,234
Anderson,F104,BIRDIE,1097,579,427,60,27,1,3,0,0,0,569,528
Ballard,A101,BANDANA,400,265,121,8,6,0,0,0,0,0,202,198
Ballard,A102,KEVIL,1011,629,336,33,11,2,0,0,0,0,458,553
Ballard,A103,INGLESIDE,174,123,41,8,2,0,0,0,0,0,82,92
Ballard,B101,LA CENTER,944,656,232,42,12,2,0,0,0,0,434,510
Ballard,B102,OSCAR,221,163,53,2,3,0,0,0,0,0,115,106
Ballard,C101,HINKLEVILLE,288,204,73,9,1,1,0,0,0,0,142,146
Ballard,C102,GAGE,378,248,109,12,7,2,0,0,0,0,183,195
Ballard,C103,LOVELACEVILLE,231,166,55,7,3,0,0,0,0,0,113,118
Ballard,C104,BLANDVILLE,445,299,124,15,6,1,0,0,0,0,227,218
Ballard,D101,BARLOW,904,634,215,36,13,4,2,0,0,0,430,474
Ballard,D102,SLATER,357,264,84,7,1,0,0,1,0,0,182,175
Ballard,E101,N. WICKLIFFE,700,489,159,36,13,1,1,1,0,0,330,370
Ballard,E102,S. WICKLIFFE,426,289,112,20,4,0,0,1,0,0,215,211
Barren,A101,GLASGOW #1,1207,643,488,33,40,1,2,0,0,0,529,678
Barren,A102,GLASGOW #2,1148,636,404,51,54,3,0,0,0,0,521,627
Barren,A103,GLASGOW #3,1561,821,600,84,51,3,0,0,2,0,699,862
Barren,A104,FOX HOLLOW,333,148,157,13,15,0,0,0,0,0,168,165
Barren,B101,HAYWOOD WEST,1437,676,687,35,36,1,1,1,0,0,686,751
Barren,B102,HAYWOOD EAST,1280,621,584,37,32,5,0,0,1,0,615,665
Barren,B103,THOMERSON PARK,658,284,328,21,23,1,1,0,0,0,322,336
Barren,B104,AUSTIN,1186,594,526,29,32,5,0,0,0,0,561,625
Barren,C101,EASTERN,780,371,376,21,12,0,0,0,0,0,383,397
Barren,C102,GREEN VALLEY,1062,483,518,35,23,1,0,1,1,0,519,543
Barren,C103,EIGHTY EIGHT,1035,475,495,39,23,1,0,0,2,0,495,540
Barren,C104,TEMPLE HILL,1179,514,595,27,41,1,0,1,0,0,579,600
Barren,D101,HISEVILLE-GOODNIGHT,1268,617,571,38,38,1,1,1,1,0,606,662
Barren,D102,GLASGOW MIDDLE SCHOOL,1876,910,866,44,50,3,2,1,0,0,915,961
Barren,D103,GLASGOW HIGH SCHOOL,1605,833,684,42,44,1,1,0,0,0,695,910
Barren,E101,EXTENSION SERVICE EAST,1123,577,485,30,27,3,1,0,0,0,533,590
Barren,E102,EXTENSION SERVICE WEST,861,431,360,42,25,1,2,0,0,0,404,457
Barren,E103,BECKTON,1203,619,511,36,33,3,0,1,0,0,595,608
Barren,E104,RED CROSS,1413,762,564,36,42,4,0,2,3,0,703,710
Barren,F101,CAVE CITY NORTH,1215,761,368,50,33,2,0,0,1,0,582,633
Barren,F102,CAVE CITY SOUTH,1580,889,567,67,51,2,2,0,2,0,748,832
Barren,F103,PARK CITY,1919,1041,715,81,77,3,0,0,2,0,932,986
Barren,G101,GLASGOW #4,1990,991,833,79,76,6,3,0,2,0,893,1097
Barren,G102,GLASGOW #5,1148,613,437,45,44,6,3,0,0,0,501,647
Barren,G103,GLASGOW #6,1203,672,445,42,35,8,0,1,0,0,520,683
Bath,A101,SHARPSBURG NO. 1,383,282,77,20,4,0,0,0,0,0,183,200
Bath,A102,SHARPSBURG NO. 2,496,375,94,19,7,1,0,0,0,0,239,257
Bath,A103,BETHEL,398,321,62,10,4,1,0,0,0,0,193,205
