candidate,office,district,party,county,precinct,total votes 
,Ballots Cast,,,Bourbon,Precinct AB,522
,Straight Party,,REP,Bourbon,Precinct AB,71
,Straight Party,,DEM,Bourbon,Precinct AB,87
,Straight Party,,LIB,Bourbon,Precinct AB,0
Andy Barr,U.S. House,6,REP,Bourbon,Precinct AB,289
Amy McGrath,U.S. House,6,DEM,Bourbon,Precinct AB,221
Frank Harris,U.S. House,6,LIB,Bourbon,Precinct AB,5
Rikka L. Wallin,U.S. House,6,IND,Bourbon,Precinct AB,1
James Germalic,U.S. House,6,IND,Bourbon,Precinct AB,0
Matthew R. Koch,State Representative,72,REP,Bourbon,Precinct AB,277
Emily Ferguson,State Representative,72,DEM,Bourbon,Precinct AB,224
Ann Cormican ,State Representative,72,LIB,Bourbon,Precinct AB,6
,Ballots Cast,,,Bourbon,Precinct B101,588
,Straight Party,,REP,Bourbon,Precinct B101,112
,Straight Party,,DEM,Bourbon,Precinct B101,78
,Straight Party,,LIB,Bourbon,Precinct B101,7
Andy Barr,U.S. House,6,REP,Bourbon,Precinct B101,377
Amy McGrath,U.S. House,6,DEM,Bourbon,Precinct B101,202
Frank Harris,U.S. House,6,LIB,Bourbon,Precinct B101,2
Rikka L. Wallin,U.S. House,6,IND,Bourbon,Precinct B101,2
James Germalic,U.S. House,6,IND,Bourbon,Precinct B101,0
Matthew R. Koch,State Representative,72,REP,Bourbon,Precinct B101,362
Emily Ferguson,State Representative,72,DEM,Bourbon,Precinct B101,212
Ann Cormican ,State Representative,72,LIB,Bourbon,Precinct B101,7
,Ballots Cast,,,Bourbon,Precinct B103,345
,Straight Party,,REP,Bourbon,Precinct B103,
,Straight Party,,DEM,Bourbon,Precinct B103,
,Straight Party,,LIB,Bourbon,Precinct B103,
Andy Barr,U.S. House,6,REP,Bourbon,Precinct B103,
Amy McGrath,U.S. House,6,DEM,Bourbon,Precinct B103,
Frank Harris,U.S. House,6,LIB,Bourbon,Precinct B103,
Rikka L. Wallin,U.S. House,6,IND,Bourbon,Precinct B103,
James Germalic,U.S. House,6,IND,Bourbon,Precinct B103,
Matthew R. Koch,State Representative,72,REP,Bourbon,Precinct B103,
Emily Ferguson,State Representative,72,DEM,Bourbon,Precinct B103,
Ann Cormican ,State Representative,72,LIB,Bourbon,Precinct B103,
,Ballots Cast,,,Bourbon,Precinct C101,423
,Straight Party,,REP,Bourbon,Precinct C101,89
,Straight Party,,DEM,Bourbon,Precinct C101,47
,Straight Party,,LIB,Bourbon,Precinct C101,1
Andy Barr,U.S. House,6,REP,Bourbon,Precinct C101,276
Amy McGrath,U.S. House,6,DEM,Bourbon,Precinct C101,132
Frank Harris,U.S. House,6,LIB,Bourbon,Precinct C101,5
Rikka L. Wallin,U.S. House,6,IND,Bourbon,Precinct C101,0
James Germalic,U.S. House,6,IND,Bourbon,Precinct C101,1
Matthew R. Koch,State Representative,72,REP,Bourbon,Precinct C101,250
Emily Ferguson,State Representative,72,DEM,Bourbon,Precinct C101,156
Ann Cormican ,State Representative,72,LIB,Bourbon,Precinct C101,8
,Ballots Cast,,,Bourbon,Precinct C102,188
,Straight Party,,REP,Bourbon,Precinct C102,24
,Straight Party,,DEM,Bourbon,Precinct C102,11
,Straight Party,,LIB,Bourbon,Precinct C102,0
Andy Barr,U.S. House,6,REP,Bourbon,Precinct C102,116
Amy McGrath,U.S. House,6,DEM,Bourbon,Precinct C102,67
Frank Harris,U.S. House,6,LIB,Bourbon,Precinct C102,1
Rikka L. Wallin,U.S. House,6,IND,Bourbon,Precinct C102,1
James Germalic,U.S. House,6,IND,Bourbon,Precinct C102,1
Matthew R. Koch,State Representative,72,REP,Bourbon,Precinct C102,118
Emily Ferguson,State Representative,72,DEM,Bourbon,Precinct C102,66
Ann Cormican ,State Representative,72,LIB,Bourbon,Precinct C102,2
,Ballots Cast,,,Bourbon,Precinct C103,453
,Straight Party,,REP,Bourbon,Precinct C103,
,Straight Party,,DEM,Bourbon,Precinct C103,
,Straight Party,,LIB,Bourbon,Precinct C103,
Andy Barr,U.S. House,6,REP,Bourbon,Precinct C103,
Amy McGrath,U.S. House,6,DEM,Bourbon,Precinct C103,
Frank Harris,U.S. House,6,LIB,Bourbon,Precinct C103,
Rikka L. Wallin,U.S. House,6,IND,Bourbon,Precinct C103,
James Germalic,U.S. House,6,IND,Bourbon,Precinct C103,
